Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,pandemic,10274,9992,4687
1,good,2173,2083,1664
1,job,1623,1473,1219
1,think,2252,2116,1652
1,going,2643,2480,1856
1,look,1378,1343,1145
1,crisis,3419,3282,2258
1,global,1554,1508,1236
1,time,5348,5043,3278
1,country,3395,3188,2169
1,economy,1191,1124,944
1,world,2959,2801,2014
1,leader,1155,1091,930
1,end,1018,981,846
1,month,1952,1839,1472
2,home,5358,4597,3106
2,stay,3828,3273,2435
2,friend,1409,1291,1109
2,safe,1348,1300,1106
2,socialdistancing,929,918,760
2,family,1992,1853,1494
2,hand,1230,1107,946
2,stayhome,707,702,606
2,thank,1463,1389,1177
2,love,719,663,614
2,share,812,782,701
2,life,2842,2688,1958
2,day,4915,4365,2888
2,time,5348,5043,3278
2,message,715,698,645
3,case,6983,5153,2930
3,death,3974,3242,2108
3,new,5800,4997,3003
3,number,2083,1893,1441
3,day,4915,4365,2888
3,march,1598,1289,1079
3,breaking,1645,1637,1269
3,confirmed,1229,1118,899
3,italy,1443,1292,1025
3,total,1214,1067,849
3,state,2825,2567,1685
3,report,1436,1388,1123
3,update,1406,1354,1067
3,rate,907,797,699
3,ontario,1425,1342,992
4,china,7965,6515,3006
4,virus,5450,4904,2911
4,chinese,2550,2230,1392
4,wuhan,1102,1012,783
4,world,2959,2801,2014
4,flight,957,783,619
4,country,3395,3188,2169
4,travel,944,878,757
4,communist,523,501,387
4,ban,416,406,375
4,iran,541,469,307
4,sending,372,367,344
4,canada,4857,4381,2663
4,lied,392,352,316
4,sent,733,700,630
5,social,3256,3106,2343
5,distancing,2837,2703,2095
5,health,5586,5115,3202
5,business,1836,1659,1317
5,support,1945,1813,1453
5,measure,1278,1206,1031
5,pandemic,10274,9992,4687
5,service,1225,1137,972
5,public,2644,2505,1899
5,spread,2710,2628,1981
5,community,1478,1410,1133
5,ableg,1005,1005,481
5,government,3863,3661,2444
5,toronto,925,841,652
5,canada,4857,4381,2663
6,trump,10284,8617,2926
6,president,3033,2823,1704
6,medium,1907,1704,1280
6,american,3390,3105,1812
6,realdonaldtrump,2014,1990,1225
6,briefing,1008,958,762
6,lie,986,886,724
6,press,830,804,684
6,said,2547,2367,1720
6,donald,759,725,615
6,fauci,668,604,499
6,fact,1065,1007,876
6,administration,710,701,571
6,news,2553,2382,1772
6,called,976,930,794
7,people,10030,8922,4451
7,died,1605,1469,1152
7,man,987,937,833
7,virus,5450,4904,2911
7,flu,990,794,687
7,die,1226,1153,922
7,year,1776,1615,1338
7,person,863,802,721
7,lockdown,1591,1506,1166
7,infected,856,809,707
7,old,694,641,586
7,sick,1344,1221,1002
7,god,561,540,481
7,fucking,516,487,447
7,know,3187,2965,2204
8,test,2951,2493,1807
8,hospital,3012,2695,1885
8,doctor,2459,2280,1688
8,mask,2578,2082,1573
8,medical,2494,2306,1745
8,positive,2050,1972,1481
8,patient,2232,1981,1490
8,tested,1728,1589,1217
8,testing,1715,1531,1188
8,care,2852,2644,1959
8,nurse,1158,1052,875
8,worker,3094,2811,2027
8,supply,1636,1453,1173
8,symptom,1290,1196,1028
8,equipment,897,848,758
9,canadian,3517,3217,2060
9,trudeau,2661,2390,1434
9,canada,4857,4381,2663
9,cdnpoli,2714,2709,1545
9,le,1684,1371,904
9,border,1396,1222,968
9,justintrudeau,1025,1014,789
9,liberal,963,898,650
9,minister,1424,1334,1082
9,tax,875,756,635
9,power,1180,1037,859
9,et,966,761,432
9,prime,650,634,570
9,pm,1053,993,821
9,justin,601,584,506
10,need,5900,5372,3330
10,right,2869,2682,2020
10,help,4117,3772,2642
10,new,5800,4997,3003
10,realdonaldtrump,2014,1990,1225
10,fight,1488,1441,1170
10,emergency,1861,1761,1419
10,state,2825,2567,1685
10,act,1051,961,833
10,relief,795,761,643
10,thank,1463,1389,1177
10,governor,960,905,708
10,house,1361,1291,1047
10,money,1039,987,850
10,time,5348,5043,3278
