Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
trump,10284,8617,9.58584,2926,22.74388
pandemic,10274,9992,11.11544,4687,36.43218
people,10030,8922,9.92513,4451,34.59775
china,7965,6515,7.24751,3006,23.36572
case,6983,5153,5.73237,2930,22.77497
need,5900,5372,5.97599,3330,25.88418
new,5800,4997,5.55883,3003,23.3424
health,5586,5115,5.6901,3202,24.88923
virus,5450,4904,5.45537,2911,22.62728
home,5358,4597,5.11386,3106,24.14302
time,5348,5043,5.61,3278,25.47998
get,4976,4520,5.0282,2900,22.54178
say,4973,4633,5.15391,2785,21.64788
one,4932,4536,5.046,2916,22.66615
day,4915,4365,4.85577,2888,22.4485
canada,4857,4381,4.87357,2663,20.69957
de,4511,2176,2.42066,787,6.11737
US,4212,3798,4.22502,2231,17.34162
u,4129,3698,4.11378,2573,20.0
help,4117,3772,4.1961,2642,20.53634
death,3974,3242,3.60651,2108,16.38554
government,3863,3661,4.07262,2444,18.99728
stay,3828,3273,3.641,2435,18.92732
canadian,3517,3217,3.5787,2060,16.01244
week,3430,3190,3.54866,2246,17.45822
crisis,3419,3282,3.65101,2258,17.5515
country,3395,3188,3.54644,2169,16.8597
american,3390,3105,3.45411,1812,14.08473
would,3260,3010,3.34843,2113,16.42441
social,3256,3106,3.45522,2343,18.2122
know,3187,2965,3.29837,2204,17.13175
today,3111,2969,3.30282,2160,16.78974
worker,3094,2811,3.12705,2027,15.75593
president,3033,2823,3.1404,1704,13.24524
hospital,3012,2695,2.99801,1885,14.65216
world,2959,2801,3.11593,2014,15.65488
test,2951,2493,2.7733,1807,14.04586
right,2869,2682,2.98355,2020,15.70152
care,2852,2644,2.94127,1959,15.22736
life,2842,2688,2.99022,1958,15.21959
distancing,2837,2703,3.00691,2095,16.28449
state,2825,2567,2.85562,1685,13.09755
many,2805,2632,2.92793,1970,15.31286
please,2798,2521,2.80445,1960,15.23513
go,2714,2568,2.85673,2005,15.58492
cdnpoli,2714,2709,3.01358,1545,12.00933
make,2712,2581,2.87119,1950,15.1574
spread,2710,2628,2.92348,1981,15.39837
take,2665,2560,2.84783,1976,15.3595
trudeau,2661,2390,2.65872,1434,11.14652
public,2644,2505,2.78665,1899,14.76098
going,2643,2480,2.75884,1856,14.42674
want,2617,2402,2.67207,1821,14.15468
mask,2578,2082,2.31609,1573,12.22697
could,2571,2427,2.69988,1782,13.85154
work,2554,2444,2.71879,1890,14.69102
news,2553,2382,2.64982,1772,13.7738
chinese,2550,2230,2.48073,1392,10.82005
said,2547,2367,2.63313,1720,13.36961
response,2524,2418,2.68986,1773,13.78158
first,2509,2411,2.68208,1788,13.89817
medical,2494,2306,2.56527,1745,13.56393
doctor,2459,2280,2.53635,1688,13.12087
even,2289,2209,2.45737,1676,13.02759
still,2283,2185,2.43067,1716,13.33852
via,2281,2273,2.52856,1548,12.03265
think,2252,2116,2.35391,1652,12.84104
patient,2232,1981,2.20373,1490,11.58181
2,2175,1983,2.20596,1565,12.16479
good,2173,2083,2.3172,1664,12.93432
keep,2169,2081,2.31497,1645,12.78663
million,2129,1954,2.1737,1474,11.45744
outbreak,2118,2088,2.32276,1560,12.12592
see,2103,2033,2.26158,1611,12.52235
stop,2094,2009,2.23488,1602,12.45239
number,2083,1893,2.10584,1441,11.20093
every,2074,1903,2.11696,1495,11.62068
thing,2073,2001,2.22598,1595,12.39798
positive,2050,1972,2.19372,1481,11.51185
back,2038,1977,2.19928,1543,11.99378
realdonaldtrump,2014,1990,2.21374,1225,9.52196
family,1992,1853,2.06134,1494,11.6129
way,1982,1920,2.13587,1572,12.2192
month,1952,1839,2.04577,1472,11.4419
support,1945,1813,2.01684,1453,11.29421
medium,1907,1704,1.89559,1280,9.94948
call,1873,1741,1.93675,1411,10.96774
must,1862,1766,1.96456,1415,10.99883
emergency,1861,1761,1.959,1419,11.02993
1,1853,1712,1.90449,1368,10.6335
business,1836,1659,1.84553,1317,10.23708
year,1776,1615,1.79658,1338,10.40031
tested,1728,1589,1.76766,1217,9.45977
dr,1727,1630,1.81327,1285,9.98834
testing,1715,1531,1.70314,1188,9.23436
everyone,1693,1637,1.82105,1370,10.64905
two,1689,1634,1.81772,1342,10.4314
le,1684,1371,1.52515,904,7.02682
