Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,going,12515,11948,4361
1,make,14556,13932,4868
1,way,9858,9510,4084
1,people,59041,50949,8053
1,thing,10686,10111,4134
1,know,17529,16576,5221
1,look,7276,7106,3381
1,better,6439,6045,3047
1,getting,7614,7382,3390
1,work,14425,13430,4849
1,stop,9260,8660,3704
1,mean,5261,4877,2600
1,lot,5283,5160,2806
1,control,5090,4951,2517
1,coming,5100,4972,2646
2,case,52636,40014,6118
2,new,40110,34145,6210
2,number,13341,12311,4076
2,death,33076,26944,5293
2,record,7368,6670,2588
2,ontario,20194,18872,3740
2,total,6443,5620,2294
2,reported,5230,4816,1997
2,active,6034,5172,1660
2,daily,5422,5055,2285
2,report,11094,10796,3476
2,today,22938,21960,5733
2,reporting,4382,4243,1795
2,breaking,8868,8751,3051
2,bc,8538,7856,2078
3,mask,28276,24781,5924
3,wear,14228,12937,4253
3,people,59041,50949,8053
3,life,15737,14774,4675
3,social,6450,6219,3153
3,face,4561,4397,2419
3,love,3690,3463,2213
3,wearing,4198,3911,2201
3,hand,4163,4026,2305
3,wearamask,2767,2690,1295
3,save,4189,4025,2118
3,distancing,3825,3695,2210
3,listen,3103,3000,1792
3,youre,3278,3002,1852
3,god,2381,2214,1438
4,vaccine,52266,42534,6826
4,canada,31550,28109,5753
4,line,6779,6353,3010
4,pfizer,5007,4375,2192
4,dos,4931,4251,2107
4,uk,3783,3578,1781
4,vaccination,4015,3798,2011
4,country,13448,12653,4310
4,early,3907,3654,2120
4,receive,2874,2829,1749
4,moderna,2266,2176,1307
4,ready,2358,2192,1496
4,distribution,2356,2172,1307
4,vaccinated,2433,2307,1406
4,begin,2083,2071,1436
5,alberta,22282,20314,3157
5,ableg,19594,19547,1701
5,kenney,10111,9353,1718
5,jkenney,8223,8063,1592
5,covid19ab,7038,7023,1238
5,abpoli,6701,6695,1133
5,albertans,5973,5338,1273
5,ucp,5313,4849,817
5,jason,4564,4434,1262
5,province,12858,12373,3363
