Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,35510,7.28727,7819,49.16682
2,27522,5.64799,4682,29.44099
3,23698,4.86324,6533,41.0803
4,26908,5.52199,5791,36.41451
5,25712,5.27655,3214,20.21002
6,18735,3.84475,5313,33.40879
7,22828,4.6847,6106,38.39527
8,23563,4.83554,5351,33.64774
9,17015,3.49177,5704,35.86745
10,18767,3.85132,4692,29.50387
11,14683,3.01321,4542,28.56065
12,17678,3.62783,4790,30.1201
13,18157,3.72613,3720,23.39181
14,20892,4.2874,4297,27.02006
15,13292,2.72775,4513,28.37829
16,17144,3.51825,4526,28.46004
17,17689,3.63009,4269,26.84399
18,19513,4.00441,5490,34.52179
19,12866,2.64033,4635,29.14544
20,14209,2.91593,3528,22.18449
21,16445,3.3748,5154,32.40898
22,18072,3.70869,4750,29.86858
23,12730,2.61242,4806,30.22071
24,17406,3.57201,5784,36.3705
25,16254,3.3356,4853,30.51625
