Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,pandemic,14174,13798,5633
1,global,1828,1628,1271
1,crisis,2485,2397,1694
1,change,949,912,797
1,risk,1291,1218,990
1,economic,1020,986,820
1,continue,1189,1156,974
1,making,988,962,844
1,fight,1274,1244,1034
1,hard,874,866,762
1,impact,680,671,587
1,issue,773,740,666
1,policy,800,770,682
1,human,849,801,692
1,vote,758,636,544
2,case,7476,5716,3008
2,new,7355,6419,3349
2,death,8827,6959,3351
2,ontario,2049,1920,1263
2,number,2812,2561,1815
2,total,1387,1196,899
2,reported,1246,1190,955
2,province,1157,1109,857
2,confirmed,1033,968,781
2,report,2399,2313,1669
2,april,932,830,690
2,infection,1140,1103,873
2,day,5193,4562,2805
2,daily,1228,1138,911
2,population,777,736,639
3,trump,11762,10025,2807
3,president,3570,3237,1757
3,response,3085,2999,1952
3,administration,1243,1189,806
3,obama,977,856,644
3,donald,876,865,638
3,said,2619,2438,1668
3,truth,876,829,693
3,republican,837,773,555
3,lie,903,834,694
3,cnn,566,550,453
3,failure,714,655,564
3,realdonaldtrump,2484,2431,1271
3,disaster,526,510,451
3,failed,660,624,542
4,home,5355,4812,2965
4,stay,2936,2637,1964
4,care,3505,3114,2097
4,safe,1532,1453,1163
4,family,1931,1767,1373
4,sick,948,890,772
4,away,1280,1244,1022
4,friend,887,864,780
4,senior,881,782,678
4,resident,872,819,710
4,nursing,806,739,610
4,patient,2167,2000,1494
4,kid,937,848,742
4,life,2963,2813,1965
4,longterm,705,687,545
5,death,8827,6959,3351
5,toll,1015,980,769
5,flu,942,826,677
5,number,2812,2561,1815
5,rate,1243,1149,936
5,war,796,704,613
5,worse,722,706,634
5,florida,560,517,410
5,cause,654,622,573
5,data,1396,1258,1008
5,uk,802,738,522
5,reality,449,441,410
5,iran,530,467,150
5,killed,759,713,620
5,conspiracy,538,517,461
6,china,5284,4249,2237
6,virus,5165,4764,2772
6,chinese,1828,1619,1140
6,wuhan,1575,1473,1028
6,lab,1193,1087,848
6,evidence,897,849,720
6,intelligence,718,652,565
6,came,683,650,572
6,communist,621,597,463
6,ccp,504,468,362
6,party,952,869,749
6,knew,535,513,466
6,transmission,439,422,378
6,origin,376,367,318
6,say,6100,5777,3189
7,people,9749,8631,4226
7,think,2646,2538,1858
7,die,1284,1206,914
7,dying,750,683,590
7,make,2927,2846,2096
7,normal,641,580,539
7,kill,572,551,508
7,fear,713,685,590
7,maybe,543,522,479
7,believe,1033,984,825
7,stop,1699,1614,1287
7,actually,722,710,642
7,want,3239,3019,2109
7,black,620,571,494
7,stupid,421,377,353
8,test,2986,2492,1695
8,positive,2461,2308,1582
8,tested,2055,1799,1275
8,testing,2541,2257,1523
8,update,1372,1327,935
8,live,1339,1291,1014
8,member,1060,979,814
8,service,1181,1107,921
8,contact,733,659,593
8,staff,1046,988,818
8,result,765,732,648
8,penny,897,806,595
8,personal,680,608,535
8,toronto,819,741,565
8,miller,519,348,272
9,social,2912,2818,2064
9,distancing,2472,2408,1833
9,order,1948,1816,1331
9,rule,987,926,792
9,stayathome,730,725,596
9,hand,905,816,720
9,police,736,675,581
9,park,719,610,542
9,place,1190,1157,985
9,law,714,665,582
9,follow,679,666,602
9,measure,1032,993,850
9,watch,1523,1485,1131
9,restaurant,479,437,404
9,city,1671,1514,1118
10,house,2758,2534,1499
10,white,2339,2187,1277
10,dr,2617,2350,1667
10,pandemic,14174,13798,5633
10,fauci,1364,1246,886
10,cdc,1651,1477,1026
10,force,1135,1085,868
10,disease,1009,950,785
10,task,730,700,574
10,doctor,1758,1668,1314
10,wow,399,386,371
10,quarantine,677,633,550
10,virus,5165,4764,2772
10,report,2399,2313,1669
10,director,393,383,351
11,canada,5132,4666,2716
11,cdnpoli,3274,3265,1691
11,canadian,3437,3116,1988
11,trudeau,2896,2583,1442
11,minister,1335,1287,961
11,justintrudeau,989,972,729
11,liberal,937,882,676
11,justin,768,723,575
11,post,701,690,617
11,border,748,696,603
11,latest,845,839,686
11,pm,913,843,682
11,conservative,674,631,519
11,medium,1601,1508,1159
11,prime,607,590,497
12,vaccine,1817,1560,1170
12,state,4270,3821,2058
12,business,2264,2052,1533
12,lockdown,4256,4001,2307
12,plan,1800,1671,1290
12,reopening,1348,1309,1005
12,reopen,1282,1256,979
12,school,1031,914,760
12,restriction,945,912,781
12,governor,1091,1038,773
12,open,1592,1507,1239
12,study,743,699,594
12,say,6100,5777,3189
12,treatment,725,694,589
12,drug,761,692,599
13,lockdown,4256,4001,2307
13,news,2778,2623,1774
13,end,1539,1507,1214
13,got,1158,1127,952
13,hope,811,799,719
13,love,716,682,624
13,tweet,634,576,527
13,fake,599,541,456
13,wait,463,453,401
13,twitter,544,517,459
13,man,892,849,728
13,night,442,424,390
13,turn,412,407,389
13,mr,337,309,281
13,germany,354,337,303
14,le,2308,1822,1090
14,et,1347,1058,553
14,yes,732,680,612
14,premier,965,907,703
14,pour,879,751,344
14,ford,783,700,503
14,du,786,641,305
14,au,682,584,288
14,say,6100,5777,3189
14,plus,581,529,392
14,cbc,616,589,461
14,une,516,464,261
14,est,533,477,293
14,pa,536,437,227
14,sur,503,422,228
15,time,5338,4974,3174
15,help,2959,2759,1971
15,need,4848,4476,2851
15,read,1499,1462,1199
15,thank,1458,1360,1098
15,support,2103,1974,1507
15,great,1631,1574,1264
15,question,1605,1549,1276
15,important,1077,1064,905
15,child,1581,1375,1105
15,community,1672,1595,1237
15,story,1523,1462,1157
15,thanks,679,667,608
15,share,670,637,573
15,join,691,674,582
16,government,4186,3947,2458
16,job,1747,1612,1284
16,worker,3957,3494,2199
16,money,1218,1105,928
16,pay,1109,1060,909
16,federal,1165,1112,870
16,ppe,991,933,765
16,healthcare,1025,959,798
16,line,994,953,822
16,company,1048,987,823
16,tax,869,750,650
16,work,3679,3461,2373
16,pandemic,14174,13798,5633
16,billion,707,669,584
16,essential,795,749,653
17,health,5525,5084,3043
17,day,5193,4562,2805
17,public,2724,2555,1833
17,good,2115,2019,1605
17,week,3456,3090,2163
17,ago,1335,991,833
17,thread,627,616,525
17,nurse,955,821,693
17,thought,685,681,615
17,word,688,664,599
17,year,2507,2344,1807
17,single,774,742,671
