Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,7255,7.00668,3934,30.75119
2,5588,5.39674,2905,22.70773
3,6204,5.99166,2349,18.3616
4,5065,4.89164,3069,23.98968
5,5257,5.07707,2708,21.16783
6,5917,5.71448,2653,20.7379
7,5394,5.20938,3055,23.88025
8,4396,4.24554,2649,20.70664
9,5481,5.2934,3362,26.28
10,4550,4.39427,2575,20.1282
11,5149,4.97277,2653,20.7379
12,5693,5.49815,3013,23.55194
13,4821,4.65599,3012,23.54413
14,3417,3.30005,1282,10.02111
15,6286,6.07085,3635,28.41398
16,5537,5.34749,3099,24.22419
17,4109,3.96836,2673,20.89424
18,4361,4.21174,2680,20.94896
19,4358,4.20884,2440,19.07293
20,4706,4.54493,2498,19.5263
