Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
pandemic,14174,13798,13.32574,5633,44.03189
trump,11762,10025,9.68187,2807,21.94169
people,9749,8631,8.33559,4226,33.03369
death,8827,6959,6.72081,3351,26.19401
case,7476,5716,5.52036,3008,23.51286
new,7355,6419,6.1993,3349,26.17838
de,6333,2888,2.78915,830,6.48792
say,6100,5777,5.57927,3189,24.92769
one,5869,5533,5.34362,3242,25.34198
health,5525,5084,4.90999,3043,23.78645
home,5355,4812,4.6473,2965,23.17674
time,5338,4974,4.80375,3174,24.81044
china,5284,4249,4.10357,2237,17.48613
day,5193,4562,4.40586,2805,21.92605
virus,5165,4764,4.60094,2772,21.6681
canada,5132,4666,4.5063,2716,21.23036
get,5127,4752,4.58935,2954,23.09075
need,4848,4476,4.3228,2851,22.28562
US,4735,4292,4.1451,2337,18.2678
state,4270,3821,3.69022,2058,16.08692
lockdown,4256,4001,3.86406,2307,18.0333
u,4238,3805,3.67477,2555,19.97186
american,4215,3860,3.72788,1946,15.21144
government,4186,3947,3.81191,2458,19.21363
worker,3957,3494,3.37441,2199,17.18909
country,3906,3664,3.53859,2283,17.8457
would,3788,3513,3.39276,2291,17.90823
work,3679,3461,3.34254,2373,18.54921
president,3570,3237,3.12621,1757,13.73407
today,3560,3439,3.32129,2325,18.174
world,3507,3257,3.14552,2230,17.43141
care,3505,3114,3.00742,2097,16.39178
week,3456,3090,2.98424,2163,16.90768
canadian,3437,3116,3.00935,1988,15.53975
know,3326,3121,3.01418,2165,16.92332
cdnpoli,3274,3265,3.15325,1691,13.21817
want,3239,3019,2.91567,2109,16.48558
may,3233,3085,2.97941,2149,16.79825
mask,3231,2748,2.65394,1814,14.17963
right,3146,2942,2.8413,2081,16.26671
go,3128,2977,2.87511,2148,16.79043
million,3087,2761,2.6665,1861,14.54702
response,3085,2999,2.89635,1952,15.25834
via,3078,3070,2.96492,1815,14.18745
many,3006,2828,2.73121,2019,15.78207
test,2986,2492,2.40671,1695,13.24943
life,2963,2813,2.71672,1965,15.35996
help,2959,2759,2.66457,1971,15.40686
stay,2936,2637,2.54674,1964,15.35215
make,2927,2846,2.74859,2096,16.38396
even,2914,2840,2.7428,2013,15.73517
social,2912,2818,2.72155,2064,16.13382
trudeau,2896,2583,2.49459,1442,11.27179
back,2882,2737,2.64332,1960,15.32088
going,2879,2694,2.60179,1948,15.22708
number,2812,2561,2.47334,1815,14.18745
outbreak,2810,2673,2.58151,1796,14.03893
news,2778,2623,2.53322,1774,13.86696
house,2758,2534,2.44727,1499,11.71735
public,2724,2555,2.46755,1833,14.32815
could,2649,2566,2.47817,1870,14.61737
think,2646,2538,2.45113,1858,14.52357
take,2625,2535,2.44823,1890,14.7737
said,2619,2438,2.35455,1668,13.03838
dr,2617,2350,2.26957,1667,13.03056
testing,2541,2257,2.17975,1523,11.90495
year,2507,2344,2.26377,1807,14.12491
crisis,2485,2397,2.31496,1694,13.24162
realdonaldtrump,2484,2431,2.34779,1271,9.93512
distancing,2472,2408,2.32558,1833,14.32815
positive,2461,2308,2.229,1582,12.36614
see,2439,2329,2.24929,1752,13.69499
report,2399,2313,2.23383,1669,13.0462
