Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
pandemic,14174,13798,5633
trump,11762,10025,2807
people,9749,8631,4226
u,8973,7959,3821
death,8827,6959,3351
case,7476,5716,3008
new,7355,6419,3349
de,6333,2888,830
say,6100,5777,3189
one,5869,5533,3242
health,5525,5084,3043
home,5355,4812,2965
time,5338,4974,3174
china,5284,4249,2237
day,5193,4562,2805
virus,5165,4764,2772
canada,5132,4666,2716
get,5127,4752,2954
need,4848,4476,2851
state,4270,3821,2058
lockdown,4256,4001,2307
american,4215,3860,1946
government,4186,3947,2458
worker,3957,3494,2199
country,3906,3664,2283
would,3788,3513,2291
work,3679,3461,2373
president,3570,3237,1757
today,3560,3439,2325
world,3507,3257,2230
care,3505,3114,2097
week,3456,3090,2163
canadian,3437,3116,1988
know,3326,3121,2165
cdnpoli,3274,3265,1691
want,3239,3019,2109
may,3233,3085,2149
mask,3231,2748,1814
right,3146,2942,2081
go,3128,2977,2148
million,3087,2761,1861
response,3085,2999,1952
via,3078,3070,1815
many,3006,2828,2019
test,2986,2492,1695
life,2963,2813,1965
help,2959,2759,1971
stay,2936,2637,1964
make,2927,2846,2096
even,2914,2840,2013
social,2912,2818,2064
trudeau,2896,2583,1442
back,2882,2737,1960
going,2879,2694,1948
number,2812,2561,1815
outbreak,2810,2673,1796
news,2778,2623,1774
house,2758,2534,1499
public,2724,2555,1833
could,2649,2566,1870
think,2646,2538,1858
take,2625,2535,1890
said,2619,2438,1668
dr,2617,2350,1667
testing,2541,2257,1523
year,2507,2344,1807
crisis,2485,2397,1694
realdonaldtrump,2484,2431,1271
distancing,2472,2408,1833
positive,2461,2308,1582
see,2439,2329,1752
report,2399,2313,1669
every,2382,2236,1656
still,2375,2268,1732
white,2339,2187,1277
died,2337,2183,1558
first,2322,2236,1679
le,2308,1822,1090
month,2279,2150,1602
way,2277,2183,1685
2,2273,2087,1589
business,2264,2052,1533
1,2253,2071,1560
hospital,2170,2015,1505
patient,2167,2000,1494
keep,2158,2050,1605
also,2123,2082,1600
good,2115,2019,1605
support,2103,1974,1507
tested,2055,1799,1275
ontario,2049,1920,1263
two,2028,1903,1463
show,2022,1946,1523
economy,2001,1913,1447
official,1982,1921,1370
well,1970,1865,1486
spread,1952,1860,1430
order,1948,1816,1331
family,1931,1767,1373
thing,1918,1842,1483
breaking,1855,1847,1366
america,1833,1741,1203
must,1830,1771,1356
global,1828,1628,1271
chinese,1828,1619,1140
much,1827,1764,1433
vaccine,1817,1560,1170
plan,1800,1671,1290
please,1799,1697,1365
come,1797,1746,1410
call,1789,1744,1386
doctor,1758,1668,1314
job,1747,1612,1284
never,1723,1667,1284
stop,1699,1614,1287
look,1698,1656,1356
community,1672,1595,1237
city,1671,1514,1118
working,1669,1605,1284
cdc,1651,1477,1026
medical,1631,1555,1181
great,1631,1574,1264
since,1611,1567,1274
question,1605,1549,1276
medium,1601,1508,1159
last,1601,1554,1298
due,1593,1552,1273
open,1592,1507,1239
child,1581,1375,1105
wuhan,1575,1473,1028
end,1539,1507,1214
safe,1532,1453,1163
without,1530,1484,1169
watch,1523,1485,1131
story,1523,1462,1157
read,1499,1462,1199
another,1468,1436,1174
thank,1458,1360,1098
3,1447,1373,1120
un,1433,1256,769
yet,1413,1369,1105
made,1411,1365,1158
really,1396,1345,1123
data,1396,1258,1008
total,1387,1196,899
update,1372,1327,935
give,1366,1325,1112
fauci,1364,1246,886
getting,1351,1308,1093
reopening,1348,1309,1005
et,1347,1058,553
live,1339,1291,1014
everyone,1338,1307,1112
plant,1336,1140,825
minister,1335,1287,961
ago,1335,991,833
tell,1329,1280,1049
ableg,1319,1315,571
around,1317,1293,1088
face,1303,1251,1050
dead,1301,1197,917
put,1296,1277,1053
risk,1291,1218,990
die,1284,1206,914
reopen,1282,1256,979
away,1280,1244,1022
fight,1274,1244,1034
use,1247,1197,1003
reported,1246,1190,955
rate,1243,1149,936
administration,1243,1189,806
next,1241,1214,1032
nothing,1239,1206,999
alberta,1238,1128,721
daily,1228,1138,911
fact,1225,1146,938
money,1218,1105,928
leader,1214,1148,948
long,1204,1163,1009
told,1203,1166,936
nation,1203,1120,927
lab,1193,1087,848
place,1190,1157,985
continue,1189,1156,974
mean,1188,1117,980
2020,1185,1098,893
service,1181,1107,921
cant,1179,1035,873
better,1176,1134,999
4,1172,1097,889
federal,1165,1112,870
got,1158,1127,952
province,1157,1109,857
food,1153,994,849
real,1147,1124,955
far,1146,1088,924
anyone,1143,1098,938
infection,1140,1103,873
force,1135,1085,868
bc,1121,1020,706
enough,1120,1031,859
video,1112,1063,897
pay,1109,1060,909
national,1102,1074,894
part,1093,1067,904
governor,1091,1038,773
expert,1091,1058,852
lost,1084,1020,854
big,1080,1036,882
bill,1078,987,788
important,1077,1064,905
per,1071,955,791
done,1068,1024,895
across,1063,1056,864
member,1060,979,814
supply,1051,988,818
control,1051,1021,866
company,1048,987,823
staff,1046,988,818
protect,1037,999,853
thousand,1035,1008,815
confirmed,1033,968,781
believe,1033,984,825
measure,1032,993,850
emergency,1032,983,831
school,1031,914,760
healthcare,1025,959,798
woman,1023,932,790
economic,1020,986,820
left,1019,904,786
gov,1018,918,731
toll,1015,980,769
disease,1009,950,785
trying,1005,989,830
find,1004,983,841
line,994,953,822
ppe,991,933,765
early,991,960,794
together,990,956,836
justintrudeau,989,972,729
making,988,962,844
rule,987,926,792
thats,984,961,816
obama,977,856,644
start,976,957,853
sure,975,936,825
system,972,930,805
free,971,902,767
5,969,919,791
premier,965,907,703
others,964,936,823
using,963,942,814
ever,957,918,789
onpoli,955,955,566
nurse,955,821,693
party,952,869,749
asked,950,931,835
change,949,912,797
sick,948,890,772
already,948,940,816
restriction,945,912,781
lot,945,917,821
flu,942,826,677
coming,939,930,814
liberal,937,882,676
kid,937,848,742
w,935,831,703
april,932,830,690
instead,928,924,781
safety,921,891,759
united,914,901,735
pm,913,843,682
political,906,888,757
hand,905,816,720
lie,903,834,694
bad,902,852,729
point,899,877,773
team,897,838,738
penny,897,806,595
evidence,897,849,720
person,895,852,741
full,893,878,779
man,892,849,728
friend,887,864,780
saying,882,863,732
called,882,847,727
senior,881,782,678
pour,879,751,344
truth,876,829,693
taking,876,864,752
effort,876,869,735
donald,876,865,638
best,875,864,780
hard,874,866,762
resident,872,819,710
tax,869,750,650
someone,852,815,731
top,851,846,723
action,850,813,700
human,849,801,692
latest,845,839,686
office,843,797,689
seen,842,815,729
student,840,726,580
high,839,810,711
republican,837,773,555
remember,826,799,712
amid,824,824,646
protest,821,773,666
6,821,768,677
close,820,806,709
toronto,819,741,565
information,811,794,696
hope,811,799,719
york,808,777,643
nursing,806,739,610
cargill,806,721,468
wear,804,700,595
wrong,802,769,687
uk,802,738,522
policy,800,770,682
least,800,780,684
infected,798,741,644
war,796,704,613
essential,795,749,653
possible,793,779,707
hit,792,780,689
always,788,757,680
including,787,784,674
du,786,641,305
democrat,784,736,525
ford,783,700,503
citizen,779,729,602
hour,778,738,647
population,777,736,639
single,774,742,671
issue,773,740,666
everything,773,726,638
doesnt,773,756,655
justin,768,723,575
10,767,715,644
result,765,732,648
group,762,722,657
employee,762,717,616
history,761,747,657
drug,761,692,599
almost,761,754,679
concern,760,747,651
killed,759,713,620
vote,758,636,544
second,755,732,663
dying,750,683,590
three,749,725,635
border,748,696,603
stayhome,746,745,589
relief,746,653,554
study,743,699,594
used,742,735,639
increase,741,696,579
problem,740,700,623
police,736,675,581
claim,734,718,620
press,733,692,606
contact,733,659,593
yes,732,680,612
he,732,658,584
task,730,700,574
stayathome,730,725,596
cut,730,676,583
feel,728,684,618
despite,727,724,647
according,726,726,606
treatment,725,694,589
worse,722,706,634
actually,722,710,642
scientist,720,700,618
local,720,680,604
park,719,610,542
intelligence,718,652,565
power,716,654,568
love,716,682,624
govt,715,667,564
law,714,665,582
failure,714,655,564
fear,713,685,590
reason,709,689,620
past,707,690,600
billion,707,669,584
check,706,684,612
longterm,705,687,545
fordnation,702,685,471
post,701,690,617
clear,700,696,631
small,698,663,601
didnt,698,665,588
south,696,643,528
something,693,682,619
try,691,688,608
nearly,691,685,601
join,691,674,582
old,690,647,580
fighting,689,675,446
word,688,664,599
science,688,641,570
act,688,659,591
usa,686,641,494
research,686,646,523
meat,686,627,510
thought,685,681,615
came,683,650,572
au,682,584,288
personal,680,608,535
impact,680,671,587
thanks,679,667,608
matter,679,640,579
follow,679,666,602
shut,678,663,596
quarantine,677,633,550
facility,676,643,559
little,675,667,594
7,675,644,558
learn,674,668,562
conservative,674,631,519
guy,673,651,589
share,670,637,573
calling,670,662,605
save,668,647,574
decision,668,644,586
front,665,652,595
quebec,663,606,483
store,662,619,559
likely,662,647,572
15,662,635,578
funding,660,637,563
failed,660,624,542
handling,657,627,536
cause,654,622,573
travel,653,609,526
soon,644,640,573
normal,641,580,539
recovery,640,610,518
100,638,614,554
30,637,616,553
gop,636,586,423
tweet,634,576,527
middle,634,608,541
gun,633,568,497
theyre,631,599,533
thread,627,616,525
lead,627,589,528
gate,623,544,422
ask,623,584,534
march,622,578,523
deadly,622,615,541
yesterday,621,597,536
return,621,602,538
mother,621,554,511
communist,621,597,463
20,621,610,562
black,620,571,494
provide,619,613,537
lack,619,584,523
worst,617,583,513
cbc,616,589,461
blame,615,578,533
closed,614,596,551
youre,613,554,496
living,613,591,543
idea,611,582,526
talk,609,591,531
mental,608,540,449
hold,608,604,525
dangerous,608,595,530
prime,607,590,497
leadership,607,592,532
attack,606,574,502
8,606,588,538
12,606,596,531
stand,605,599,551
model,605,534,468
found,603,599,550
behind,603,597,542
fake,599,541,456
article,599,578,489
went,597,582,515
sign,596,585,520
l,595,501,285
might,591,582,540
looking,591,575,527
symptom,590,540,483
entire,589,580,527
anything,585,577,522
reporting,583,569,493
access,583,561,488
rest,581,566,525
plus,581,529,392
challenge,581,574,510
morning,580,564,523
outside,579,565,520
given,579,576,521
threat,577,555,484
answer,575,557,503
needed,574,567,516
deal,574,565,508
kill,572,551,508
wearing,570,545,495
visit,570,556,486
freedom,569,496,416
program,568,537,480
among,568,547,492
investigation,567,531,474
future,566,550,486
cnn,566,550,453
understand,565,554,501
especially,563,563,520
online,561,537,467
wont,560,541,497
guideline,560,542,482
florida,560,517,410
true,558,540,496
fund,556,533,488
cost,556,532,492
vulnerable,554,542,480
step,554,526,493
isnt,552,534,491
14,550,523,483
continues,549,546,491
announced,549,546,500
n95,548,514,428
else,547,541,494
demand,547,536,482
run,546,505,455
allowed,546,531,490
whether,545,491,446
twitter,544,517,459
frontline,544,532,480
there,543,530,481
maybe,543,522,479
become,543,539,500
level,541,532,487
ottawa,540,503,374
conspiracy,538,517,461
pa,536,437,227
knew,535,513,466
campaign,535,512,459
set,534,524,485
est,533,477,293
industry,532,498,451
folk,532,516,470
iran,530,467,150
youtube,529,514,389
weekend,529,508,466
seems,526,518,477
disaster,526,510,451
election,525,504,448
curve,525,496,450
current,521,505,474
let,520,508,462
24,520,475,410
miller,519,348,272
source,518,486,440
une,516,464,261
resource,516,490,441
condition,516,496,437
term,515,496,455
situation,514,494,428
reporter,513,482,419
january,513,501,442
warning,511,500,444
took,511,501,467
able,511,502,462
rt,509,471,404
key,509,508,443
alone,509,496,464
officer,507,489,434
friday,506,500,447
california,506,470,397
listen,505,487,429
60,505,492,442
here,504,503,452
ccp,504,468,362
sur,503,422,228
zero,501,476,435
wave,501,443,397
dollar,501,488,447
briefing,501,477,415
benefit,500,478,415
started,499,490,459
minute,499,483,419
epidemic,498,482,426
dans,498,446,229
county,498,413,357
leave,497,488,446
11,494,481,431
security,491,477,435
record,491,483,446
jkenney,490,478,314
message,489,470,433
head,489,477,434
opening,488,474,435
kind,488,484,438
prison,487,444,371
politician,487,467,413
market,487,450,395
happen,487,479,442
project,486,460,422
allow,486,478,430
icu,485,446,402
heart,485,467,425
former,485,482,430
critical,485,483,428
chief,485,471,421
mike,483,471,420
area,482,446,407
major,481,472,434
course,481,473,426
restaurant,479,437,404
release,479,464,429
different,479,451,430
centre,479,449,396
ban,479,438,394
paid,478,452,418
criminal,478,441,397
higher,477,456,420
giving,477,459,427
bcpoli,477,476,250
spreading,476,470,436
helping,475,467,418
street,474,453,404
trust,471,429,398
half,470,442,409
move,469,463,423
body,469,451,407
tam,468,421,359
low,468,454,420
whole,467,464,428
sent,467,460,420
abpoli,466,466,284
special,465,456,413
poll,465,435,379
monday,465,459,396
taken,464,458,432
prevent,464,458,418
highest,464,444,397
caused,464,450,417
wait,463,453,401
