Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
pandemic,15147,14647,5643
people,11363,9938,4476
trump,10932,9412,2728
death,8067,6330,3093
u,7722,6961,3529
new,7318,6515,3451
case,6974,5453,2828
say,6402,5979,3204
de,5947,2717,788
one,5777,5424,3202
health,5655,5161,2896
home,5650,5072,2960
day,5334,4504,2711
get,5183,4802,3015
time,5125,4832,3051
canada,5124,4617,2648
need,4784,4493,2823
virus,4524,4144,2465
china,4473,3555,1906
lockdown,4369,4134,2249
mask,4228,3504,2249
state,4177,3836,2065
government,4101,3892,2398
american,3913,3578,1790
would,3838,3529,2307
may,3689,3418,2283
world,3672,3342,2221
today,3606,3459,2338
canadian,3540,3212,1994
country,3378,3219,2094
know,3347,3123,2198
public,3287,3013,2050
care,3235,2907,1957
many,3219,3015,2094
week,3213,2917,2049
cdnpoli,3205,3196,1605
work,3156,2964,2132
life,3149,2973,2037
president,3118,2905,1578
social,3110,3022,2141
back,3081,2972,2092
want,3014,2794,1948
vaccine,2993,2442,1612
go,2992,2806,1996
response,2945,2806,1866
take,2927,2775,1986
via,2926,2919,1766
help,2879,2661,1890
right,2853,2677,1881
even,2848,2775,1966
million,2793,2456,1689
news,2767,2582,1738
make,2746,2643,1928
distancing,2731,2654,1928
ontario,2719,2588,1463
year,2667,2506,1825
going,2662,2486,1824
worker,2656,2362,1675
number,2654,2463,1736
still,2624,2511,1805
see,2566,2479,1843
testing,2561,2222,1513
test,2508,2063,1490
realdonaldtrump,2508,2461,1304
stay,2504,2276,1720
trudeau,2497,2300,1295
said,2473,2348,1590
think,2463,2312,1693
dr,2463,2309,1633
support,2418,2283,1678
could,2413,2312,1705
first,2349,2278,1702
crisis,2296,2207,1566
way,2270,2161,1688
2,2231,2090,1575
month,2230,2171,1612
le,2195,1727,1022
patient,2194,1983,1407
1,2171,2039,1552
died,2138,1995,1381
business,2121,1916,1403
plan,2104,1898,1392
good,2103,2011,1588
keep,2061,1982,1537
thing,2055,1985,1470
also,2025,1991,1532
look,1998,1878,1468
report,1991,1884,1369
outbreak,1982,1898,1390
spread,1965,1906,1421
family,1934,1792,1393
economy,1908,1828,1385
please,1902,1803,1406
two,1863,1806,1401
must,1840,1729,1316
show,1833,1768,1410
hospital,1805,1684,1280
every,1802,1707,1333
never,1801,1732,1357
breaking,1800,1794,1320
since,1746,1685,1332
well,1743,1702,1382
risk,1732,1609,1267
america,1730,1606,1107
order,1721,1610,1177
due,1716,1661,1328
great,1709,1622,1305
job,1684,1561,1225
much,1680,1621,1312
call,1680,1574,1245
city,1671,1440,1074
cdc,1637,1492,1007
data,1627,1434,1090
doctor,1616,1528,1201
really,1612,1509,1216
come,1611,1592,1289
made,1607,1553,1238
medium,1601,1512,1119
open,1572,1518,1219
read,1559,1510,1194
another,1552,1522,1226
last,1547,1512,1236
house,1541,1501,1085
community,1522,1423,1104
child,1509,1324,1033
positive,1503,1421,1040
federal,1482,1402,1107
update,1477,1430,989
global,1475,1418,1108
question,1469,1372,1136
live,1468,1408,1078
safe,1466,1396,1131
minister,1464,1391,1026
without,1460,1397,1120
hydroxychloroquine,1448,1378,967
everyone,1445,1422,1183
onpoli,1439,1439,816
working,1425,1389,1157
face,1425,1339,1082
reopening,1417,1361,1055
3,1413,1359,1090
school,1408,1164,913
chinese,1404,1217,841
end,1400,1366,1117
rate,1389,1282,1007
long,1388,1326,1101
official,1381,1328,1003
stop,1379,1318,1072
national,1370,1305,998
medical,1361,1320,1035
study,1345,1275,978
tested,1338,1145,910
story,1332,1280,982
taking,1319,1265,1037
yet,1311,1293,1079
dead,1309,1239,882
protect,1302,1216,990
use,1298,1248,1040
got,1293,1268,1032
service,1291,1218,1005
province,1290,1260,977
watch,1288,1250,911
et,1288,1029,512
obama,1283,1122,756
nursing,1282,1144,753
un,1277,1110,644
ago,1274,920,797
vote,1272,1096,808
trying,1261,1202,973
done,1251,1195,1017
total,1249,1076,788
money,1245,1152,942
expert,1235,1175,967
wear,1230,1037,852
getting,1229,1196,1009
better,1224,1173,976
democrat,1216,1115,708
away,1207,1178,974
bill,1199,1127,843
give,1194,1148,971
put,1193,1171,976
place,1188,1159,979
5,1185,1119,930
2020,1185,1131,893
bc,1176,1055,705
nation,1173,1129,906
lost,1162,1118,910
infection,1157,1094,856
pay,1154,1087,942
anyone,1145,1120,936
part,1143,1116,940
die,1139,1061,848
white,1134,1089,815
governor,1133,1080,756
tell,1132,1103,911
next,1125,1093,949
mean,1123,1039,888
told,1121,1067,881
around,1119,1083,916
100000,1115,1085,723
thousand,1112,1081,892
woman,1107,1002,853
second,1105,1075,891
find,1105,1091,947
company,1099,1021,846
reopen,1098,1077,871
leader,1098,1065,870
others,1091,1065,898
republican,1088,1010,701
enough,1083,1001,858
thank,1077,1047,866
change,1075,1023,878
real,1074,1028,865
cant,1071,993,841
4,1067,1016,832
economic,1065,1041,860
sick,1061,978,790
daily,1061,1024,820
continue,1061,1028,859
toronto,1060,987,733
ford,1058,984,668
drug,1055,967,774
rule,1046,975,784
thats,1043,984,828
across,1033,1022,841
far,1029,1005,850
pm,1026,971,774
fact,1021,970,788
left,1020,960,808
party,1017,957,780
lot,1016,958,831
man,1010,901,792
wearing,1007,927,788
liberal,1007,953,722
important,1002,986,833
system,998,968,809
administration,998,973,689
using,997,970,815
disease,996,966,794
10,995,964,796
fight,989,949,820
justintrudeau,983,967,686
alberta,983,897,602
united,981,967,781
making,975,967,837
lie,970,845,672
video,969,887,775
nothing,968,941,817
saying,967,954,804
ever,965,941,805
wave,959,864,752
bad,954,883,750
wrong,948,869,723
food,948,812,697
donald,946,927,643
member,945,905,785
hand,938,885,774
big,935,912,781
full,931,918,807
problem,924,868,752
ableg,923,919,406
reported,921,847,692
kid,921,835,705
human,921,876,758
premier,919,880,677
least,918,879,758
believe,914,883,773
free,909,862,747
fordnation,907,900,560
per,904,814,692
already,900,878,753
senior,890,776,685
election,887,823,657
start,886,860,769
together,884,863,736
measure,882,866,740
including,882,857,739
gov,881,853,637
policy,880,854,727
best,880,860,770
hard,878,864,764
resident,873,796,646
fear,873,825,697
sure,867,851,739
increase,866,804,680
infected,863,824,695
action,860,838,707
pour,859,702,309
flu,858,717,596
point,857,844,719
nearly,856,839,688
early,854,818,680
wuhan,852,808,626
hit,850,842,738
friend,848,804,703
coming,845,832,740
person,843,813,697
church,841,699,573
political,840,812,690
border,839,760,640
6,836,810,703
weekend,834,802,680
amid,833,831,656
issue,832,804,727
confirmed,831,791,632
line,830,795,709
thanks,828,821,729
called,828,816,722
park,826,742,648
emergency,824,791,656
essential,822,752,658
check,822,798,695
population,820,760,647
healthcare,819,755,631
hope,815,787,702
restriction,814,795,694
feel,813,798,714
remember,812,798,710
decision,812,759,661
control,811,780,660
science,801,725,614
gop,801,705,504
closed,801,736,656
toll,799,780,590
something,799,787,695
group,799,746,653
govt,798,737,585
conservative,797,722,579
contact,796,732,637
fauci,792,683,547
result,791,745,637
he,791,700,590
actually,788,777,690
close,784,755,672
thought,779,763,663
high,779,747,643
doesnt,777,757,670
despite,777,765,649
safety,776,747,662
uk,774,713,513
used,773,748,660
three,772,763,681
latest,772,767,637
w,767,663,546
small,761,724,648
local,760,735,639
recovery,759,717,606
reason,758,748,664
history,757,737,649
100,755,733,656
found,754,748,660
staff,752,696,610
march,751,718,598
cut,749,689,605
everything,748,727,646
someone,746,720,646
york,745,717,603
student,743,659,519
almost,742,738,634
team,741,692,621
du,737,606,293
symptom,734,673,583
12,733,715,621
travel,731,668,586
research,730,652,553
evidence,728,695,608
effort,728,715,620
leave,727,700,603
