Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.06514,0.436,0.08757,0.11087,0.06317,0.09238,0.84926,0.13245
2,-0.03285,0.37744,0.04962,0.07766,0.05855,0.09031,0.89182,0.11252
3,-0.13195,0.44911,0.06489,0.08966,0.10919,0.11984,0.82592,0.13561
4,-0.02359,0.46817,0.08163,0.10685,0.089,0.11189,0.82937,0.13891
5,-0.05218,0.38824,0.0549,0.08984,0.07188,0.10464,0.87322,0.13372
