Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
pandemic,15147,14647,14.48176,5643,45.18376
people,11363,9938,9.82589,4476,35.83954
trump,10932,9412,9.30582,2728,21.84322
death,8067,6330,6.25859,3093,24.76579
new,7318,6515,6.4415,3451,27.63232
case,6974,5453,5.39148,2828,22.64393
say,6402,5979,5.91155,3204,25.65458
de,5947,2717,2.68635,788,6.30955
one,5777,5424,5.36281,3202,25.63856
health,5655,5161,5.10278,2896,23.18841
home,5650,5072,5.01478,2960,23.70086
day,5334,4504,4.45319,2711,21.7071
get,5183,4802,4.74783,3015,24.14124
time,5125,4832,4.77749,3051,24.4295
canada,5124,4617,4.56491,2648,21.20266
need,4784,4493,4.44231,2823,22.60389
virus,4524,4144,4.09725,2465,19.73737
china,4473,3555,3.5149,1906,15.26143
lockdown,4369,4134,4.08736,2249,18.00785
mask,4228,3504,3.46447,2249,18.00785
state,4177,3836,3.79273,2065,16.53455
government,4101,3892,3.84809,2398,19.2009
american,3913,3578,3.53764,1790,14.33261
u,3909,3551,3.51094,2387,19.11282
would,3838,3529,3.48919,2307,18.47226
US,3813,3502,3.46249,1990,15.93402
may,3689,3418,3.37944,2283,18.28009
world,3672,3342,3.3043,2221,17.78365
today,3606,3459,3.41998,2338,18.72047
canadian,3540,3212,3.17576,1994,15.96605
country,3378,3219,3.18269,2094,16.76675
know,3347,3123,3.08777,2198,17.59949
public,3287,3013,2.97901,2050,16.41444
care,3235,2907,2.87421,1957,15.66979
many,3219,3015,2.98099,2094,16.76675
week,3213,2917,2.88409,2049,16.40644
cdnpoli,3205,3196,3.15995,1605,12.85131
work,3156,2964,2.93056,2132,17.07102
life,3149,2973,2.93946,2037,16.31035
president,3118,2905,2.87223,1578,12.63512
social,3110,3022,2.98791,2141,17.14309
back,3081,2972,2.93847,2092,16.75074
want,3014,2794,2.76248,1948,15.59773
vaccine,2993,2442,2.41445,1612,12.90736
go,2992,2806,2.77434,1996,15.98206
response,2945,2806,2.77434,1866,14.94115
take,2927,2775,2.74369,1986,15.90199
via,2926,2919,2.88607,1766,14.14044
help,2879,2661,2.63098,1890,15.13332
right,2853,2677,2.6468,1881,15.06125
even,2848,2775,2.74369,1966,15.74185
million,2793,2456,2.42829,1689,13.5239
news,2767,2582,2.55287,1738,13.91625
make,2746,2643,2.61318,1928,15.43759
distancing,2731,2654,2.62406,1928,15.43759
ontario,2719,2588,2.5588,1463,11.71431
year,2667,2506,2.47773,1825,14.61286
going,2662,2486,2.45795,1824,14.60485
worker,2656,2362,2.33535,1675,13.4118
number,2654,2463,2.43521,1736,13.90023
still,2624,2511,2.48267,1805,14.45272
see,2566,2479,2.45103,1843,14.75699
testing,2561,2222,2.19693,1513,12.11466
test,2508,2063,2.03973,1490,11.9305
realdonaldtrump,2508,2461,2.43324,1304,10.44119
stay,2504,2276,2.25032,1720,13.77212
trudeau,2497,2300,2.27405,1295,10.36912
said,2473,2348,2.32151,1590,12.7312
think,2463,2312,2.28592,1693,13.55593
dr,2463,2309,2.28295,1633,13.07551
support,2418,2283,2.25724,1678,13.43582
could,2413,2312,2.28592,1705,13.65201
first,2349,2278,2.2523,1702,13.62799
crisis,2296,2207,2.1821,1566,12.53903
way,2270,2161,2.13662,1688,13.51589
2,2231,2090,2.06642,1575,12.6111
month,2230,2171,2.14651,1612,12.90736
le,2195,1727,1.70752,1022,8.1832
patient,2194,1983,1.96063,1407,11.26591
1,2171,2039,2.016,1552,12.42694
died,2138,1995,1.97249,1381,11.05773
business,2121,1916,1.89439,1403,11.23389
plan,2104,1898,1.87659,1392,11.14581
good,2103,2011,1.98831,1588,12.71519
keep,2061,1982,1.95964,1537,12.30683
thing,2055,1985,1.96261,1470,11.77036
also,2025,1991,1.96854,1532,12.26679
look,1998,1878,1.85681,1468,11.75434
report,1991,1884,1.86275,1369,10.96165
outbreak,1982,1898,1.87659,1390,11.12979
spread,1965,1906,1.8845,1421,11.37801
family,1934,1792,1.77178,1393,11.15382
economy,1908,1828,1.80738,1385,11.08976
please,1902,1803,1.78266,1406,11.25791
two,1863,1806,1.78563,1401,11.21787
must,1840,1729,1.70949,1316,10.53727
show,1833,1768,1.74805,1410,11.28994
hospital,1805,1684,1.665,1280,10.24902
every,1802,1707,1.68774,1333,10.67339
never,1801,1732,1.71246,1357,10.86556
breaking,1800,1794,1.77376,1320,10.5693
