Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,33331,32.95498,8915,71.38282
2,13932,13.77483,4847,38.81015
3,18422,18.21418,4359,34.90271
4,21412,21.17045,6778,54.27176
5,14044,13.88557,4636,37.12067
