Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,pandemic,67218,65448,9912
1,election,8851,8158,3096
1,help,11701,10998,4658
1,support,9515,8643,3814
1,tax,5217,4674,2456
1,crisis,5869,5427,2789
1,billion,4948,4144,2248
1,economy,6091,5898,2870
1,make,12768,12331,4901
1,need,22883,21298,6411
1,right,13472,12729,4642
1,year,15761,13860,5392
1,great,5231,5077,2964
1,time,20345,19331,6376
1,economic,4660,4485,2470
2,case,59499,44595,7271
2,new,42129,36277,7269
2,ontario,25679,24162,4744
2,report,9626,9403,3674
2,number,14455,13148,4796
2,today,20558,19519,5898
2,toronto,10848,10072,3156
2,reported,6212,5830,2666
2,infection,6699,6434,2926
2,ottawa,8624,7987,2575
2,reporting,5311,4901,2260
2,breaking,10435,10309,3728
2,total,6130,5315,2390
2,day,22163,19865,6040
2,daily,5258,4981,2453
3,mask,34186,28494,6848
3,wear,13228,11981,4710
3,social,10358,9966,4318
3,stay,7935,7521,3904
3,distancing,6318,6187,3215
3,face,6052,5707,2955
3,wearing,5421,5138,2775
3,safe,8203,7786,3695
3,rule,5160,4713,2594
3,people,55639,48513,8550
3,spread,10110,9753,4115
3,work,12926,12116,4894
3,home,14036,12892,5082
3,hand,5106,4733,2716
3,app,5597,4808,2393
4,trump,49230,41729,4418
4,american,20768,19183,3490
4,200000,9992,9861,2407
4,realdonaldtrump,7374,7217,2117
4,biden,7766,6913,2209
4,president,15205,13939,3366
4,died,12015,10971,3601
4,donald,4916,4786,1686
4,dead,4786,4628,2086
4,life,13530,12993,4592
4,lie,4249,3828,1823
4,death,32450,26656,5618
4,million,17084,15225,4587
4,campaign,4211,3949,2059
4,herd,3480,2627,1411
5,test,24504,20981,5742
5,positive,15392,14364,4701
5,testing,17317,15093,4620
5,tested,11104,9938,3998
5,house,6727,6371,2913
5,symptom,5817,5303,2746
5,result,5732,5524,3014
5,contact,6040,5402,2671
5,leader,8078,7654,3398
5,line,5757,5520,2838
5,member,4649,4474,2490
5,white,4274,4015,1803
5,centre,4319,3909,1971
5,hour,5356,5172,2908
5,erin,3421,3337,1436
6,people,55639,48513,8550
6,death,32450,26656,5618
6,world,11672,10732,4273
6,country,13197,12804,4462
6,million,17084,15225,4587
6,lockdown,15539,14408,4159
6,rate,8352,7559,3248
6,died,12015,10971,3601
6,fear,3843,3716,1810
6,population,3824,3607,2039
6,year,15761,13860,5392
6,politician,3286,3191,1773
6,number,14455,13148,4796
6,month,13023,12493,4720
6,virus,20033,18559,5216
7,wave,12696,11198,4033
7,second,11480,10779,4090
7,news,11669,11158,4258
7,canada,24047,22176,5609
7,trudeau,10510,9764,2812
7,minister,6287,5961,2582
7,say,29263,27212,6316
7,premier,6780,6296,2412
7,plan,14045,12214,4208
7,live,6140,5903,3002
7,fall,3671,3626,2144
7,worse,3471,3371,2159
7,province,9086,8843,3272
7,update,6247,6132,2351
7,wont,3647,3551,2148
8,school,25616,19904,5101
8,outbreak,9818,8762,3301
8,state,11963,10690,3450
8,student,7612,6729,2891
8,alberta,5653,5177,1763
8,child,8158,6986,3223
8,2020,5452,5272,2735
8,kid,6964,6277,3003
8,ableg,4077,4071,936
8,teacher,4035,3466,1775
8,united,3312,3240,1782
8,bc,7275,6551,2356
8,death,32450,26656,5618
8,closed,2912,2840,1869
8,parent,3847,3530,1999
9,fordnation,10758,10500,2416
9,onpoli,12024,12019,2594
9,people,55639,48513,8550
9,ontario,25679,24162,4744
9,ford,10219,9233,2392
9,hospital,8139,7577,3294
9,open,5451,5127,2864
9,home,14036,12892,5082
9,stop,8016,7469,3571
9,celliottability,2968,2938,1020
9,bar,5021,4763,2442
9,thing,10072,9262,4116
9,gathering,5438,5057,2610
9,doug,5420,5097,1641
9,seriously,2178,2146,1489
10,cdc,15219,13713,3446
10,vaccine,14839,12170,3969
10,science,4895,4454,2336
10,read,5601,5501,3025
10,dr,11904,11134,4080
10,fauci,3818,3324,1601
10,director,3274,3213,1631
10,say,29263,27212,6316
10,study,3576,3405,1926
10,scientist,3356,3133,1847
10,information,4297,4114,2353
10,trust,3010,2533,1575
10,expert,5234,5064,2667
10,wow,2167,2127,1556
10,important,5121,5010,2884
11,health,32919,30016,6803
11,care,17075,14859,4645
11,public,19115,18043,5599
11,worker,6911,6408,2959
11,away,7468,6829,3086
11,pandemic,67218,65448,9912
11,condition,4515,4379,2009
11,healthcare,4752,4523,2292
11,court,4420,4169,1827
11,vote,9289,7990,2932
11,republican,3990,3809,1457
11,act,4058,3951,2133
11,medical,5611,5364,2754
11,middle,4506,4462,2253
11,preexisting,2769,2700,1181
12,government,21358,19438,5359
12,cdnpoli,17049,17024,3291
12,canadian,17001,15379,4431
12,liberal,6502,5981,2271
12,president,15205,13939,3366
12,federal,6754,6296,2828
12,america,6413,6107,2275
12,speech,4637,4399,2297
12,threat,3556,3494,1949
12,yes,3665,3458,2289
12,good,10541,10107,4461
12,truth,3654,3542,1904
12,ndp,3297,2946,1354
12,trudeau,10510,9764,2812
12,pandemic,67218,65448,9912
13,le,11901,9495,3258
13,et,6643,5172,1271
13,pour,3995,3339,752
13,du,3491,2959,650
13,au,3435,2728,626
