Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,59307,12.75137,10310,62.21337
2,30577,6.57424,5839,35.23413
3,37980,8.16593,8727,52.66112
4,38640,8.30784,4973,30.00845
5,29789,6.40482,7053,42.55974
6,31921,6.86321,6596,39.80208
7,23904,5.13951,5890,35.54188
8,24964,5.36741,5979,36.07893
9,28722,6.17541,6361,38.38402
10,34918,7.50758,6598,39.81414
11,20963,4.50717,5373,32.42216
12,30331,6.52135,6136,37.02631
13,16164,3.47536,2632,15.88221
14,25294,5.43837,6495,39.19261
15,31629,6.80043,7925,47.82163
