Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,122007,35.03914,12513,78.04041
2,48256,13.85862,7596,47.37433
3,75951,21.81234,10961,68.36098
4,47853,13.74288,6899,43.02732
5,54135,15.54701,6492,40.48896
