Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,pandemic,56518,54717,15.71415,9462,59.0121
1,vaccine,11737,9493,2.72629,3514,21.91593
1,canadian,12007,11063,3.17718,3743,23.34414
1,government,13711,12689,3.64415,4513,28.14644
1,canada,18553,17054,4.89773,5171,32.25022
1,cdnpoli,10539,10530,3.02411,2801,17.46913
1,trudeau,9235,7966,2.28775,2436,15.19272
1,time,16165,15277,4.3874,5760,35.92366
1,people,39411,34447,9.89282,7290,45.46588
1,economy,8090,7667,2.20188,3326,20.74342
1,need,16656,15292,4.3917,5461,34.05887
1,job,8251,7537,2.16455,3510,21.89098
1,going,10198,9681,2.78028,4268,26.61844
1,right,10557,10006,2.87362,4008,24.99688
1,know,11648,10917,3.13525,4385,27.34814
2,case,33556,25420,7.30036,5625,35.0817
2,new,29378,25361,7.28342,6395,39.884
2,positive,8404,7892,2.2665,3425,21.36086
2,test,11403,9944,2.85581,3949,24.62891
2,report,7704,7460,2.14243,3159,19.70188
2,update,5537,5436,1.56116,2266,14.13247
2,state,12011,10376,2.97988,3500,21.82861
2,death,29203,23539,6.76016,5258,32.79282
2,tested,6073,5617,1.61314,2767,17.25708
2,today,12870,12338,3.54335,4645,28.96969
2,canada,18553,17054,4.89773,5171,32.25022
2,le,8463,6854,1.9684,2889,18.01796
2,reported,4696,4322,1.24123,2253,14.05139
2,day,16161,14762,4.23949,5152,32.13172
2,number,10486,9823,2.82106,3941,24.57902
3,mask,27503,22988,6.60191,6234,38.87988
3,school,23554,19656,5.645,5222,32.56829
3,wear,10725,9825,2.82164,4088,25.49582
3,child,10246,8795,2.52583,3663,22.8452
3,social,9457,9074,2.60596,4072,25.39603
3,kid,7808,6932,1.9908,3116,19.4337
3,distancing,7474,7257,2.08414,3469,21.63528
3,student,8396,7430,2.13382,3158,19.69565
3,home,10586,9822,2.82078,4359,27.18598
3,teacher,6462,5598,1.60769,2485,15.49832
3,need,16656,15292,4.3917,5461,34.05887
3,stay,5264,4978,1.42963,2929,18.26743
3,class,5964,5199,1.4931,2349,14.65012
3,spread,7090,6800,1.95289,3214,20.0449
3,health,20114,18076,5.19124,5498,34.28963
4,death,29203,23539,6.76016,5258,32.79282
4,people,39411,34447,9.89282,7290,45.46588
4,died,12194,10822,3.10797,3629,22.63315
4,cdc,11769,11072,3.17976,2992,18.66035
4,american,17226,15353,4.40922,3646,22.73918
4,number,10486,9823,2.82106,3941,24.57902
4,virus,15215,14179,4.07206,4580,28.5643
4,dead,4545,4358,1.25157,2026,12.63565
4,die,4352,4087,1.17374,2147,13.3903
4,republican,5704,5092,1.46237,1937,12.08058
4,realdonaldtrump,7428,7123,2.04565,2226,13.883
4,actually,3706,3651,1.04853,2117,13.20319
4,testing,8046,7096,2.0379,2950,18.3984
4,world,10657,9603,2.75788,4077,25.42722
4,america,7814,7267,2.08701,2672,16.66459
5,trump,40451,32996,9.47611,4280,26.69328
5,president,9638,8953,2.57121,2763,17.23213
5,biden,5788,5232,1.50258,2030,12.6606
5,pandemic,56518,54717,15.71415,9462,59.0121
5,house,5628,5213,1.49712,2308,14.39441
5,vote,5485,4890,1.40436,2245,14.0015
5,white,5253,4779,1.37248,2000,12.47349
5,donald,4464,4268,1.22573,1696,10.57752
5,response,8226,8043,2.30987,3474,21.66646
5,american,17226,15353,4.40922,3646,22.73918
5,america,7814,7267,2.08701,2672,16.66459
5,fda,3877,3289,0.94457,1498,9.34265
5,failed,3514,3199,0.91872,1667,10.39666
5,said,9876,9315,2.67517,3805,23.73082
5,joe,3115,2761,0.79293,1400,8.73145
