Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.00743,0.46045,0.08496,0.10881,0.0795,0.10214,0.83553,0.13479
2,0.02304,0.34522,0.04776,0.07738,0.03931,0.07475,0.91293,0.10277
3,0.04918,0.41686,0.07626,0.09848,0.06065,0.08759,0.86309,0.12121
4,-0.20856,0.45999,0.05942,0.09286,0.12659,0.12941,0.81399,0.14314
5,-0.10586,0.43533,0.06069,0.08831,0.09586,0.11221,0.84345,0.1356
