Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,955,3.29378,714,11.64194
2,790,2.7247,576,9.39181
3,967,3.33517,593,9.669
4,771,2.65917,542,8.83744
5,804,2.77299,627,10.22338
6,712,2.45568,559,9.11463
7,585,2.01766,440,7.1743
8,806,2.77989,597,9.73422
9,708,2.44188,559,9.11463
10,620,2.13837,509,8.29936
11,702,2.42119,508,8.28306
12,565,1.94868,458,7.4678
13,731,2.52121,550,8.96788
14,441,1.521,363,5.9188
15,565,1.94868,467,7.61454
16,441,1.521,395,6.44057
17,660,2.27633,536,8.73961
18,558,1.92454,461,7.51671
19,532,1.83486,375,6.11446
20,556,1.91764,454,7.40258
21,598,2.0625,424,6.91342
22,520,1.79347,413,6.73406
23,757,2.61089,577,9.40812
24,594,2.0487,460,7.50041
25,602,2.07629,505,8.23414
26,575,1.98317,453,7.38627
27,735,2.53501,549,8.95157
28,613,2.11423,465,7.58193
29,611,2.10733,458,7.4678
30,558,1.92454,448,7.30474
31,600,2.06939,487,7.94065
32,469,1.61758,359,5.85358
33,653,2.25219,444,7.23952
34,581,2.00386,468,7.63085
35,493,1.70035,421,6.8645
36,696,2.4005,569,9.27768
37,586,2.02111,463,7.54932
38,599,2.06594,497,8.1037
39,558,1.92454,454,7.40258
40,639,2.2039,489,7.97326
41,630,2.17286,523,8.52764
42,666,2.29703,521,8.49503
43,541,1.8659,416,6.78298
44,585,2.01766,482,7.85912
45,1066,3.67662,382,6.2286
