Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
vaccine,5117,4250,14.65821,2166,35.31714
pandemic,4529,4404,15.18935,2322,37.86075
case,3825,2878,9.92619,1510,24.6209
people,3583,3184,10.98158,1845,30.08316
ontario,3389,2986,10.29868,1413,23.0393
lockdown,3270,2764,9.53301,1423,23.20235
new,3075,2624,9.05015,1529,24.9307
get,2073,1820,6.27716,1262,20.57721
say,2011,1881,6.48755,1182,19.27279
de,1963,891,3.07305,328,5.34812
icu,1920,1724,5.94606,1063,17.33246
one,1763,1635,5.6391,1131,18.44122
health,1752,1614,5.56667,1031,16.8107
school,1627,1316,4.53887,830,13.53334
canada,1626,1530,5.27695,1033,16.84331
death,1594,1357,4.68028,931,15.18017
today,1560,1488,5.1321,1010,16.46829
patient,1539,1298,4.47679,855,13.94098
year,1525,1372,4.73201,1039,16.94114
need,1524,1439,4.9631,1004,16.37045
onpoli,1482,1481,5.10795,729,11.88652
time,1438,1369,4.72167,1036,16.89222
government,1425,1375,4.74236,948,15.45736
variant,1359,1111,3.83183,774,12.62025
day,1290,1200,4.13879,868,14.15294
u,1230,1028,3.54556,780,12.71808
number,1228,1162,4.00773,838,13.66379
week,1224,1156,3.98703,830,13.53334
ford,1201,1123,3.87322,654,10.66362
care,1167,1115,3.84562,800,13.04419
home,1109,1006,3.46968,765,12.4735
mask,1075,932,3.21446,695,11.33214
public,1048,1002,3.45589,730,11.90282
fordnation,982,969,3.34207,538,8.77222
vaccination,977,893,3.07995,698,11.38105
million,977,790,2.7247,630,10.2723
cdnpoli,972,972,3.35242,593,9.669
make,970,947,3.26619,756,12.32676
stay,967,863,2.97648,675,11.00603
hospital,960,915,3.15583,690,11.25061
since,957,937,3.2317,710,11.57672
premier,942,878,3.02821,586,9.55487
province,937,920,3.17307,697,11.36475
breaking,936,930,3.20756,715,11.65824
virus,929,839,2.8937,638,10.40274
would,913,774,2.66952,629,10.25599
restriction,910,890,3.0696,669,10.9082
last,893,856,2.95233,679,11.07125
right,876,831,2.86611,640,10.43535
report,863,834,2.87646,633,10.32121
wave,855,809,2.79023,611,9.9625
know,852,818,2.82127,647,10.54949
canadian,841,784,2.70401,589,9.60378
news,840,769,2.65227,608,9.91358
dos,840,571,1.96937,456,7.43519
still,819,748,2.57984,621,10.12555
many,804,762,2.62813,620,10.10925
take,800,772,2.66262,627,10.22338
going,789,753,2.59709,624,10.17447
toronto,784,732,2.52466,547,8.91896
vaccinated,781,743,2.5626,605,9.86467
please,762,705,2.43154,552,9.00049
bc,733,672,2.31772,390,6.35904
work,726,676,2.33152,558,9.09832
said,726,697,2.40395,543,8.85374
good,722,703,2.42464,568,9.26137
worker,718,678,2.33841,511,8.33197
1,710,648,2.23495,530,8.64177
another,707,689,2.37635,559,9.11463
thing,706,668,2.30392,568,9.26137
march,706,652,2.24874,525,8.56025
go,703,691,2.38325,575,9.37551
via,701,699,2.41084,523,8.52764
month,697,679,2.34186,550,8.96788
life,684,640,2.20735,515,8.3972
see,678,650,2.24184,559,9.11463
risk,677,567,1.95558,439,7.158
le,676,530,1.82796,326,5.31551
first,674,660,2.27633,563,9.17985
family,659,638,2.20046,528,8.60916
every,659,618,2.13148,512,8.34828
even,657,649,2.23839,529,8.62547
age,657,590,2.0349,475,7.74499
safe,656,638,2.20046,524,8.54394
data,656,622,2.14527,502,8.18523
also,645,633,2.18321,526,8.57655
country,637,611,2.10733,511,8.33197
dr,636,604,2.08319,483,7.87543
test,631,515,1.77623,416,6.78298
US,631,597,2.05905,494,8.05479
back,629,615,2.12113,526,8.57655
high,618,604,2.08319,479,7.81021
getting,618,574,1.97972,489,7.97326
highest,614,593,2.04525,466,7.59824
kid,611,526,1.81417,425,6.92972
2,603,572,1.97282,471,7.67977
total,599,530,1.82796,429,6.99495
spread,598,586,2.02111,466,7.59824
think,594,575,1.98317,478,7.7939
pfizer,586,537,1.85211,439,7.158
business,585,490,1.69,415,6.76667
help,583,559,1.92799,460,7.50041
3,581,558,1.92454,484,7.89173
child,578,493,1.70035,388,6.32643
tomorrow,574,568,1.95903,437,7.12539
two,572,563,1.94178,471,7.67977
way,569,555,1.91419,464,7.56563
could,566,556,1.91764,473,7.71238
