Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.01476,0.33967,0.04855,0.0968,0.04495,0.10249,0.90647,0.14583
2,0.04491,0.35248,0.07163,0.08487,0.0579,0.0755,0.87048,0.12389
3,0.05679,0.32495,0.04574,0.06867,0.02838,0.06772,0.92587,0.09262
4,-0.06172,0.34657,0.0395,0.06737,0.06322,0.11063,0.89729,0.13231
5,0.09298,0.51384,0.11652,0.10834,0.08125,0.09161,0.80225,0.12355
6,0.24108,0.41432,0.11403,0.10103,0.03403,0.05387,0.85193,0.08713
7,0.01274,0.31965,0.03826,0.06401,0.03998,0.07707,0.92175,0.09463
8,-0.03606,0.35163,0.04208,0.07962,0.052,0.08182,0.9059,0.10943
9,0.08076,0.41232,0.0746,0.09044,0.04999,0.08029,0.87541,0.11262
10,-0.00467,0.45416,0.07612,0.10167,0.07619,0.09513,0.84771,0.12343
11,0.08585,0.37699,0.06872,0.08454,0.04458,0.08185,0.88674,0.11425
12,0.01651,0.42648,0.06873,0.0889,0.06361,0.08486,0.86767,0.10983
13,0.07092,0.38649,0.06408,0.0927,0.04221,0.06993,0.89372,0.10773
14,-0.0066,0.32853,0.05138,0.0897,0.05327,0.09623,0.89534,0.13002
15,-0.01021,0.43328,0.07583,0.09869,0.07627,0.08843,0.84789,0.12357
16,-0.0136,0.41968,0.06895,0.10464,0.06007,0.08694,0.87098,0.12329
17,0.07083,0.40693,0.07169,0.09223,0.05126,0.09137,0.87705,0.12226
18,0.03408,0.33609,0.04708,0.09637,0.03156,0.05426,0.92135,0.10672
19,-0.02613,0.43488,0.06414,0.08193,0.06806,0.09674,0.86781,0.12185
20,0.01452,0.37623,0.05739,0.08705,0.05344,0.09243,0.88915,0.12522
21,0.06024,0.35388,0.07803,0.11073,0.05144,0.09347,0.87054,0.13461
22,-0.05875,0.43904,0.07632,0.11038,0.08623,0.10455,0.83746,0.14375
23,0.09153,0.43009,0.09789,0.11846,0.05966,0.08866,0.84245,0.13384
24,-0.16748,0.43026,0.04189,0.07607,0.09669,0.1153,0.86145,0.13537
25,-0.07382,0.44407,0.05852,0.09256,0.08174,0.11275,0.85974,0.13578
26,-0.09071,0.40227,0.05282,0.08384,0.07951,0.08885,0.86768,0.11752
27,-0.08851,0.4574,0.07195,0.09303,0.10096,0.11032,0.82709,0.12662
28,-0.09465,0.43365,0.06384,0.07681,0.10007,0.11745,0.83612,0.12681
29,0.0403,0.42175,0.07462,0.08979,0.06086,0.08324,0.86451,0.11139
30,-0.11474,0.46354,0.0652,0.09453,0.09994,0.1182,0.83486,0.1294
31,0.09114,0.3529,0.07489,0.10984,0.03812,0.08337,0.88701,0.14126
32,0.03257,0.35101,0.05905,0.0883,0.04585,0.08128,0.89512,0.11652
33,-0.00132,0.35052,0.04598,0.07433,0.04828,0.07412,0.90573,0.10332
34,0.05377,0.44182,0.0886,0.11018,0.06347,0.09813,0.8479,0.12868
35,0.03047,0.37459,0.07116,0.11183,0.05418,0.08072,0.87467,0.13047
36,-0.08526,0.42018,0.06042,0.09755,0.08436,0.11166,0.8552,0.14207
37,-0.03934,0.40747,0.0622,0.09045,0.10462,0.12793,0.83321,0.13481
38,0.12957,0.41782,0.08841,0.09826,0.05082,0.08126,0.86078,0.10791
39,0.08211,0.39198,0.07646,0.09576,0.0613,0.11218,0.86221,0.139
40,0.00343,0.38625,0.06594,0.09388,0.06605,0.09137,0.86799,0.13143
41,-0.10985,0.44725,0.07278,0.0941,0.11555,0.11401,0.81166,0.13148
42,0.07639,0.44024,0.1034,0.09896,0.07371,0.09246,0.82295,0.12723
43,-0.09248,0.46298,0.0664,0.08835,0.09692,0.12639,0.83668,0.13711
44,0.10289,0.3831,0.07879,0.096,0.04147,0.07724,0.87975,0.11508
45,-0.0206,0.20289,0.01036,0.04152,0.01525,0.0432,0.97439,0.06045
