Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,make,3194,3107,2262
1,help,3570,3327,2441
1,business,2615,2286,1699
1,support,2573,2379,1810
1,way,2579,2470,1915
1,big,1127,1097,941
1,important,1088,1060,933
1,food,1261,1098,925
1,best,1032,1007,925
1,hope,966,932,827
1,student,953,774,643
1,getting,1288,1237,1066
1,time,6040,5734,3676
1,coming,1124,1103,977
1,small,1127,1024,879
2,case,7186,5365,2998
2,death,8319,6361,3371
2,new,8258,7180,3922
2,number,2787,2524,1860
2,day,4957,4452,2944
2,report,2153,2088,1525
2,april,1651,1536,1222
2,total,1637,1432,1104
2,confirmed,1173,1081,900
2,rate,1255,1155,950
2,reported,1232,1120,889
2,million,3759,3290,2214
2,data,1451,1301,1065
2,hour,907,862,756
2,province,1345,1281,1018
3,trump,13884,11879,3535
3,president,4094,3863,2082
3,disinfectant,1299,1189,873
3,donald,1202,1148,880
3,administration,992,963,718
3,blame,833,766,678
3,said,3506,3237,2159
3,light,827,786,707
3,american,4280,3941,2116
3,kill,1071,998,814
3,cure,712,694,583
3,knew,678,612,533
3,failure,785,749,640
3,body,696,663,596
3,briefing,1318,1269,956
4,china,8615,7236,3207
4,cdnpoli,4198,4193,2009
4,trudeau,3546,3196,1709
4,canadian,3790,3490,2257
4,canada,6037,5532,3073
4,chinese,2024,1853,1299
4,justintrudeau,1340,1306,933
4,party,1488,1362,1088
4,minister,1413,1340,1053
4,conservative,1142,1069,813
4,liberal,1185,1134,824
4,government,4701,4460,2789
4,parliament,818,742,580
4,communist,733,709,552
4,justin,791,768,624
5,want,3682,3397,2355
5,going,3060,2926,2110
5,really,1693,1609,1347
5,people,11952,10697,4976
5,got,1383,1336,1128
5,tell,1466,1418,1198
5,friend,1118,1052,902
5,yes,874,834,760
5,lot,1067,1034,911
5,love,770,729,662
5,thats,975,933,810
5,hand,909,862,759
5,guy,682,654,585
5,maybe,713,660,596
5,told,1200,1154,978
6,home,5849,5387,3477
6,care,3990,3581,2405
6,stay,3294,2995,2255
6,worker,3671,3296,2249
6,thank,1541,1480,1224
6,safe,1623,1564,1303
6,resident,1148,1059,855
6,ontario,2222,2076,1334
6,staff,1185,1062,900
6,working,1802,1754,1396
6,toronto,964,895,669
6,healthcare,1151,1072,875
