Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,9663,8.30048,5227,37.28777
2,7186,6.17274,3617,25.80254
3,7584,6.51462,2991,21.33685
4,7669,6.58764,3290,23.46982
5,6226,5.34811,3638,25.95235
6,6006,5.15913,3580,25.53859
7,6257,5.37474,3386,24.15466
8,4142,3.55796,2809,20.03852
9,5242,4.50286,3304,23.5697
10,5886,5.05605,3580,25.53859
11,6164,5.29485,3434,24.49708
12,4269,3.66705,2733,19.49636
13,3333,2.86303,1846,13.16878
14,6301,5.41253,3224,22.999
15,4737,4.06906,2690,19.18961
16,5832,5.00966,3433,24.48994
17,5575,4.7889,3324,23.71237
18,5605,4.81467,2867,20.45228
19,5089,4.37143,3054,21.78627
20,3649,3.13448,1513,10.79327
