Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,make,3194,3107,2.6689,2262,16.1364
1,help,3570,3327,2.85788,2441,17.41333
1,business,2615,2286,1.96366,1699,12.12013
1,support,2573,2379,2.04355,1810,12.91197
1,way,2579,2470,2.12172,1915,13.66101
1,big,1127,1097,0.94232,941,6.7128
1,important,1088,1060,0.91054,933,6.65573
1,food,1261,1098,0.94318,925,6.59866
1,best,1032,1007,0.86501,925,6.59866
1,hope,966,932,0.80058,827,5.89956
1,student,953,774,0.66486,643,4.58696
1,getting,1288,1237,1.06258,1066,7.60451
1,time,6040,5734,4.92548,3676,26.22343
1,coming,1124,1103,0.94747,977,6.96961
1,small,1127,1024,0.87961,879,6.27051
2,case,7186,5365,4.60851,2998,21.38679
2,death,8319,6361,5.46407,3371,24.04765
2,new,8258,7180,6.16759,3922,27.97831
2,number,2787,2524,2.16811,1860,13.26865
2,day,4957,4452,3.82425,2944,21.00157
2,report,2153,2088,1.79358,1525,10.87887
2,april,1651,1536,1.31942,1222,8.71736
2,total,1637,1432,1.23008,1104,7.87559
2,confirmed,1173,1081,0.92857,900,6.42032
2,rate,1255,1155,0.99214,950,6.777
2,reported,1232,1120,0.96208,889,6.34185
2,million,3759,3290,2.8261,2214,15.79398
2,data,1451,1301,1.11755,1065,7.59737
2,hour,907,862,0.74045,756,5.39307
2,province,1345,1281,1.10037,1018,7.26209
3,trump,13884,11879,10.20401,3535,25.21758
3,president,4094,3863,3.3183,2082,14.85233
3,disinfectant,1299,1189,1.02135,873,6.22771
3,donald,1202,1148,0.98613,880,6.27764
3,administration,992,963,0.82721,718,5.12199
3,blame,833,766,0.65799,678,4.83664
3,said,3506,3237,2.78057,2159,15.40163
3,light,827,786,0.67517,707,5.04352
3,american,4280,3941,3.3853,2116,15.09488
3,kill,1071,998,0.85728,814,5.80682
3,cure,712,694,0.59614,583,4.15894
3,knew,678,612,0.52571,533,3.80225
3,failure,785,749,0.64339,640,4.56556
3,body,696,663,0.56951,596,4.25168
3,briefing,1318,1269,1.09007,956,6.8198
4,china,8615,7236,6.21569,3207,22.87773
4,cdnpoli,4198,4193,3.60177,2009,14.33157
4,trudeau,3546,3196,2.74535,1709,12.19147
4,canadian,3790,3490,2.9979,2257,16.10073
4,canada,6037,5532,4.75196,3073,21.92181
4,chinese,2024,1853,1.59172,1299,9.26666
4,justintrudeau,1340,1306,1.12185,933,6.65573
4,party,1488,1362,1.16995,1088,7.76145
4,minister,1413,1340,1.15105,1053,7.51177
4,conservative,1142,1069,0.91827,813,5.79969
4,liberal,1185,1134,0.9741,824,5.87816
4,government,4701,4460,3.83112,2789,19.89585
4,parliament,818,742,0.63737,580,4.13754
4,communist,733,709,0.60903,552,3.93779
4,justin,791,768,0.65971,624,4.45142
5,want,3682,3397,2.91801,2355,16.79983
5,going,3060,2926,2.51342,2110,15.05208
5,really,1693,1609,1.38212,1347,9.60907
5,people,11952,10697,9.18868,4976,35.49722
5,got,1383,1336,1.14762,1128,8.0468
5,tell,1466,1418,1.21806,1198,8.54615
5,friend,1118,1052,0.90366,902,6.43458
5,yes,874,834,0.7164,760,5.4216
5,lot,1067,1034,0.8882,911,6.49879
5,love,770,729,0.62621,662,4.7225
5,thats,975,933,0.80144,810,5.77829
5,hand,909,862,0.74045,759,5.41447
5,guy,682,654,0.56178,585,4.17321
5,maybe,713,660,0.56694,596,4.25168
5,told,1200,1154,0.99128,978,6.97674
6,home,5849,5387,4.62741,3477,24.80382
6,care,3990,3581,3.07606,2405,17.15651
6,stay,3294,2995,2.57269,2255,16.08646
6,worker,3671,3296,2.83125,2249,16.04366
6,thank,1541,1480,1.27131,1224,8.73163
6,safe,1623,1564,1.34347,1303,9.29519
6,resident,1148,1059,0.90968,855,6.0993
6,ontario,2222,2076,1.78328,1334,9.51634
6,staff,1185,1062,0.91225,900,6.42032
6,working,1802,1754,1.50668,1396,9.95862
6,toronto,964,895,0.7688,669,4.77244
6,healthcare,1151,1072,0.92084,875,6.24197
6,thanks,881,866,0.74389,799,5.69981
6,fordnation,745,724,0.62191,505,3.60251
6,longterm,796,755,0.64854,612,4.36582
7,people,11952,10697,9.18868,4976,35.49722
7,american,4280,3941,3.3853,2116,15.09488
7,died,2437,2229,1.9147,1582,11.28549
7,year,2833,2687,2.30812,2070,14.76673
7,life,3661,3377,2.90083,2295,16.37181
7,flu,1163,976,0.83838,808,5.76402
7,die,1351,1219,1.04712,963,6.86974
7,lost,1037,966,0.82979,814,5.80682
7,dead,998,935,0.80316,740,5.27893
7,dying,814,785,0.67431,685,4.88657
7,fear,776,726,0.62363,644,4.59409
7,thousand,1020,992,0.85212,821,5.85676
7,war,832,710,0.60989,633,4.51562
7,worse,793,775,0.66572,674,4.8081
7,sick,1149,1091,0.93716,926,6.60579
8,social,3621,3424,2.9412,2426,17.30632
8,distancing,3281,3150,2.70584,2283,16.2862
8,ago,1639,1134,0.9741,945,6.74133
8,death,8319,6361,5.46407,3371,24.04765
8,long,1439,1398,1.20088,1170,8.34641
8,week,4438,3761,3.23068,2586,18.44771
8,rule,852,794,0.68204,706,5.03638
8,fact,1551,1464,1.25757,1182,8.43202
8,matter,638,624,0.53601,572,4.08047
8,problem,908,856,0.7353,769,5.4858
8,month,2290,2176,1.86917,1664,11.87045
8,woman,1036,928,0.79715,785,5.59994
8,taken,568,561,0.4819,517,3.68812
8,follow,750,721,0.61934,631,4.50136
8,physical,479,468,0.40201,422,3.01042
9,health,7029,6433,5.52592,3734,26.63718
9,world,4646,4230,3.63355,2787,19.88158
9,public,3276,3095,2.65859,2210,15.76544
9,risk,1684,1556,1.3366,1275,9.09545
9,organization,1138,1069,0.91827,930,6.63433
9,funding,1329,1258,1.08062,1081,7.71151
9,community,1927,1779,1.52815,1383,9.86589
9,spread,2589,2512,2.1578,1919,13.68954
9,outbreak,3048,2929,2.516,2069,14.75959
9,medical,2138,2038,1.75063,1570,11.19989
9,concern,686,651,0.55921,579,4.1304
9,safety,705,683,0.58669,610,4.35155
9,disease,1223,1179,1.01276,982,7.00528
9,chief,633,615,0.52828,546,3.89499
9,officer,642,619,0.53172,554,3.95206
10,pandemic,15358,14952,12.84371,6231,44.44999
10,global,1670,1591,1.36666,1286,9.17392
10,amid,1063,1061,0.91139,873,6.22771
10,middle,686,683,0.58669,603,4.30161
10,change,1156,1065,0.91483,899,6.41318
10,event,437,414,0.35562,395,2.81781
10,oil,578,487,0.41833,422,3.01042
10,hit,865,852,0.73186,757,5.4002
10,climate,491,430,0.36937,382,2.72507
10,leave,489,483,0.41489,437,3.11742
10,city,1734,1549,1.33058,1181,8.42488
10,playing,337,333,0.28605,310,2.21144
10,russia,306,275,0.23622,248,1.76915
10,midst,308,307,0.26371,286,2.04023
10,hong,309,275,0.23622,157,1.11999
11,test,2893,2431,2.08822,1740,12.41261
11,testing,2931,2588,2.22308,1772,12.64089
11,patient,2692,2389,2.05214,1723,12.29134
11,hospital,2460,2266,1.94648,1685,12.02026
11,positive,1706,1617,1.389,1250,8.91711
11,tested,1534,1402,1.20431,1117,7.96833
11,second,870,847,0.72757,751,5.3574
11,symptom,751,684,0.58755,614,4.38008
11,study,977,920,0.79028,776,5.53574
11,wave,675,619,0.53172,534,3.80939
11,drug,935,852,0.73186,716,5.10772
11,hydroxychloroquine,641,616,0.52914,488,3.48124
11,ventilator,610,558,0.47932,494,3.52404
11,vaccine,2063,1749,1.50238,1323,9.43787
11,treatment,1045,1001,0.85985,822,5.86389
12,say,6963,6500,5.58347,3547,25.30318
12,doctor,2440,2276,1.95507,1710,12.1986
12,dr,3188,2857,2.45415,2000,14.26737
12,expert,1440,1397,1.20002,1137,8.111
12,ford,752,705,0.60559,566,4.03767
12,premier,917,888,0.76279,729,5.20046
12,likely,792,776,0.66658,690,4.92224
12,fall,530,507,0.43551,463,3.3029
12,poll,451,425,0.36507,369,2.63233
12,bc,1075,994,0.85384,702,5.00785
12,absolutely,465,465,0.39943,435,3.10315
12,fauci,788,706,0.60645,573,4.0876
12,bcpoli,428,428,0.36765,226,1.61221
12,doug,405,395,0.3393,335,2.38978
12,homeless,396,370,0.31783,323,2.30418
13,drtedros,613,584,0.50165,301,2.14724
13,trust,689,562,0.48276,509,3.63105
13,dr,3188,2857,2.45415,2000,14.26737
13,tam,1032,970,0.83323,755,5.38593
13,criminal,392,383,0.329,346,2.46826
13,resign,304,291,0.24997,266,1.89756
13,crime,371,349,0.29979,310,2.21144
13,los,348,283,0.2431,139,0.99158
13,nova,297,289,0.24825,227,1.61935
13,liar,281,267,0.22935,251,1.79056
13,cphocanada,273,272,0.23365,228,1.62648
13,scotia,261,257,0.22076,207,1.47667
13,shame,249,233,0.20015,215,1.53374
13,fired,302,297,0.25512,267,1.90469
13,star,231,217,0.1864,208,1.48381
14,lockdown,3999,3756,3.22639,2303,16.42888
14,order,2606,2499,2.14663,1757,12.53389
14,protest,1622,1511,1.29794,1108,7.90412
14,stayathome,1275,1264,1.08577,960,6.84834
14,reopen,1284,1264,1.08577,1031,7.35483
14,open,1629,1565,1.34433,1284,9.15965
14,governor,1436,1356,1.1648,963,6.86974
14,restriction,916,894,0.76794,774,5.52147
14,end,1617,1581,1.35807,1305,9.30946
14,state,4831,4392,3.77271,2441,17.41333
14,police,800,735,0.63136,634,4.52276
14,protester,613,603,0.51797,517,3.68812
14,michigan,566,524,0.45011,444,3.16736
14,florida,510,464,0.39857,391,2.78927
14,closed,768,753,0.64682,690,4.92224
15,realdonaldtrump,3226,3176,2.72817,1748,12.46968
15,alberta,1328,1238,1.06344,808,5.76402
15,ableg,1333,1323,1.13645,577,4.11614
15,tweet,801,770,0.66143,677,4.8295
15,stayhome,1008,1008,0.86587,785,5.59994
15,plant,848,722,0.62019,577,4.11614
15,close,943,932,0.80058,832,5.93523
15,usa,799,729,0.62621,595,4.24454
15,worst,643,633,0.54374,564,4.0234
15,canada,6037,5532,4.75196,3073,21.92181
15,jkenney,600,589,0.50595,411,2.93194
15,hell,474,467,0.40115,431,3.07462
15,dear,507,504,0.43293,438,3.12455
15,potus,603,571,0.49049,452,3.22443
15,abpoli,458,456,0.3917,290,2.06877
16,news,3334,3166,2.71958,2165,15.44443
16,watch,1700,1653,1.41992,1296,9.24526
16,medium,2046,1920,1.64927,1448,10.32958
16,live,1706,1644,1.41219,1273,9.08118
16,question,1846,1681,1.44397,1360,9.70181
16,good,2545,2440,2.09595,1868,13.32572
16,read,1484,1456,1.2507,1217,8.68169
16,story,1389,1318,1.13216,1087,7.75432
16,video,1286,1221,1.04883,1014,7.23356
16,press,998,957,0.82206,797,5.68555
16,cbc,778,714,0.61332,573,4.0876
16,youtube,637,616,0.52914,435,3.10315
16,cnn,773,739,0.6348,601,4.28734
16,fox,766,733,0.62964,586,4.18034
16,daily,1428,1383,1.18799,1134,8.0896
17,need,6069,5596,4.80694,3519,25.10344
17,right,3774,3547,3.04686,2461,17.556
17,country,4285,3975,3.41451,2566,18.30504
17,crisis,3286,3131,2.68952,2150,15.33742
17,stop,2190,2036,1.74892,1610,11.48523
17,economy,2085,1981,1.70167,1546,11.02868
17,leader,1758,1686,1.44827,1330,9.4878
17,america,1966,1890,1.6235,1343,9.58054
17,plan,1811,1645,1.41305,1317,9.39506
17,economic,1046,1010,0.86759,870,6.20631
17,life,3661,3377,2.90083,2295,16.37181
17,time,6040,5734,4.92548,3676,26.22343
17,action,1105,1044,0.89679,914,6.52019
17,true,754,718,0.61676,639,4.55842
17,world,4646,4230,3.63355,2787,19.88158
18,state,4831,4392,3.77271,2441,17.41333
18,house,1946,1853,1.59172,1362,9.71608
18,federal,1615,1536,1.31942,1189,8.48195
18,white,1187,1132,0.97238,859,6.12784
18,united,1060,1014,0.87102,813,5.79969
18,force,1089,1037,0.89078,848,6.04937
18,supply,1074,995,0.8547,844,6.02083
18,company,1221,1113,0.95606,928,6.62006
18,law,854,801,0.68806,693,4.94364
18,tax,817,684,0.58755,594,4.23741
18,republican,841,814,0.69922,624,4.45142
18,government,4701,4460,3.83112,2789,19.89585
18,new,8258,7180,6.16759,3922,27.97831
18,task,579,553,0.47502,476,3.39563
18,million,3759,3290,2.8261,2214,15.79398
19,virus,5941,5457,4.68754,3211,22.90626
19,know,3927,3645,3.13104,2514,17.93408
19,wuhan,2120,1992,1.71112,1295,9.23812
19,vaccine,2063,1749,1.50238,1323,9.43787
19,lab,1329,1196,1.02736,952,6.79127
19,didnt,923,865,0.74303,748,5.336
19,mean,1312,1259,1.08148,1074,7.66158
19,doesnt,854,832,0.71468,736,5.25039
19,research,846,754,0.64768,662,4.7225
19,national,1297,1258,1.08062,1052,7.50464
19,gate,734,641,0.55062,498,3.55258
19,wait,665,641,0.55062,592,4.22314
19,deadly,711,703,0.60387,618,4.40862
19,think,2770,2622,2.25229,1932,13.78228
19,gave,684,634,0.5446,565,4.03053
20,mask,2378,2094,1.79874,1626,11.59937
20,le,2403,1892,1.62522,1152,8.21801
20,face,1365,1317,1.1313,1114,7.94693
20,et,1439,1153,0.99042,640,4.56556
20,pour,1012,836,0.71812,415,2.96048
20,du,875,745,0.63995,356,2.53959
20,au,681,576,0.49478,294,2.0973
20,wear,490,441,0.37882,414,2.95335
20,est,596,536,0.46042,308,2.19718
20,plus,574,534,0.4587,399,2.84634
20,n95,467,453,0.38913,430,3.06748
20,une,526,471,0.40459,268,1.91183
20,sur,507,425,0.36507,247,1.76202
20,dans,519,467,0.40115,247,1.76202
20,pa,516,439,0.3771,241,1.71922
