Tweet ID,Weight,Total Times Tweeted,Tweet Text
1251890172053950464,0.04207,1,WHY? Daily @WhiteHouse TV🤥@realdonaldTrump @POTUS🤡@TomWolfPA👈🏾BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @Surgeon_General @VP☹️@foxandfriends @NIH @SpeakerPelosi @seanhannity @nytimes @maddow @WSJ @Yamiche @CNN @ABC @WHO @CNBC @AC360 @MSNBC @AP https://t.co/syUU5cXAi3
1253139894529998849,0.0413,1,Stop Daily @WhiteHouse TV🤥@realdonaldTrump @POTUS🤡👈🏾BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @Surgeon_General @VP☹️@foxandfriends @NIH @SpeakerPelosi @seanhannity @IngrahamAngle @TuckerCarlson @PressSec @nytimes @maddow @DrOz @MSNBC @LouDobbs https://t.co/9xFQcaQBir
1250957232872681475,0.04107,1,STOP Daily @WhiteHouse TV🤥@realdonaldTrump @POTUS🤡👈🏾BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @Surgeon_General @VP☹️@foxandfriends @NIH @SpeakerPelosi @seanhannity @nytimes @maddow @WSJ @Yamiche @DeptVetAffairs @WHO @SecWilkie @AC360 @USNavy😭 https://t.co/YjZoMsekQI
1250237326845857792,0.04099,1,STOP Daily @WhiteHouse TV🤥@realdonaldTrump @POTUS🤡👈🏾BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @Surgeon_General @VP☹️@foxandfriends @NIH @RonJohnsonWI @SpeakerPelosi @seanhannity @nytimes @maddow @WSJ @Yamiche @jonkarl @AC360 @DeptVetAffairs ?? https://t.co/vMl4wWVunh
1254596827829071873,0.04053,1,Stop Daily @WhiteHouse TV🤥@realDonaldTrump @POTUS🤡👈🏾We ALL Saw UR BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @Surgeon_General @VP☹️@foxandfriends @NIH @SpeakerPelosi @seanhannity @nytimes @maddow @WSJ @Yamiche @mitchellreports @MSNBC @PressSec https://t.co/VC7OAd9tE4
1250453917432864770,0.04037,24,It must take a ridiculous amount of gall for @jkenney to accuse Dr. Tam of failing to know the severity of covid19 on January 20th when he blissfully introduced a budget on Feb 27 that predicted $58 oil and made no mention of a global health emergency. #ableg #COVID19AB #yyc #yeg
1253894969858785283,0.04036,1,#TrumpLiesPeopleDie🤥@realDonaldTrump @POTUS🤡@Trump @TrumpDC @TrumpHotels @DonaldJTrumpJr @PressSec @parscale @NIH @CDCgov @SecAzar @HHSGov @Surgeon_General @VP @FEMA @DHS_Wolf @DHSgov @EsperDoD @GOPLeader @foxandfriends @ingrahamAngle @FoxNews @AP @maddow #coronavirus #COVID19 https://t.co/Q2FgHcTUkC
1254407837452820482,0.03999,1,"@jlay02 @DrLauraPinto @realJ_Mitchell @munakadri @rolandvo @CarolCampbell4 @Istimrar @Henry_Hepburn @acampbell99 @Sue_Innovates @ESL_fairy @JBradshaw01 @noasbobs @BBFarhadi @PowerLrn @JCasaTodd @RamonaMeharg @heidi_allum @sarahsanders33 @CoachJCummings @Educhatter @MarciaMentor @Stephen_Hurley @mkbtuc @BallantyneCW Worst #Covid19 outcomes nationally, yet first to reopen??? 

Something is rotten in the ""state"" of Quebec. https://t.co/0wy59y2GKY"
1254138432579723265,0.03979,1,Stop Daily @WhiteHouse TV🤥@realDonaldTrump @POTUS🤡👈🏾ALL Heard ur BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @VP☹️@foxandfriends @NIH @SpeakerPelosi @seanhannity @nytimes @maddow @WSJ @CNN @IngrahamAngle @GeraldoRivera @CNBC @JudgeJeanine @MSNBC https://t.co/FZNjWJphPm
1252755188995112960,0.03968,1,Stop Daily @WhiteHouse TV🤥@realdonaldTrump @POTUS🤡@Trump @DonaldJTrumpJr👈🏾BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @stevenmnuchin1 @VP☹️@foxandfriends @AOC @SpeakerPelosi @seanhannity @nytimes @maddow @WSJ @Yamiche @AC360 @SenSchumer @CNBC https://t.co/7ZlCXWmexP
1254401725882085376,0.03962,1,"@BallantyneCW @freetoronto @realJ_Mitchell @munakadri @DrLauraPinto @rolandvo @ZackTeitel @CarolCampbell4 @Istimrar @Henry_Hepburn @acampbell99 @Sue_Innovates @ESL_fairy @JBradshaw01 @noasbobs @BBFarhadi @PowerLrn @JCasaTodd @RamonaMeharg @heidi_allum @sarahsanders33 @CoachJCummings @Educhatter @MarciaMentor @Stephen_Hurley @mkbtuc “Collaboration, transparency, excellent science. That’s why other countries can open up &amp; they’re confident they’re not going to kill people; Canada has none of this. If you have data, you can better predict where you will be."" https://t.co/Jf6Kx8ZXd9"
1252777200081723393,0.03941,1,Stop Daily @WhiteHouse TV🤥@realdonaldTrump @POTUS🤡👈🏾BS #Coronavirus #COVID19☹️@CDCgov @DHSgov @EsperDoD @DHS_Wolf @FEMA @SecAzar @Surgeon_General @US_FDA @VP☹️@foxandfriends @NIH @SpeakerPelosi @seanhannity @IngrahamAngle @TuckerCarlson @DrOz @kayleighmcenany @nytimes @maddow https://t.co/XzwBYNZPU1
1252097833164914689,0.03918,1,STOP Daily @WhiteHouse TV🤥@realdonaldTrump @POTUS🤡@USTreasury @stevenmnuchin1 @ASIndianAffairs👈🏾FAIL #Coronavirus☹️@CDCgov @DHSgov @EsperDoD @FEMA @SecAzar @VP☹️@foxandfriends @NIH @SpeakerPelosi @seanhannity @nytimes @maddow @WSJ @SenSchumer @AP @AC360 @NCAI1944 @lisamurkowski https://t.co/3SgdYoYwIy
1251979691092840448,0.03869,1,@JanetTXBlessed @1GaryBernstein @WenMaMa2 @MeltingInMarana @CalHardison @darrell1460 @Psychictaxi @Michell38617346 @babyjean489 @CharlesBackus2 @MarilynLavala @Ecomemory1 @FarRight1_2 @WileyWonka59 @texasrecks @TimothyHamby2 @BostonTeaParti @InTormented @DaveSchreiber3 @mickelodoole @EricJSwensson @stlpcs @DFBHarvard @pdjf1 @alexmjordan @KR_KAG @Stonekeeper3 @RogerFritz7 @Patti_Sc60 @BCMsolt @RL9631 @PennyleIFB @KarenLadybug1 @NJ_2_FL @01ravenking @theR_Man_ @JoNi0251 @doublehulk @BenJackd1 @deedeeprospertx @TxNachoCheese @SArmstrong629 @texlatina @DonaldHolder19 @Alamoman2 @RedHoss44 Australia joins @donaldtrump and calls for investigation of Chinese virus.
