Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,trump,59775,49436,4760
1,president,15872,14939,3377
1,american,22362,19982,3769
1,realdonaldtrump,10992,10566,2600
1,pandemic,61127,59327,9532
1,biden,7152,6295,2036
1,donald,5759,5486,1830
1,rally,7591,7163,2391
1,lie,5904,5322,2185
1,vote,5694,4998,2105
1,america,7748,7183,2556
1,threat,4074,3843,1868
1,woodward,6206,5758,1932
1,lied,4793,4419,1830
1,said,10750,10070,3890
2,case,47382,35698,6790
2,new,33007,28950,6811
2,ontario,12607,11822,3473
2,number,13026,11726,4522
2,today,15241,14463,5201
2,daily,5495,5267,2720
2,province,5687,5425,2510
2,bc,5556,5231,2108
2,day,25146,21410,6260
2,toronto,6394,6003,2521
2,reported,5879,5559,2741
2,death,30281,25454,5429
2,reporting,5554,4521,2395
2,report,11407,10525,3821
2,health,24281,22462,6093
3,mask,33589,28621,6945
3,wear,14561,13528,5005
3,social,10578,10177,4334
3,distancing,8637,8420,3766
3,wearing,5397,5185,2808
3,face,5483,5026,2808
3,hand,4473,4298,2656
3,stay,7012,6626,3618
3,rule,4000,3725,2121
3,follow,3104,3009,2030
3,pelosi,3307,2899,1276
3,spread,7400,7093,3373
3,love,2469,2348,1714
3,home,12698,11701,4762
3,weekend,3359,3208,2066
4,pandemic,61127,59327,9532
4,need,19405,18026,5796
4,help,9238,8596,4015
4,fordnation,5693,5477,1682
4,government,14107,13480,4588
4,worker,6797,5615,2746
4,support,6419,6057,3201
4,plan,8446,7767,3428
4,work,10813,10011,4532
4,money,5490,5136,2594
4,federal,4995,4705,2463
4,onpoli,6289,6246,1856
4,working,4403,4234,2548
4,thank,3706,3576,2338
4,business,5975,5405,2762
5,world,12157,11238,4377
5,country,13061,12565,4466
5,lockdown,11621,10754,3408
5,death,30281,25454,5429
5,pandemic,61127,59327,9532
5,canada,24017,21927,5973
5,look,6953,6697,3521
5,think,11002,10283,4194
5,story,5195,4843,2743
5,united,3215,2950,1706
5,million,12343,11074,3951
5,china,9607,7996,2739
5,real,5674,5446,2940
5,time,21124,19740,6351
5,year,14059,12813,5134
6,school,32689,25831,6022
6,student,10576,9184,3529
6,death,30281,25454,5429
6,kid,10376,9214,3811
6,child,10601,8957,3784
6,ableg,7156,7154,1127
6,class,7388,6152,2565
6,parent,5424,4908,2588
6,zero,3953,3680,2208
6,teacher,6198,5355,2555
6,high,4851,4694,2649
6,canada,24017,21927,5973
6,abed,3460,3449,750
6,alberta,6949,5574,1747
6,week,13808,12715,4764
7,people,47428,41907,7744
7,died,12329,11108,3567
7,home,12698,11701,4762
7,die,5973,5362,2394
7,know,15774,14615,5253
7,fear,4754,4028,1986
7,virus,18640,17254,4801
7,symptom,3384,3140,1873
7,sick,5172,4576,2547
7,care,10169,8937,3866
7,hospital,6110,5501,2776
7,flu,7178,6164,2876
7,infected,2886,2711,1714
7,kill,2802,2692,1605
7,dying,3020,2898,1795
8,vaccine,17346,14392,4037
8,cdc,10230,9122,2841
8,say,22662,21243,5716
8,dr,8507,8044,3424
8,report,11407,10525,3821
8,fauci,3652,3371,1684
8,health,24281,22462,6093
8,trial,2623,2351,1399
8,scientist,2751,2623,1634
8,official,5399,5212,2552
8,available,2157,2123,1572
8,expert,4427,4306,2341
8,medical,4021,3923,2189
8,evidence,2554,2415,1553
8,virus,18640,17254,4801
9,knew,11584,8730,2794
9,cdnpoli,10148,10142,2634
9,canada,24017,21927,5973
9,canadian,12717,11898,3995
9,trudeau,7312,6486,2035
9,minister,6374,6022,2622
9,liberal,4896,4473,1907
9,deadly,7619,7470,2595
9,border,4451,4028,2240
9,flu,7178,6164,2876
9,tam,3333,3109,1393
9,february,2950,2786,1552
9,health,24281,22462,6093
9,justintrudeau,3208,3177,1578
9,downplayed,2799,2765,1482
10,test,12774,11249,4127
10,positive,10927,10342,4022
10,tested,7108,6449,3213
10,le,9268,7502,2955
10,day,25146,21410,6260
10,et,4730,3722,965
10,ago,3222,3194,2049
10,911,2490,2344,1325
10,wow,1394,1348,1095
10,tweet,2668,2573,1686
10,pour,2908,2421,594
10,au,2811,2244,518
10,du,2781,2295,624
10,plus,2424,2176,1064
10,pas,1475,1463,1062
