Normalized Token,Total Number of Occurences,Document Frequency,User Frequency
china,42536,37732,5378
wuhan,12644,11893,2992
case,12003,9210,2210
people,10677,9502,3074
chinese,9031,8300,2623
virus,8585,7862,2744
outbreak,8429,8156,2557
u,8384,7543,2556
new,8221,7321,2202
canadian,7208,6258,2137
death,6984,6142,1989
canada,6943,6074,2185
health,6668,6193,2335
say,6194,5840,2313
day,5026,4482,1929
world,4850,4547,2032
one,4635,4369,2016
de,4432,2237,468
ship,4416,3910,1347
country,4357,4120,1831
trump,4200,3551,1673
cruise,4068,3846,1311
government,4025,3869,1713
get,3924,3740,1900
via,3793,3785,1384
quarantine,3694,3473,1386
time,3598,3379,1675
spread,3474,3357,1485
confirmed,3453,3167,1163
hospital,3398,3043,1296
number,3356,2961,1264
infected,3314,3094,1307
know,3276,3070,1645
would,3247,3007,1667
trudeau,3181,2936,1074
news,3168,3050,1402
flight,3134,2833,1313
said,3012,2879,1438
epidemic,3008,2956,1475
2019ncov,2945,2879,918
report,2929,2823,1246
first,2904,2803,1413
official,2902,2833,1305
2,2898,2592,1294
cdnpoli,2896,2895,1091
public,2845,2600,1431
patient,2838,2581,1065
two,2836,2651,1408
could,2821,2730,1396
doctor,2800,2744,1468
novel,2786,2760,1203
need,2782,2562,1475
many,2755,2610,1302
million,2735,2415,1393
japan,2731,2557,1016
help,2727,2347,1284
week,2592,2486,1270
go,2582,2457,1506
1,2564,1967,1093
state,2558,2388,1336
still,2546,2381,1291
update,2532,2446,997
citizen,2497,2423,1272
hong,2483,2254,790
coronavirusoutbreak,2479,2457,884
breaking,2414,2406,1047
global,2406,2322,1235
home,2394,2256,1248
medium,2382,2269,1297
kong,2357,2169,769
even,2353,2298,1356
american,2327,2180,1201
disease,2310,2223,1275
video,2201,2060,1104
city,2174,2025,980
year,2172,2067,1315
may,2169,2086,1126
cut,2163,1126,759
quarantined,2162,2123,1051
back,2162,2049,1323
passenger,2151,1977,982
see,2131,2098,1236
take,2125,2076,1188
think,2081,1996,1231
going,2066,1915,1144
plane,2060,1899,989
died,2046,1916,1145
also,2046,1996,1128
province,2029,1906,914
toll,2021,1970,988
today,1997,1938,1164
positive,1995,1947,900
hubei,1991,1859,765
medical,1975,1869,912
infection,1952,1845,843
un,1906,1715,928
pandemic,1869,1806,969
control,1839,1788,1010
right,1805,1665,1032
reported,1804,1728,929
want,1794,1727,1090
test,1784,1610,759
total,1769,1631,819
make,1761,1723,1082
stop,1740,1660,1048
fear,1733,1694,959
communist,1718,1655,887
cdc,1705,1572,874
national,1704,1679,969
way,1701,1658,1101
good,1685,1641,1042
last,1668,1639,1054
flu,1652,1436,790
much,1650,1554,969
dr,1622,1544,934
3,1616,1475,842
minister,1612,1507,929
look,1607,1544,1021
4,1597,1510,913
risk,1580,1501,880
tested,1579,1444,640
man,1568,1511,1000
10,1567,1495,846
question,1565,1523,1025
beijing,1556,1485,727
show,1552,1525,917
another,1529,1494,882
really,1521,1471,973
mask,1520,1284,678
lab,1517,1370,757
expert,1515,1470,824
li,1513,1391,871
le,1510,1239,622
due,1499,1473,872
yet,1492,1469,962
life,1488,1443,917
every,1478,1411,1005
come,1478,1464,946
thing,1475,1384,937
travel,1450,1368,783
liberal,1436,1292,701
response,1428,1370,902
sars,1426,1330,794
around,1423,1352,873
work,1414,1333,839
ccp,1388,1242,373
family,1386,1326,850
away,1377,1215,844
justintrudeau,1372,1350,679
woman,1364,1305,733
feb,1346,1125,553
well,1345,1311,890
made,1344,1295,908
real,1338,1299,894
huawei,1336,1191,727
must,1333,1285,853
economy,1312,1261,796
anyone,1310,1213,832
live,1306,1278,755
latest,1303,1290,702
business,1298,1186,683
xi,1270,1204,679
worker,1269,1192,624
dead,1263,1106,730
including,1254,1209,779
5,1254,1143,710
coming,1247,1236,824
security,1237,1114,843
mainland,1227,1198,578
sick,1223,1052,751
symptom,1220,1138,594
police,1201,1148,721
tell,1196,1179,801
president,1183,1119,792
threat,1182,1153,788
outside,1181,1135,612
human,1170,1059,728
govt,1169,1093,637
supply,1167,1102,617
trade,1163,1050,775
crisis,1163,1140,767
care,1163,1117,803
keep,1157,1105,729
story,1156,1086,751
since,1155,1136,762
14,1150,1110,658
russia,1145,1069,816
please,1144,1089,753
month,1140,1086,730
wenliang,1137,1105,753
bc,1135,1011,488
fight,1133,1093,696
2020,1129,1106,775
party,1126,1056,669
authority,1125,1110,626
money,1122,1061,768
least,1118,1091,688
got,1117,1061,776
wuhancoronavirus,1113,1096,393
system,1113,1065,698
never,1100,1064,766
face,1097,1058,694
foreign,1096,1065,731
market,1095,987,637
support,1093,1061,723
information,1087,1053,704
call,1081,1035,758
mean,1075,1047,736
believe,1070,1010,741
far,1064,1040,677
protect,1061,1022,624
place,1057,1044,777
give,1055,976,730
uk,1050,969,529
read,1047,1031,682
put,1045,1020,715
end,1043,1019,741
taking,1041,1035,772
told,1039,1025,712
america,1035,984,739
spreading,1034,1013,669
important,1032,1019,558
leader,1031,899,668
scientist,1028,999,630
already,1013,1002,652
princess,1008,954,488
border,1003,946,523
realdonaldtrump,998,985,627
working,992,940,684
reporting,988,954,602
plan,988,956,689
watch,985,976,604
vaccine,982,825,591
military,977,926,647
coronaviruschina,964,964,375
social,963,948,678
data,963,883,518
deadly,959,946,640
great,958,925,701
amid,954,951,498
thousand,942,920,616
drug,940,758,500
ambassador,938,927,603
singapore,936,849,371
person,924,850,555
nothing,923,896,627
second,922,913,595
taiwan,918,797,496
hour,917,893,643
measure,914,891,514
body,914,773,454
problem,912,887,700
trying,909,899,685
kill,906,868,673
billion,906,847,646
local,903,878,538
everyone,902,882,638
rate,901,778,495
fighting,899,881,321
diamond,896,875,457
hope,893,864,635
cant,893,873,658
concern,890,883,622
others,887,880,619
line,887,852,640
hit,887,874,582
united,886,845,655
part,882,826,593
hand,881,814,635
child,879,801,582
use,871,832,577
find,871,858,637
india,870,763,463
resident,867,846,485
left,865,854,627
possible,861,851,577
sure,859,847,667
population,859,848,610
iran,859,773,576
nation,857,817,619
better,856,831,620
ncov2019,852,842,251
rise,851,823,479
lot,847,824,569
found,846,831,595
community,844,799,494
whistleblower,843,742,544
organization,843,817,575
likely,842,810,480
truth,839,806,565
transmission,839,762,349
lockdown,839,816,464
getting,836,820,606
serious,835,805,543
member,835,789,579
seems,832,829,610
close,831,814,503
budget,829,663,471
trenton,825,800,477
prevent,824,801,553
big,822,799,594
yesterday,819,803,563
full,818,808,587
top,816,805,554
job,816,771,618
situation,814,808,515
company,812,769,528
board,811,776,512
seen,810,801,570
suspected,809,787,404
vancouver,807,760,396
long,806,791,565
hard,803,797,612
air,803,744,500
might,802,763,525
he,802,782,656
early,802,765,531
youtube,801,794,316
start,798,780,590
et,797,693,323
according,796,793,490
funding,793,755,586
low,792,756,529
staff,788,746,463
korea,788,748,519
without,784,767,557
leave,784,775,516
stand,781,605,506
12,779,734,488
racist,777,669,512
emergency,777,742,542
dangerous,776,752,599
research,775,710,470
hongkong,774,772,217
100,774,742,567
level,772,749,534
w,764,673,448
source,764,736,512
economic,764,740,535
interest,763,688,513
contact,763,734,487
effort,761,739,502
africa,757,696,496
name,756,692,525
impact,756,729,473
thats,747,726,552
ago,747,742,543
actually,744,652,517
enough,743,654,495
deal,743,693,537
article,742,712,374
hundred,737,723,516
diagnosed,736,719,389
ban,736,709,486
usa,734,668,404
per,733,714,530
6,730,712,442
dictatorship,727,720,557
warning,722,714,553
high,722,674,463
ontario,720,686,450
using,718,701,518
bad,717,689,502
point,716,707,504
journalist,714,694,496
du,714,596,215
everything,712,701,561
administration,708,577,463
someone,707,700,541
fact,706,687,532
street,705,661,465
claim,698,676,510
food,697,659,476
testing,695,664,379
best,695,683,510
international,694,667,473
house,692,669,512
daily,690,671,403
post,688,664,491
gov,687,629,414
lie,685,633,496
done,685,664,531
political,680,653,516
conspiracy,680,643,502
zero,679,647,364
issue,676,668,534
next,673,670,493
toronto,672,642,457
stigma,672,573,95
run,671,654,527
info,670,632,387
change,669,640,515
die,667,609,407
8,666,634,406
little,665,656,536
7,665,648,366
order,664,638,462
fatality,663,644,369
center,663,647,427
war,662,591,454
friend,660,629,484
24,659,638,412
among,656,645,448
something,655,634,497
camp,653,613,438
past,652,640,441
killed,646,612,491
become,643,639,473
saying,641,638,517
program,641,630,498
15,641,624,439
yes,640,625,502
condition,640,633,365
maybe,639,589,458
epicenter,639,638,405
inside,637,594,426
soon,633,625,495
theyre,632,615,484
north,631,600,463
hk,631,541,213
cbc,631,614,364
across,631,623,435
asked,630,622,475
called,629,605,476
30,629,627,434
student,627,560,379
contain,625,620,436
area,625,603,422
true,624,605,444
link,624,621,264
stay,623,604,448
announced,621,620,459
oil,620,524,393
michael,620,475,354
worldwide,619,614,384
racism,619,590,457
carrying,619,616,410
used,618,605,456
hell,618,601,461
god,616,506,346
coronaviruscanada,614,614,273
free,612,554,422
worse,610,598,444
pm,609,598,461
major,609,602,448
shut,608,589,430
current,605,601,516
animal,605,560,402
building,603,576,400
longer,601,585,483
cphocanada,601,596,163
idea,599,589,484
treatment,598,568,382
school,598,542,371
thursday,597,569,431
university,595,550,382
evidence,593,557,414
almost,593,587,461
group,591,572,430
released,590,587,460
tried,589,583,467
healthcare,589,557,380
cause,589,578,421
always,589,563,465
20,588,582,423
policy,587,563,457
taken,585,576,429
regime,583,547,419
base,582,547,376
2019,582,572,385
fake,581,511,410
doesnt,578,546,432
came,577,556,450
bioweapon,577,540,364
known,573,572,423
evacuee,573,568,382
there,571,555,440
pour,569,483,181
illness,569,563,431
south,568,559,375
sent,568,561,416
force,568,556,418
wrong,567,556,441
japanese,566,560,355
freedom,561,538,411
justin,560,547,425
5g,560,503,364
behind,557,554,470
anything,556,547,444
happening,553,544,438
word,552,543,446
open,552,528,382
evacuation,552,543,362
aboard,549,518,325
confirms,548,546,353
officer,547,540,424
online,545,540,407
power,544,525,400
lack,544,473,391
warn,542,537,439
wuhanpneumonia,539,535,80
held,539,478,364
reason,538,532,438
panic,538,523,365
chief,537,525,366
isnt,535,518,400
director,534,529,377
period,533,510,347
matter,533,520,418
france,533,508,350
clear,533,528,426
team,532,513,371
making,532,526,427
wuhanvirus,531,530,268
critical,531,528,388
pay,530,513,411
started,528,510,386
biden,527,345,287
three,523,513,347
thank,523,514,414
ever,523,515,440
airport,522,496,342
sarscov2,521,504,131
11,521,512,357
february,520,481,296
covid2019,520,516,238
cbcnews,520,493,290
shit,519,511,450
warns,518,516,362
thought,518,514,420
listen,518,510,407
sign,517,510,340
turn,516,515,414
speech,516,497,404
result,515,485,338
raise,515,514,233
infectious,515,510,377
record,514,497,409
decision,512,500,392
chine,512,492,151
law,511,475,379
thanks,510,507,388
multiple,510,500,382
action,510,498,368
treat,508,428,344
guy,508,491,425
save,507,491,403
