Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.00153,0.31597,0.04074,0.08781,0.04312,0.09164,0.91614,0.13386
2,0.08076,0.40109,0.07951,0.0912,0.04655,0.08221,0.87393,0.10873
3,-0.13621,0.36603,0.03379,0.05979,0.07147,0.10047,0.89474,0.10995
4,-0.1605,0.40211,0.04358,0.07506,0.09791,0.10516,0.85851,0.12227
5,0.00524,0.32317,0.0398,0.06821,0.04136,0.07167,0.91882,0.09294
6,-0.00624,0.44827,0.07937,0.09342,0.08042,0.09707,0.84021,0.11708
7,-0.30393,0.43169,0.04038,0.07052,0.15418,0.13543,0.80545,0.13347
8,-0.25606,0.48144,0.06078,0.09877,0.14987,0.12571,0.78937,0.13573
9,-0.19987,0.47641,0.06178,0.08873,0.12574,0.12501,0.81249,0.1384
10,0.14223,0.42685,0.12798,0.10563,0.08277,0.09786,0.78924,0.12922
11,-0.10825,0.37106,0.04584,0.07688,0.08423,0.10363,0.86994,0.12278
12,-0.14956,0.3803,0.04574,0.0733,0.09861,0.1005,0.85565,0.11492
13,-0.05231,0.37942,0.05531,0.09177,0.0754,0.10171,0.86928,0.13351
14,-0.03081,0.47268,0.08298,0.09897,0.0907,0.10651,0.82631,0.13116
15,-0.04579,0.46177,0.07391,0.10418,0.10586,0.1159,0.82023,0.14858
16,-0.13457,0.42692,0.05857,0.09141,0.11005,0.11509,0.83137,0.12903
17,-0.10341,0.50083,0.08439,0.11999,0.1186,0.12281,0.79701,0.14549
18,-0.10033,0.43689,0.06155,0.09253,0.0992,0.11953,0.83925,0.13132
19,-0.02709,0.40705,0.05724,0.09198,0.06666,0.0998,0.8761,0.12536
20,-0.14536,0.39016,0.04273,0.06873,0.09025,0.11599,0.86704,0.13462
21,-0.02242,0.42795,0.08575,0.11607,0.08803,0.10613,0.82621,0.14652
22,0.00464,0.42469,0.07953,0.10978,0.07341,0.11371,0.84707,0.14309
23,-0.01866,0.47977,0.0921,0.13514,0.09045,0.1193,0.81746,0.15938
24,-0.08742,0.35097,0.03516,0.07531,0.06381,0.10181,0.90103,0.12442
25,-0.035,0.3937,0.06283,0.08569,0.06792,0.09903,0.86926,0.12092
26,-0.01459,0.39015,0.07188,0.09367,0.07652,0.09637,0.85159,0.12237
27,-0.02972,0.4227,0.07644,0.11046,0.08323,0.09502,0.84032,0.12937
28,-0.13875,0.42089,0.05332,0.08401,0.10115,0.11816,0.84551,0.13185
29,0.05405,0.39147,0.07521,0.10913,0.05485,0.0882,0.86993,0.13187
30,-0.09839,0.42269,0.05529,0.0859,0.09269,0.12127,0.85207,0.13948
31,-0.06353,0.4174,0.06134,0.09704,0.08735,0.11616,0.85126,0.1437
32,-0.12267,0.38798,0.05058,0.07887,0.09105,0.1193,0.85835,0.1434
33,-0.08189,0.45063,0.07148,0.10762,0.09762,0.11725,0.83091,0.14554
34,-0.17233,0.45943,0.05715,0.09363,0.11144,0.1132,0.83142,0.12926
35,-0.01406,0.2643,0.02665,0.06319,0.03785,0.09815,0.9355,0.12174
36,-0.04621,0.39709,0.05957,0.09167,0.07485,0.11273,0.86558,0.13547
37,-0.07554,0.38023,0.05202,0.08139,0.07212,0.09975,0.87587,0.11966
38,-0.09564,0.39205,0.04371,0.08033,0.0781,0.11112,0.87819,0.12727
39,-0.03913,0.42541,0.06243,0.09614,0.07983,0.11255,0.85774,0.13228
40,-0.16742,0.46504,0.07017,0.09856,0.12927,0.12179,0.80056,0.13173
