Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,china,42536,37732,5378
1,come,1478,1464,946
1,data,963,883,518
1,company,812,769,528
1,saying,641,638,517
1,use,871,832,577
1,outside,1181,1135,612
1,india,870,763,463
1,situation,814,808,515
1,start,798,780,590
1,reason,538,532,438
1,old,456,431,350
1,taken,585,576,429
1,talk,454,436,358
1,record,514,497,409
2,ship,4416,3910,1347
2,cruise,4068,3846,1311
2,japan,2731,2557,1016
2,quarantined,2162,2123,1051
2,positive,1995,1947,900
2,tested,1579,1444,640
2,passenger,2151,1977,982
2,princess,1008,954,488
2,diamond,896,875,457
2,test,1784,1610,759
2,aboard,549,518,325
2,board,811,776,512
2,japanese,566,560,355
2,diamondprincess,465,441,189
2,near,500,498,335
3,case,12003,9210,2210
3,number,3356,2961,1264
3,confirmed,3453,3167,1163
3,death,6984,6142,1989
3,new,8221,7321,2202
3,reported,1804,1728,929
3,total,1769,1631,819
3,hubei,1991,1859,765
3,china,42536,37732,5378
3,province,2029,1906,914
3,infection,1952,1845,843
3,singapore,936,849,371
3,report,2929,2823,1246
3,breaking,2414,2406,1047
3,confirms,548,546,353
4,wuhan,12644,11893,2992
4,family,1386,1326,850
4,died,2046,1916,1145
4,told,1039,1025,712
4,body,914,773,454
4,authority,1125,1110,626
4,hospital,3398,3043,1296
4,according,796,793,490
4,resident,867,846,485
4,inside,637,594,426
4,medical,1975,1869,912
4,chinese,9031,8300,2623
4,local,903,878,538
4,sent,568,561,416
4,center,663,647,427
5,canadian,7208,6258,2137
5,flight,3134,2833,1313
5,plane,2060,1899,989
5,wuhan,12644,11893,2992
5,canada,6943,6074,2185
5,trenton,825,800,477
5,leave,784,775,516
5,evacuation,552,543,362
5,carrying,619,616,410
5,ontario,720,686,450
5,china,42536,37732,5378
5,vancouver,807,760,396
5,second,922,913,595
5,government,4025,3869,1713
5,home,2394,2256,1248
6,health,6668,6193,2335
6,public,2845,2600,1431
6,official,2902,2833,1305
6,organization,843,817,575
6,fighting,899,881,321
6,threat,1182,1153,788
6,emergency,777,742,542
6,care,1163,1117,803
6,international,694,667,473
6,stigma,672,573,95
6,chief,537,525,366
6,global,2406,2322,1235
6,action,510,498,368
6,response,1428,1370,902
6,safe,434,422,319
7,death,6984,6142,1989
7,toll,2021,1970,988
7,sars,1426,1330,794
7,hit,887,874,582
7,minister,1612,1507,929
7,leader,1031,899,668
7,1000,490,476,355
7,team,532,513,371
7,rise,851,823,479
7,breaking,2414,2406,1047
7,asia,418,398,294
7,europe,357,349,264
7,china,42536,37732,5378
7,france,533,508,350
7,foreign,1096,1065,731
8,chinese,9031,8300,2623
8,doctor,2800,2744,1468
8,li,1513,1391,871
8,dr,1622,1544,934
8,wenliang,1137,1105,753
8,whistleblower,843,742,544
8,warning,722,714,553
