Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
china,42536,37732,35.58817,5378,62.86382
wuhan,12644,11893,11.21727,2992,34.9737
case,12003,9210,8.68671,2210,25.83285
people,10677,9502,8.96212,3074,35.9322
chinese,9031,8300,7.82842,2623,30.66043
virus,8585,7862,7.4153,2744,32.07481
outbreak,8429,8156,7.6926,2557,29.88895
new,8221,7321,6.90504,2202,25.73933
canadian,7208,6258,5.90244,2137,24.97954
death,6984,6142,5.79303,1989,23.24956
canada,6943,6074,5.72889,2185,25.54062
health,6668,6193,5.84113,2335,27.29398
say,6194,5840,5.50819,2313,27.03682
US,5662,5120,4.8291,1907,22.29106
day,5026,4482,4.22734,1929,22.54822
world,4850,4547,4.28865,2032,23.75219
one,4635,4369,4.12077,2016,23.56517
de,4432,2237,2.1099,468,5.47049
ship,4416,3910,3.68784,1347,15.74518
country,4357,4120,3.88591,1831,21.40269
trump,4200,3551,3.34924,1673,19.55582
cruise,4068,3846,3.62748,1311,15.32437
government,4025,3869,3.64917,1713,20.02338
get,3924,3740,3.5275,1900,22.20923
via,3793,3785,3.56995,1384,16.17767
quarantine,3694,3473,3.27567,1386,16.20105
time,3598,3379,3.18701,1675,19.57919
spread,3474,3357,3.16626,1485,17.35827
confirmed,3453,3167,2.98706,1163,13.59439
hospital,3398,3043,2.8701,1296,15.14904
number,3356,2961,2.79276,1264,14.77499
infected,3314,3094,2.91821,1307,15.27762
know,3276,3070,2.89557,1645,19.22852
would,3247,3007,2.83615,1667,19.48568
trudeau,3181,2936,2.76918,1074,12.55406
news,3168,3050,2.87671,1402,16.38808
flight,3134,2833,2.67204,1313,15.34775
said,3012,2879,2.71542,1438,16.80888
epidemic,3008,2956,2.78805,1475,17.24138
2019ncov,2945,2879,2.71542,918,10.73057
report,2929,2823,2.6626,1246,14.56458
first,2904,2803,2.64374,1413,16.51666
official,2902,2833,2.67204,1305,15.25424
2,2898,2592,2.44473,1294,15.12566
cdnpoli,2896,2895,2.73051,1091,12.75278
public,2845,2600,2.45227,1431,16.72706
patient,2838,2581,2.43435,1065,12.44886
two,2836,2651,2.50038,1408,16.45821
could,2821,2730,2.57489,1396,16.31794
doctor,2800,2744,2.58809,1468,17.15956
novel,2786,2760,2.60318,1203,14.06195
need,2782,2562,2.41643,1475,17.24138
many,2755,2610,2.46171,1302,15.21917
million,2735,2415,2.27779,1393,16.28288
japan,2731,2557,2.41172,1016,11.8761
help,2727,2347,2.21365,1284,15.00877
u,2722,2593,2.44567,1402,16.38808
week,2592,2486,2.34475,1270,14.84512
go,2582,2457,2.3174,1506,17.60374
1,2564,1967,1.85524,1093,12.77615
state,2558,2388,2.25232,1336,15.6166
still,2546,2381,2.24572,1291,15.09059
update,2532,2446,2.30702,997,11.654
citizen,2497,2423,2.28533,1272,14.8685
hong,2483,2254,2.12593,790,9.23437
coronavirusoutbreak,2479,2457,2.3174,884,10.33314
breaking,2414,2406,2.2693,1047,12.23846
global,2406,2322,2.19007,1235,14.436
home,2394,2256,2.12782,1248,14.58796
medium,2382,2269,2.14008,1297,15.16072
kong,2357,2169,2.04576,769,8.9889
even,2353,2298,2.16743,1356,15.85038
american,2327,2180,2.05614,1201,14.03857
disease,2310,2223,2.0967,1275,14.90357
video,2201,2060,1.94296,1104,12.90473
city,2174,2025,1.90994,980,11.45529
year,2172,2067,1.94956,1315,15.37113
