Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,china,42536,37732,35.58817,5378,62.86382
1,come,1478,1464,1.38082,946,11.05786
1,data,963,883,0.83283,518,6.05494
1,company,812,769,0.72531,528,6.17183
1,saying,641,638,0.60175,517,6.04325
1,use,871,832,0.78473,577,6.74459
1,outside,1181,1135,1.07051,612,7.15371
1,india,870,763,0.71965,463,5.41204
1,situation,814,808,0.76209,515,6.01987
1,start,798,780,0.73568,590,6.89655
1,reason,538,532,0.50177,438,5.11981
1,old,456,431,0.40651,350,4.09117
1,taken,585,576,0.54327,429,5.01461
1,talk,454,436,0.41123,358,4.18469
1,record,514,497,0.46876,409,4.78083
2,ship,4416,3910,3.68784,1347,15.74518
2,cruise,4068,3846,3.62748,1311,15.32437
2,japan,2731,2557,2.41172,1016,11.8761
2,quarantined,2162,2123,2.00238,1051,12.28521
2,positive,1995,1947,1.83638,900,10.52016
2,tested,1579,1444,1.36196,640,7.48101
2,passenger,2151,1977,1.86467,982,11.47867
2,princess,1008,954,0.8998,488,5.70427
2,diamond,896,875,0.82528,457,5.34191
2,test,1784,1610,1.51852,759,8.872
2,aboard,549,518,0.48857,325,3.79895
2,board,811,776,0.73191,512,5.9848
2,japanese,566,560,0.52818,355,4.14962
2,diamondprincess,465,441,0.41594,189,2.20923
2,near,500,498,0.4697,335,3.91584
3,case,12003,9210,8.68671,2210,25.83285
3,number,3356,2961,2.79276,1264,14.77499
3,confirmed,3453,3167,2.98706,1163,13.59439
3,death,6984,6142,5.79303,1989,23.24956
3,new,8221,7321,6.90504,2202,25.73933
3,reported,1804,1728,1.62982,929,10.85915
3,total,1769,1631,1.53833,819,9.57335
3,hubei,1991,1859,1.75338,765,8.94214
3,china,42536,37732,35.58817,5378,62.86382
3,province,2029,1906,1.79771,914,10.68381
3,infection,1952,1845,1.74017,843,9.85389
3,singapore,936,849,0.80076,371,4.33665
3,report,2929,2823,2.6626,1246,14.56458
3,breaking,2414,2406,2.2693,1047,12.23846
3,confirms,548,546,0.51498,353,4.12624
4,wuhan,12644,11893,11.21727,2992,34.9737
4,family,1386,1326,1.25066,850,9.93571
4,died,2046,1916,1.80714,1145,13.38399
4,told,1039,1025,0.96676,712,8.32262
4,body,914,773,0.72908,454,5.30684
4,authority,1125,1110,1.04693,626,7.31736
4,hospital,3398,3043,2.8701,1296,15.14904
4,according,796,793,0.74794,490,5.72764
4,resident,867,846,0.79793,485,5.6692
4,inside,637,594,0.56025,426,4.97954
4,medical,1975,1869,1.76281,912,10.66043
4,chinese,9031,8300,7.82842,2623,30.66043
4,local,903,878,0.82811,538,6.28872
4,sent,568,561,0.52913,416,4.86265
4,center,663,647,0.61024,427,4.99123
5,canadian,7208,6258,5.90244,2137,24.97954
5,flight,3134,2833,2.67204,1313,15.34775
5,plane,2060,1899,1.7911,989,11.56049
5,wuhan,12644,11893,11.21727,2992,34.9737
5,canada,6943,6074,5.72889,2185,25.54062
5,trenton,825,800,0.75455,477,5.57569
5,leave,784,775,0.73097,516,6.03156
5,evacuation,552,543,0.51215,362,4.23144
5,carrying,619,616,0.581,410,4.79252
5,ontario,720,686,0.64702,450,5.26008
5,china,42536,37732,35.58817,5378,62.86382
5,vancouver,807,760,0.71682,396,4.62887
5,second,922,913,0.86113,595,6.955
5,government,4025,3869,3.64917,1713,20.02338
5,home,2394,2256,2.12782,1248,14.58796
6,health,6668,6193,5.84113,2335,27.29398
6,public,2845,2600,2.45227,1431,16.72706
6,official,2902,2833,2.67204,1305,15.25424
6,organization,843,817,0.77058,575,6.72122
6,fighting,899,881,0.83094,321,3.75219
6,threat,1182,1153,1.08749,788,9.21099
6,emergency,777,742,0.69984,542,6.33548
6,care,1163,1117,1.05354,803,9.38632
6,international,694,667,0.6291,473,5.52893
6,stigma,672,573,0.54044,95,1.11046
6,chief,537,525,0.49517,366,4.2782
6,global,2406,2322,2.19007,1235,14.436
6,action,510,498,0.4697,368,4.30158
6,response,1428,1370,1.29216,902,10.54354
6,safe,434,422,0.39802,319,3.72881
7,death,6984,6142,5.79303,1989,23.24956
7,toll,2021,1970,1.85807,988,11.5488
7,sars,1426,1330,1.25443,794,9.28112
7,hit,887,874,0.82434,582,6.80304
7,minister,1612,1507,1.42138,929,10.85915
7,leader,1031,899,0.84792,668,7.8083
7,1000,490,476,0.44895,355,4.14962
7,team,532,513,0.48385,371,4.33665
7,rise,851,823,0.77624,479,5.59906
7,breaking,2414,2406,2.2693,1047,12.23846
7,asia,418,398,0.37539,294,3.43659
7,europe,357,349,0.32917,264,3.08591
7,china,42536,37732,35.58817,5378,62.86382
7,france,533,508,0.47914,350,4.09117
7,foreign,1096,1065,1.00449,731,8.54471
8,chinese,9031,8300,7.82842,2623,30.66043
8,doctor,2800,2744,2.58809,1468,17.15956
8,li,1513,1391,1.31197,871,10.18118
8,dr,1622,1544,1.45627,934,10.91759
8,wenliang,1137,1105,1.04222,753,8.80187
8,whistleblower,843,742,0.69984,544,6.35885
8,warning,722,714,0.67343,553,6.46406
8,dy,507,505,0.47631,400,4.67563
8,support,1093,1061,1.00072,723,8.4512
8,died,2046,1916,1.80714,1145,13.38399
