Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,case,58540,45096,6805
1,new,42701,36258,6835
1,death,31115,26114,5587
1,number,14606,13689,4525
1,day,25588,22593,6138
1,record,9917,9379,3358
1,today,20437,19184,5545
1,report,9271,8870,3435
1,reported,6328,5590,2364
1,daily,5886,5466,2415
1,hospital,9885,9026,3325
1,rate,8109,7322,3117
1,total,6114,5174,2313
1,high,5416,5002,2547
1,million,11193,9686,3726
2,know,13399,12568,4774
2,think,8840,8406,3836
2,thing,8388,8092,3762
2,really,5790,5390,2908
2,need,18777,17094,5627
2,make,11505,11080,4594
2,going,11140,10554,4370
2,right,11481,10705,4198
2,time,18609,17564,5954
2,good,8111,7822,3853
2,look,6502,6378,3386
2,want,11078,10318,4098
2,thank,3558,3393,2139
2,bad,3823,3517,2102
2,sure,3799,3759,2382
3,mask,23445,19657,5873
3,wear,10306,9611,4122
3,spread,9461,9254,3864
3,social,6519,6300,3357
3,safe,6552,6168,3147
3,distancing,3745,3650,2299
3,stay,8332,7508,3780
3,face,3907,3720,2199
3,halloween,2846,2538,1688
3,school,11258,8867,3032
3,wearing,3238,3093,1991
3,protect,4792,4466,2445
3,gathering,3392,3046,1860
3,home,14445,13139,4994
3,hand,3062,2940,1877
4,trump,43509,38019,5410
4,president,11797,10961,3355
4,american,15444,13974,3661
4,realdonaldtrump,8402,8249,2401
4,rally,6413,5735,2246
4,lie,5542,4598,2087
4,death,31115,26114,5587
4,donald,4311,4239,1863
4,campaign,4199,4011,1990
4,america,6725,6244,2575
4,cnn,3075,2481,1435
4,supporter,2071,2006,1240
4,dead,3480,3250,1801
4,obama,1929,1819,1171
4,history,2404,2367,1570
5,pandemic,58722,57071,9258
5,global,4557,4429,2375
5,economy,6629,6231,2919
5,support,7569,6937,3230
5,economic,3741,3470,2069
5,business,8588,7779,3451
5,crisis,4322,4141,2244
5,working,5249,5013,2793
5,reminder,1820,1819,1323
5,effort,2143,2110,1434
5,middle,3191,3166,1888
5,recovery,3097,3011,1863
5,response,8146,7944,3465
5,canadian,9788,9256,3468
5,help,9715,9211,4018
6,lockdown,19801,18159,4767
6,end,5515,5219,2859
6,fauci,4453,3955,1840
6,restriction,7039,6811,2948
6,open,4415,4258,2489
6,election,14464,13217,4192
6,coming,3653,3611,2371
6,lock,2539,2433,1458
6,week,12026,11013,4270
6,change,5123,4873,2844
6,dr,9692,8963,3383
6,wait,2328,2293,1625
6,soon,2426,2377,1657
6,tomorrow,2215,2181,1490
6,shut,2202,1946,1389
7,people,41062,36534,7557
