Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,43358,11.10767,7401,46.05189
2,41105,10.53048,8539,53.13297
3,30484,7.80954,7699,47.90617
4,29302,7.50673,4983,31.00616
5,29561,7.57308,7491,46.61191
6,19170,4.91107,5602,34.85782
7,26140,6.69667,6755,42.03223
8,24804,6.35441,5705,35.49872
9,23684,6.06748,4576,28.47365
10,20643,5.28843,5267,32.77332
11,24226,6.20634,6369,39.63039
12,23380,5.9896,5583,34.73959
13,19631,5.02917,5498,34.21069
14,17629,4.51628,5429,33.78135
15,17226,4.41304,4566,28.41142
