Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,case,58540,45096,11.55292,6805,42.34335
1,new,42701,36258,9.28875,6835,42.53002
1,death,31115,26114,6.69001,5587,34.76448
1,number,14606,13689,3.50692,4525,28.15631
1,day,25588,22593,5.78799,6138,38.19302
1,record,9917,9379,2.40276,3358,20.89478
1,today,20437,19184,4.91465,5545,34.50314
1,report,9271,8870,2.27236,3435,21.3739
1,reported,6328,5590,1.43207,2364,14.70973
1,daily,5886,5466,1.40031,2415,15.02707
1,hospital,9885,9026,2.31233,3325,20.68944
1,rate,8109,7322,1.87579,3117,19.39518
1,total,6114,5174,1.3255,2313,14.39238
1,high,5416,5002,1.28144,2547,15.84842
1,million,11193,9686,2.48141,3726,23.18462
2,know,13399,12568,3.21973,4774,29.70568
2,think,8840,8406,2.15349,3836,23.86908
2,thing,8388,8092,2.07305,3762,23.40862
2,really,5790,5390,1.38084,2908,18.0947
2,need,18777,17094,4.37923,5627,35.01338
2,make,11505,11080,2.83853,4594,28.58565
2,going,11140,10554,2.70378,4370,27.19184
2,right,11481,10705,2.74246,4198,26.12159
2,time,18609,17564,4.49963,5954,37.0481
2,good,8111,7822,2.00388,3853,23.97486
2,look,6502,6378,1.63395,3386,21.06901
2,want,11078,10318,2.64332,4098,25.49935
2,thank,3558,3393,0.86924,2139,13.30969
2,bad,3823,3517,0.901,2102,13.07946
2,sure,3799,3759,0.963,2382,14.82173
3,mask,23445,19657,5.03583,5873,36.54409
3,wear,10306,9611,2.46219,4122,25.64868
3,spread,9461,9254,2.37074,3864,24.04331
3,social,6519,6300,1.61397,3357,20.88856
3,safe,6552,6168,1.58015,3147,19.58186
3,distancing,3745,3650,0.93508,2299,14.30527
3,stay,8332,7508,1.92344,3780,23.52063
3,face,3907,3720,0.95301,2199,13.68303
3,halloween,2846,2538,0.6502,1688,10.50339
3,school,11258,8867,2.27159,3032,18.86628
3,wearing,3238,3093,0.79238,1991,12.38877
3,protect,4792,4466,1.14412,2445,15.21374
3,gathering,3392,3046,0.78034,1860,11.57364
3,home,14445,13139,3.36601,4994,31.07461
3,hand,3062,2940,0.75318,1877,11.67942
4,trump,43509,38019,9.7399,5410,33.66312
4,president,11797,10961,2.80804,3355,20.87611
4,american,15444,13974,3.57993,3661,22.78016
4,realdonaldtrump,8402,8249,2.11327,2401,14.93995
4,rally,6413,5735,1.46922,2246,13.97548
4,lie,5542,4598,1.17794,2087,12.98612
4,death,31115,26114,6.69001,5587,34.76448
4,donald,4311,4239,1.08597,1863,11.59231
4,campaign,4199,4011,1.02756,1990,12.38255
4,america,6725,6244,1.59962,2575,16.02265
4,cnn,3075,2481,0.63559,1435,8.92913
4,supporter,2071,2006,0.51391,1240,7.71576
4,dead,3480,3250,0.8326,1801,11.20652
4,obama,1929,1819,0.466,1171,7.28642
4,history,2404,2367,0.60639,1570,9.76915
5,pandemic,58722,57071,14.62073,9258,57.60687
5,global,4557,4429,1.13464,2375,14.77817
5,economy,6629,6231,1.59629,2919,18.16315
5,support,7569,6937,1.77715,3230,20.09831
5,economic,3741,3470,0.88896,2069,12.87412
5,business,8588,7779,1.99286,3451,21.47346
5,crisis,4322,4141,1.06086,2244,13.96304
5,working,5249,5013,1.28426,2793,17.37913
5,reminder,1820,1819,0.466,1323,8.23222
5,effort,2143,2110,0.54055,1434,8.9229
5,middle,3191,3166,0.81108,1888,11.74787
5,recovery,3097,3011,0.77137,1863,11.59231
5,response,8146,7944,2.03513,3465,21.56057
5,canadian,9788,9256,2.37125,3468,21.57924
5,help,9715,9211,2.35972,4018,25.00156
6,lockdown,19801,18159,4.65206,4767,29.66212
6,end,5515,5219,1.33703,2859,17.78981
6,fauci,4453,3955,1.01321,1840,11.44919
6,restriction,7039,6811,1.74488,2948,18.3436
6,open,4415,4258,1.09084,2489,15.48752
6,election,14464,13217,3.386,4192,26.08425
6,coming,3653,3611,0.92508,2371,14.75328
6,lock,2539,2433,0.6233,1458,9.07224
6,week,12026,11013,2.82136,4270,26.5696
6,change,5123,4873,1.24839,2844,17.69647
6,dr,9692,8963,2.29619,3383,21.05034
6,wait,2328,2293,0.58743,1625,10.11138
6,soon,2426,2377,0.60895,1657,10.3105
6,tomorrow,2215,2181,0.55874,1490,9.27136
6,shut,2202,1946,0.49854,1389,8.6429
7,people,41062,36534,9.35946,7557,47.02259
7,died,8185,7683,1.96827,2999,18.66094
7,die,4144,3861,0.98913,2012,12.51944
7,day,25588,22593,5.78799,6138,38.19302
7,sick,4098,3753,0.96146,2155,13.40925
7,year,12661,11446,2.93229,4877,30.34659
7,dying,3623,3424,0.87718,1979,12.31411
7,election,14464,13217,3.386,4192,26.08425
7,getting,5780,5541,1.41952,2974,18.50538
7,infected,2711,2552,0.65378,1534,9.54514
7,fear,2664,2456,0.62919,1443,8.97891
7,going,11140,10554,2.70378,4370,27.19184
7,shit,1749,1668,0.42732,1232,7.66598
7,believe,4018,3594,0.92073,2178,13.55236
7,ago,3546,3386,0.86744,2153,13.3968
8,lockdown,19801,18159,4.65206,4767,29.66212
8,world,8992,8405,2.15323,3740,23.27173
8,second,5608,5441,1.3939,2679,16.66978
8,country,12181,11561,2.96175,4272,26.58204
8,wave,4396,4060,1.04011,2092,13.01724
8,china,4362,3767,0.96505,1668,10.37894
8,death,31115,26114,6.69001,5587,34.76448
8,canada,19095,17602,4.50937,4944,30.76349
8,virus,14802,13947,3.57301,4534,28.21231
8,cause,3227,2963,0.75908,1885,11.7292
8,great,5188,5025,1.28733,2982,18.55516
8,border,2293,2169,0.55567,1496,9.30869
8,uk,3063,2828,0.72449,1384,8.61179
8,national,4326,4249,1.08853,2262,14.07504
8,protest,1920,1805,0.46241,1150,7.15575
9,alberta,10699,9801,2.51087,1998,12.43233
9,cdnpoli,10700,10691,2.73887,2487,15.47508
9,ableg,8692,8671,2.22138,1042,6.48373
9,trudeau,7642,6808,1.74411,2357,14.66617
9,app,6420,5085,1.3027,1593,9.91226
9,government,14265,13524,3.46465,4368,27.17939
