Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,28320,6.92121,6746,44.5987
2,20883,5.10366,3877,25.63136
3,23080,5.64059,5982,39.5478
4,21083,5.15254,5215,34.47706
5,16118,3.93913,5109,33.77628
6,20190,4.93429,5332,35.25056
7,18965,4.63491,5254,34.73489
8,11697,2.85867,4410,29.1551
9,13363,3.26582,3891,25.72392
10,16180,3.95428,5835,38.57596
11,18760,4.58481,3514,23.23152
12,16907,4.13195,3714,24.55375
13,17248,4.21529,3867,25.56525
14,16531,4.04006,4138,27.35687
15,13141,3.21157,4228,27.95187
16,11581,2.83032,4533,29.96827
17,18581,4.54107,5318,35.15801
18,14452,3.53197,2757,18.22689
19,14135,3.4545,5021,33.1945
20,13084,3.19764,4330,28.62621
21,13611,3.32643,4950,32.72511
22,13932,3.40488,4387,29.00304
23,12513,3.05809,3958,26.16687
24,11583,2.8308,3799,25.11569
25,13239,3.23552,4652,30.75499
