Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,vaccine,62749,52537,12.83968,7993,52.84279
1,pfizer,6523,6216,1.51915,2801,18.51778
1,end,7223,6986,1.70733,3240,21.42007
1,vaccination,5541,5353,1.30824,2648,17.50628
1,line,5906,5699,1.3928,2658,17.57239
1,use,5429,5247,1.28233,2855,18.87479
1,shot,2901,2747,0.67135,1658,10.96126
1,start,5084,4951,1.20999,2630,17.38728
1,woman,3166,2839,0.69383,1721,11.37776
1,step,2540,2478,0.60561,1612,10.65715
1,receive,4198,4151,1.01448,2180,14.41227
1,given,2884,2847,0.69579,1819,12.02565
1,needed,2360,2332,0.56992,1528,10.10181
1,getting,8958,8657,2.11571,3565,23.56869
1,effect,2891,2759,0.67428,1823,12.0521
2,case,39668,29665,7.24992,5273,34.86051
2,new,38019,32590,7.96477,6229,41.18075
2,number,11087,10114,2.47179,3715,24.56036
2,death,28765,23940,5.85077,4759,31.46238
2,report,7700,7481,1.8283,2827,18.68967
2,dec,6765,5856,1.43117,2231,14.74944
2,ontario,22153,20641,5.04452,4124,27.26431
2,reported,4920,4419,1.07997,1896,12.53471
2,record,5804,5374,1.31337,2281,15.07999
2,total,5235,4409,1.07753,1843,12.18432
2,today,20483,19513,4.76884,5314,35.13156
2,active,4411,3666,0.89594,1325,8.75975
2,high,4337,4092,1.00006,2196,14.51805
2,reporting,3157,3080,0.75273,1430,9.45392
2,daily,4837,4610,1.12665,2219,14.6701
3,life,13227,12308,3.00799,4256,28.13698
3,pandemic,57745,56020,13.6909,8775,58.01269
3,people,50033,44138,10.78702,7616,50.35039
3,going,11096,10536,2.57492,4237,28.01137
3,way,8442,8251,2.01649,3636,24.03808
3,trying,3420,3312,0.80943,1950,12.89171
3,make,11876,11425,2.79219,4391,29.02949
3,better,5273,5121,1.25154,2740,18.1145
3,believe,3073,2946,0.71998,1782,11.78104
3,wrong,3420,3234,0.79037,1870,12.36282
3,thought,3083,3045,0.74418,1905,12.59421
3,thing,9260,8649,2.11376,3761,24.86447
3,isnt,2643,2581,0.63078,1583,10.46542
3,didnt,2932,2744,0.67061,1668,11.02737
3,youre,2492,2295,0.56088,1520,10.04892
4,lockdown,30015,26644,6.51161,5717,37.79585
4,business,9644,8705,2.12744,3406,22.51752
4,toronto,7894,7506,1.83441,2537,16.77244
4,restriction,7662,7345,1.79507,3168,20.94407
