Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,vaccine,62749,52537,7993
1,pfizer,6523,6216,2801
1,end,7223,6986,3240
1,vaccination,5541,5353,2648
1,line,5906,5699,2658
1,use,5429,5247,2855
1,shot,2901,2747,1658
1,start,5084,4951,2630
1,woman,3166,2839,1721
1,step,2540,2478,1612
1,receive,4198,4151,2180
1,given,2884,2847,1819
1,needed,2360,2332,1528
1,getting,8958,8657,3565
1,effect,2891,2759,1823
2,case,39668,29665,5273
2,new,38019,32590,6229
2,number,11087,10114,3715
2,death,28765,23940,4759
2,report,7700,7481,2827
2,dec,6765,5856,2231
2,ontario,22153,20641,4124
2,reported,4920,4419,1896
2,record,5804,5374,2281
2,total,5235,4409,1843
2,today,20483,19513,5314
2,active,4411,3666,1325
2,high,4337,4092,2196
2,reporting,3157,3080,1430
2,daily,4837,4610,2219
3,life,13227,12308,4256
3,pandemic,57745,56020,8775
3,people,50033,44138,7616
3,going,11096,10536,4237
3,way,8442,8251,3636
3,trying,3420,3312,1950
3,make,11876,11425,4391
3,better,5273,5121,2740
3,believe,3073,2946,1782
3,wrong,3420,3234,1870
3,thought,3083,3045,1905
3,thing,9260,8649,3761
3,isnt,2643,2581,1583
3,didnt,2932,2744,1668
3,youre,2492,2295,1520
4,lockdown,30015,26644,5717
4,business,9644,8705,3406
4,toronto,7894,7506,2537
4,restriction,7662,7345,3168
4,ontario,22153,20641,4124
4,measure,5506,5261,2585
4,province,9049,8576,3018
4,open,4880,4710,2478
4,city,4396,4060,2086
4,small,4731,4396,2298
4,region,5128,4572,1807
4,restaurant,3014,2687,1639
4,ottawa,3740,3338,1440
4,christmas,10302,9370,3988
4,lock,2159,2095,1261
5,mask,19504,17038,4788
5,wear,9691,9136,3491
5,social,5323,5182,2800
5,vaccinated,4091,3833,2007
5,distancing,3372,3294,1983
5,hand,3532,3373,2056
5,wearing,3287,3098,1853
5,face,3439,3258,1977
5,hoax,2539,2409,1284
5,called,3258,3144,1883
5,save,3316,3184,1846
5,fine,2083,2019,1329
5,gathering,2522,2453,1525
5,spread,9101,8789,3560
5,event,2342,2283,1442
6,canadian,12083,11133,3682
6,pandemic,57745,56020,8775
6,country,13107,12318,4202
6,cdnpoli,12338,12307,2550
6,canada,26361,23465,5764
6,world,9107,8503,3576
6,crisis,4302,4087,2104
6,change,4219,3977,2341
6,free,3892,3709,2278
6,global,3932,3674,2007
6,nation,4067,3909,2024
6,justintrudeau,3439,3403,1455
6,trudeau,7586,6840,2055
6,conservative,2821,2683,1157
6,border,2685,2457,1431
7,health,30303,27236,6072
7,care,17368,15631,4721
7,worker,15807,13751,4331
7,public,13074,12144,4124
7,healthcare,6053,5830,2625
7,community,6231,5831,2696
7,outbreak,7303,6653,2380
7,support,8469,7840,3506
7,resident,4456,3916,1990
7,service,3654,3399,2054
7,staff,5671,5374,2529
7,frontline,2800,2730,1675
7,longterm,2485,2429,1434
7,continue,4341,4216,2312
7,home,18220,16655,5315
8,people,50033,44138,7616
8,canada,26361,23465,5764
8,die,4781,4318,2001
8,dying,2952,2782,1653
8,thousand,3021,2894,1715
8,flight,3474,3026,1688
