Tweet ID,Weight,Total Times Tweeted,Tweet Text
1371206955545546756,0.02969,27,"MAR 14: #CovidVaccine in Ontario🇨🇦
Total vaccinations: 1158355 (+41859)
💉delivered: 1457005 (as of Mar 11)
💉freezer/fridge: 298650 (20.5%)

Fully vaxed (2💉): 285615 =2.46% adults
Partial+fully vaxed (1-2💉) =7.52% adults

🧵Deliveries/projections⤵️
https://t.co/1JTUDVBtSz https://t.co/i8bNxjt9Os"
1370554057165799425,0.02909,24,"MAR 12: #CovidVaccine in Ontario🇨🇦
Total vaccinations: 1062910 (+43503)
💉delivered: 1457005 (as of Mar 10)
💉freezer/fridge: 394095 (27.0%)
Fully vaxed (2💉): 282748 =2.44% adults
Partial+fully vaxed (1-2💉) =6.72% adults

🧵Deliveries/projections⤵️
https://t.co/1JTUDVBtSz https://t.co/SsIE8U3zar"
1368935683449094148,0.02863,110,"17 states in US now follow humanitarian/scientific evidence-based Covid policies. Ontario &amp; 🇨🇦still ignore this reality &amp; existence of jurisdictions that never had lockdowns (Sweden, SD, Belarus) &amp; existence of 🌎jurisdictions that ended ALL lockdowns/restrictions w/in past 6mths"
1368666450102267908,0.02695,26,"MAR 7: #CovidVaccine in Ontario🇨🇦
Total vaccinations: 890604 (+30192)
💉delivered: 1086745 (as of Mar 3)
💉freezer/fridge: 196141 (18.0%)
Fully vaxed (2💉): 271807 =2.3% adults
Partial+fully vaxed (1-2💉) =5.3% adults

Thread for deliveries/projections🧵⤵️
https://t.co/1JTUDVBtSz https://t.co/D7FXPXJNkS"
1367641530576613376,0.02681,21,"MAR 4: #CovidVaccine in Ontario🇨🇦
Total vaccinations: 784828 (+30409)
💉delivered: 1076445 (as of Mar 4)
💉freezer/fridge: 291617 (27.1%)
Fully vaxed (2x💉): 268118 =2.31% ON adults

See thread for deliveries/projections🧵⤵️
Data: https://t.co/1JTUDVBtSz https://t.co/ypRzwcUzAM https://t.co/3xJDqZveyt"
1367879932702035978,0.02641,40,"Winter, 1944. The Netherlands.

When a family offered shelter, he saw the girl had no shoes. He wrote home to Toronto. Shoes arrived six weeks later. 

Years later, she plated them in gold: ""Shoes From a Canadian Soldier""

He died last week of COVID-19.

Rest easy, Andy Anderson. https://t.co/UXGatTUw6j"
1371424477515448323,0.02417,2,"Our data is updated: https://t.co/03pQ8rRViP

Share of people with at least 1 dose:
🇮🇱 Israel 60%
🇬🇧 UK 36%
🇦🇪 UAE 35%
🇨🇱 Chile 25%
🇺🇸 US 21%
🇧🇭 Bahrain 20%
🇷🇸 Serbia 18%
🇭🇺 Hungary 14%
🇲🇦 Morocco 11%
🇫🇮 Finland 11%
🇩🇰 Denmark 10%
🇪🇪 Estonia 10%
🇹🇷 Turkey 9%
🇱🇹 Lithuania 9% https://t.co/Y3MrGruDka"
1368781876568203265,0.02413,51,"FYI. There are currently a grand total of 606 COVID patients in hospitals across Ontario. In a province of over 14 million.

That's it.

Epidemic of Fear. Crimes Against Humanity. https://t.co/SGK7iysJsl"
1371068712074231812,0.02374,2,"Our data is updated: https://t.co/03pQ8rRViP

Share of people with at least 1 dose:
🇮🇱 Israel 59%
🇦🇪 UAE 35%
🇬🇧 UK 35%
🇨🇱 Chile 25%
🇺🇸 US 21%
🇧🇭 Bahrain 19%
🇷🇸 Serbia 18%
🇭🇺 Hungary 14%
🇲🇦 Morocco 11%
🇫🇮 Finland 11%
🇩🇰 Denmark 10%
🇪🇪 Estonia 10%
🇹🇷 Turkey 9%
🇱🇹 Lithuania 9% https://t.co/YAjlFVzNLv"
1368781884394790913,0.02293,10,"And then there's Quebec. 

There are currently a grand total of 592 COVID patients in hospitals across Quebec. In a province of over 8 million.

That's it.

Epidemic of Fear. Crimes Against Humanity. https://t.co/pwLJne3ibI"
1367925734396858372,0.02271,61,"Proof of lies.  My fiance's cousin died 2 days ago.  It was listed as a COVID death.  Total, 100% lie.  The man died of cancer.  The family knew he was dying for the past 2 weeks.  He did not die as a result of COVID."
1368174356434726918,0.02237,1,"Our data is updated: https://t.co/03pQ8rRViP

Share of people with at least 1 dose:
🇮🇱 Israel 57%
🇦🇪 UAE 35%
🇬🇧 UK 31%
🇨🇱 Chile 21%
🇧🇭 Bahrain 18%
🇺🇸 US 17%
🇷🇸 Serbia 15%
🇲🇦 Morocco 11%
🇭🇺 Hungary 10%
🇹🇷 Turkey 9%
🇩🇰 Denmark 9%
🇫🇮 Finland 8%
🇱🇹 Lithuania 8%
🇪🇪 Estonia 7% https://t.co/g6u8bJdVxw"
1370000858868506625,0.02232,2,"Our data is updated: https://t.co/03pQ8rRViP

Share of people with at least 1 dose:
🇮🇱 Israel 59%
🇦🇪 UAE 35%
🇬🇧 UK 34%
🇨🇱 Chile 23%
🇺🇸 US 19%
🇧🇭 Bahrain 18%
🇷🇸 Serbia 17%
🇭🇺 Hungary 12%
🇲🇦 Morocco 11%
🇩🇰 Denmark 10%
🇫🇮 Finland 9%
🇹🇷 Turkey 9%
🇱🇹 Lithuania 9%
🇪🇪 Estonia 8% https://t.co/w1z6VN9STN"
