Tweet ID,Weight,Total Times Tweeted,Tweet Text
1368938483662872588,0.02506,14,"Today is International Women’s Day; We know that COVID-19 has disproportionately impacted women, from layoffs, to caregiving roles, to domestic violence. As we recover from the pandemic, our focus is on a feminist recovery, emphasizing equality and empowerment. https://t.co/jRAKAlqhHr"
1370215435124232194,0.02497,30,"Tonight I co-chaired the first Task Force on Women in the Economy to discuss a plan to address jobs &amp; gender equality in the wake of the pandemic. We recognize an inclusive economic recovery is also a feminist recovery, with full participation of women in the workforce. https://t.co/Y6eJpKVUUJ"
1368942371359035392,0.02489,3,"Happy #IWD2021! As we look to rebuild and recover, we must recognize women, and especially Black, Indigenous, and racialized women, have been disproportionately impacted by the pandemic. Any recovery must include a #GenderEquity lens and must support ALL women.
#FeministRecovery https://t.co/7IjqaD3uUV"
1368894051286671360,0.0246,3,"Happy IWD!
💜Pandemic shock absorbers
💜Undervalued, underpaid, often unpaid caregivers 
💜Leaders of movements for systemic change 
💜Essential service workers 
💜Educators extraordinaire 
💜Daring to challenge in their homes, workplaces, &amp; in the streets #IWD2021 https://t.co/pK1Fhe0Yxc"
1370001275484577792,0.02452,39,"Today marks 1 year of the #COVID19 pandemic. Elders in LTC &amp; racialized people were hit hardest.

We may have all weathered the same storm, but we were not in the same boat. Some were in yachts thriving. Others in rafts barely surviving.  

Inequity is the heartbeat of injustice."
1367989195088687106,0.02441,1,"The theme for #InternationalWomensDay2021 is “Women in leadership: Achieving an equal future in a COVID-19 world,” celebrates the tremendous efforts by women &amp; girls around the world in shaping a more equal future and recovery from the #COVID19 pandemic &amp; highlights the gaps. /3"
1368908867598512132,0.02403,5,"Happy #InternationalWomensDay Mississauga! This year, #IWD is as important as ever, with women being disproportionately affected by the pandemic.

Let’s all #ChooseToChallenge gender bias and inequality, and celebrate the achievements of women to create a more inclusive world. https://t.co/xJxweBszhw"
1368984237001564160,0.02393,13,"On #InternationalWomensDay - We can #ChooseToChallenge the inequities magnified by the pandemic.

Our recovery must be a feminist one that advances gender equity along with racial, Indigenous, economic, social and environmental justice. #IWD https://t.co/me96KzcwqB"
1369137251905572873,0.02386,1,Happy #internationalwomensday! Today we celebrate the tremendous efforts by women and girls in our community in shaping a more equal future and recovery from the COVID-19 pandemic. #ChoosetoChallenge #iwd2021 https://t.co/ilbPYeSphR
1368927136795529216,0.02384,2,"With COVID-19 impacting the female labour force particularly hard, it’s critical we address gender inequalities. Join us in our commitment to provide equal opportunities for all women. Read our #WomenInWork Index for insights https://t.co/oNeUsjWJFk #ChooseToChallenge #IWD2021"
1368619271308255235,0.02378,4,"I call on leaders to take 6 gender equality steps:

Ensure equal representation.

Invest in the care economy.

Remove barriers to women’s full economic inclusion.

Repeal all discriminatory laws.

Address violence against women.

Call out systemic bias.
https://t.co/5cB72eeqIY"
1369056398223548419,0.02371,21,"We’ve seen the alarming impact of this pandemic on women’s economic participation. So the federal government is launching a Task Force to help address issues of gender equality, providing 🇨🇦 women and girls more opportunities to succeed. https://t.co/aiHH0fiHx7 https://t.co/6lZFpPiOFy"
1368990071601336320,0.02357,5,"On this #IWD I raise my hands to women on the frontlines of this pandemic -facing greater risk to provide us with essential services. We must continue to fight for a world with greater equality -fairer wages, working conditions and safer places for women and girls 🙌🏾"
1368939875110686723,0.02353,5,"Today, let’s reaffirm our commitment to empowering women and girls because when they are allowed their rightful and equal place, everyone is stronger. As we build back from #COVID19, an inclusive #FeministRecovery will create a more resilient Canada. 

#IWD2021 https://t.co/XgCB1s45GK"
1368946195041751046,0.02344,4,#InternationalWomensDay is an opportunity to celebrate the contributions of women and girls but also to reaffirm our commitment to gender equality and inclusion as we all recover from this pandemic. #FeministRecovery #IWD2021 https://t.co/PRqCxqOX14
