Word,2020-01-21_2020-02-03,2020-02-04_2020-02-17,2020-02-18_2020-03-03,2020-03-04_2020-03-17,2020-03-18_2020-03-31,2020-04-01_2020-04-14,2020-04-15_2020-04-28,2020-04-29_2020-05-12,2020-05-13_2020-05-26,2020-05-27_2020-06-09,2020-06-10_2020-06-23,2020-06-24_2020-07-07,2020-07-08_2020-07-21,2020-07-22_2020-08-04,2020-08-05_2020-08-18,2020-08-19_2020-09-01,2020-09-02_2020-09-15,2020-09-16_2020-09-29,2020-09-30_2020-10-13,2020-10-14_2020-10-27,2020-10-28_2020-11-10,2020-11-11_2020-11-24,2020-11-25_2020-12-08,2020-12-09_2020-12-22,2020-12-23_2021-01-05,2021-01-06_2021-01-19,2021-01-20_2021-02-02,2021-02-03_2021-02-16,2021-02-17_2021-03-02,2021-03-03_2021-03-16,2021-03-17_2021-03-30,2021-03-31_2021-04-13
mask,0.03122974710093473,0.030559072326154416,0.029507157979753933,0.028406404315679177,0.02737814923164866,0.026675856681095414,0.026724880535630796,0.028711902586100735,0.033488139949178944,0.04251690997138473,0.05887940904134794,0.07879833785132698,0.09075540683042907,0.0877950997957077,0.07671436029517446,0.06483908325021367,0.055119223536517076,0.0470853442815341,0.03837507853019146,0.028152365953585834,0.01914687955821434,0.01309215154427233,0.0094975499098625,0.00782818180665596,0.007195651146528131,0.007842219220268273,0.009388353780077604,0.011570182518318624,0.014074704313325245,0.016507873097041794,0.018011318135199617,0.01870608126698434
face,0.011634122905022373,0.01114576429502964,0.010326392432965844,0.009357060501875503,0.008401035362666105,0.00761226623011486,0.007110263032014575,0.007011976918230085,0.007337775073332229,0.00812765011113551,0.009501723513479821,0.010731381984799782,0.011263794298985205,0.01092353388138245,0.00985977797474389,0.00837101768283862,0.006829303421388437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,0.011325842006993594,0.012470510044972164,0.014881964104731802,0.01878725614519971,0.023519379848795367,0.027752317228719278,0.030780034846459883,0.03218267408890938,0.03191983985286456,0.02982847878766144,0.02616040573896151,0.022252894536087194,0.019712308649908045,0.01944748454541419,0.019912270964562776,0.01972548250349906,0.01801041467972062,0.015036012816981012,0.011236543198545819,0.00760941153415599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city,0.011182272835589918,0.010443121481012618,0.009188261988589823,0.00783240794022619,0.006589294555759194,0.005588593865096328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
police,0.010947597403134187,0.010673038197018333,0.00997360062226462,0.009222699303198561,0.008700044480042399,0.008459410005091948,0.008451370659817357,0.008613821384398255,0.008701664254746173,0.008371162133731581,0.007257314897397133,0.00599890431263169,0.005385798293323037,0.0054974743967168916,0.00614580189160861,0.007011965680316188,0.007550315692362842,0.007492812171310956,0.006948938785197438,0.006172202589413967,0.0,0.0,0.0,0.0067078420103408995,0.007783934195858822,0.009102968081005932,0.009146261214992069,0.008258741482067067,0.0072008412670371705,0.006216138815442106,0.005473563490572294,0.0
street,0.010896039819100797,0.010005650583830624,0.008459189764128117,0.0067845161541689476,0.00533159107384408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fear,0.008667377513990862,0.007617134258991537,0.005859612629148165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distancing,0.007625403205726913,0.008594386511458042,0.010618956110573485,0.013861893712894984,0.017971405818364473,0.022067899704444074,0.025382036144539953,0.027336519735062206,0.02775910600608929,0.02664568264165233,0.024337902408814942,0.021633445998447513,0.019834460061412335,0.019578727100726175,0.01955751739286167,0.018527290603450344,0.01603001377681735,0.012680905742773177,0.009234479411655002,0.006198747234598505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alberta,0.00724907179842893,0.007570538561000706,0.008097213152733849,0.00866865258581722,0.008886757672929041,0.0086430936253003,0.007979929108952415,0.007109446210790315,0.006238521192576578,0.00557012600272541,0.005257167044696808,0.005185751754414034,0.0054332903445113165,0.006030499115579522,0.006881820500155371,0.007889635652060169,0.008848156164249882,0.009924096220424918,0.011843425187002364,0.015131029045850737,0.01867553083853868,0.020935583727117815,0.020940785103038435,0.018811775865274195,0.015532690530443642,0.013766469183142824,0.013236264065223467,0.013027666359307301,0.012802455494020957,0.012257664728042674,0.011719702824061153,0.011388591388803847
people,0.0070899543592158705,0.007283911451372799,0.007574877859615825,0.007881884726002422,0.008141691715185011,0.0083587006054009,0.00856524202964501,0.008725723807146838,0.008771015513904447,0.008576241075320888,0.008092419936401439,0.007252410908929797,0.006424972066343101,0.0058358816595124085,0.0053964565197747736,0.005032989832005482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
