Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.10186,0.3895,0.07585,0.10446,0.04305,0.07965,0.8811,0.12762
2,0.0136,0.34328,0.04336,0.0753,0.04242,0.08276,0.91422,0.11051
3,-0.00364,0.48114,0.0891,0.10884,0.08969,0.10911,0.82122,0.1354
4,-0.01512,0.38056,0.05359,0.08197,0.05941,0.08934,0.887,0.11547
5,0.02506,0.37126,0.06285,0.09368,0.05371,0.08891,0.88344,0.12696
