Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,vaccine,6023,4982,15.23734,2258,35.41405
1,dose,1738,1389,4.24823,884,13.86449
1,second,954,881,2.69452,648,10.16311
1,shot,853,787,2.40702,647,10.14743
1,child,998,839,2.56606,570,8.93977
1,vaccination,1458,1400,4.28187,931,14.60163
1,ontario,1921,1804,5.51749,971,15.22898
1,dos,1493,1262,3.8598,777,12.18632
1,received,650,598,1.82897,462,7.24592
1,cdc,635,613,1.87485,436,6.83814
1,moderna,467,438,1.33961,352,5.5207
1,appointment,487,403,1.23257,293,4.59536
1,health,2329,2107,6.44421,1238,19.41656
1,reopening,419,399,1.22033,323,5.06587
1,book,431,395,1.2081,299,4.68946
2,case,4254,3037,9.2886,1427,22.3808
2,new,3472,2946,9.01028,1528,23.96487
2,death,2096,1738,5.31563,996,15.62108
2,report,728,702,2.14705,510,7.99875
2,ontario,1921,1804,5.51749,971,15.22898
2,june,1193,1133,3.46526,672,10.53952
2,today,1844,1766,5.40127,1101,17.26788
2,active,636,542,1.6577,296,4.64241
2,icu,526,474,1.44972,361,5.66186
2,province,907,869,2.65782,542,8.50063
2,total,574,495,1.51395,301,4.72083
2,reported,421,401,1.22645,299,4.68946
2,bc,701,613,1.87485,289,4.53262
2,nova,376,343,1.04906,154,2.41531
2,hospital,859,809,2.47431,587,9.2064
3,pandemic,4830,4663,14.26168,2380,37.32748
3,people,3503,3118,9.53633,1758,27.57215
3,mask,1313,1141,3.48972,819,12.84504
3,time,1565,1462,4.47149,1097,17.20514
3,know,1042,991,3.03095,765,11.99812
3,lockdown,1210,1095,3.34903,679,10.64931
3,year,1380,1218,3.72523,909,14.25659
3,want,991,890,2.72205,707,11.08846
3,life,782,744,2.27551,591,9.26913
3,think,599,571,1.74639,482,7.5596
3,trump,529,468,1.43137,355,5.56775
3,lab,688,607,1.8565,424,6.64994
3,wuhan,727,692,2.11647,452,7.08908
3,right,785,745,2.27857,585,9.17503
3,going,642,603,1.84426,503,7.88896
4,vaccinated,1976,1811,5.5389,1204,18.88331
4,variant,1411,1319,4.03413,881,13.81744
4,delta,1232,1131,3.45914,749,11.74718
4,fully,975,933,2.85356,737,11.55897
4,people,3503,3118,9.53633,1758,27.57215
4,outbreak,729,682,2.08588,527,8.26537
4,positive,517,480,1.46807,384,6.02258
4,uk,484,459,1.40384,322,5.05019
4,test,775,696,2.1287,516,8.09285
4,say,1530,1462,4.47149,995,15.6054
4,hospital,859,809,2.47431,587,9.2064
4,study,469,436,1.3335,351,5.50502
4,unvaccinated,291,271,0.82885,237,3.71706
4,le,812,627,1.91767,413,6.47742
4,infection,387,365,1.11634,301,4.72083
5,canada,2669,2426,7.41987,1346,21.11041
5,cdnpoli,1117,1114,3.40714,663,10.39837
5,canadian,1385,1262,3.8598,892,13.98996
5,trudeau,659,595,1.81979,419,6.57152
5,end,794,741,2.26633,585,9.17503
5,minister,436,415,1.26927,329,5.15997
5,pm,458,406,1.24174,322,5.05019
5,leader,494,455,1.39161,366,5.74028
5,government,1138,1078,3.29704,770,12.07654
5,vaccine,6023,4982,15.23734,2258,35.41405
5,restriction,709,687,2.10117,545,8.54768
5,g7,374,355,1.08576,272,4.266
5,travel,350,338,1.03377,293,4.59536
5,justintrudeau,305,305,0.93284,246,3.85822
5,july,482,455,1.39161,383,6.0069
