Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,4507,8.72604,2111,29.22204
2,3228,6.24976,1433,19.83666
3,2552,4.94095,1439,19.91971
4,3950,7.64763,2086,28.87597
5,2248,4.35237,1283,17.76024
6,2592,5.01839,1514,20.95792
7,2369,4.58664,1466,20.29347
8,2210,4.2788,1338,18.52159
9,2006,3.88383,896,12.4031
10,2321,4.49371,1263,17.48339
11,2491,4.82285,1517,20.99945
12,2111,4.08712,1186,16.4175
13,1985,3.84318,1068,14.78405
14,2443,4.72991,1354,18.74308
15,2372,4.59245,1342,18.57697
16,3529,6.83253,1517,20.99945
17,1743,3.37464,1067,14.77021
18,1992,3.85673,1196,16.55592
19,2543,4.92352,1425,19.72591
20,2458,4.75895,1365,18.89535
