Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
vaccine,9816,8225,15.92449,3052,42.24806
pandemic,7100,6829,13.22168,2939,40.68383
people,6636,5882,11.38819,2550,35.299
case,5883,4709,9.11713,1975,27.33942
vaccinated,5104,4535,8.78025,2098,29.04208
get,4841,4280,8.28654,2105,29.13898
new,4645,3931,7.61084,1924,26.63344
health,3602,3308,6.40465,1793,24.82004
one,3296,3039,5.88383,1800,24.91694
vaccination,3235,2955,5.7212,1630,22.56368
death,3190,2792,5.40561,1473,20.39037
mask,2922,2480,4.80155,1374,19.01993
say,2887,2726,5.27783,1556,21.53931
de,2645,1160,2.24589,364,5.03876
canada,2608,2353,4.55566,1355,18.75692
time,2374,2238,4.33301,1456,20.15504
unvaccinated,2340,2159,4.18006,1269,17.56645
need,2278,2158,4.17812,1370,18.96456
ontario,2270,2150,4.16263,1107,15.32392
day,2167,1911,3.6999,1213,16.79125
government,1982,1840,3.56244,1125,15.57309
year,1959,1848,3.57793,1217,16.84662
week,1934,1788,3.46176,1142,15.80842
still,1877,1718,3.32623,1160,16.05759
today,1826,1788,3.46176,1161,16.07143
u,1822,1679,3.25073,1174,16.25138
variant,1816,1672,3.23717,1068,14.78405
know,1777,1678,3.24879,1141,15.79457
US,1761,1609,3.1152,975,13.49668
public,1759,1662,3.21781,1098,15.19934
right,1749,1587,3.0726,1046,14.47951
many,1745,1651,3.19652,1131,15.65615
want,1744,1632,3.15973,1138,15.75305
would,1700,1559,3.01839,1061,14.68715
delta,1667,1588,3.07454,953,13.19214
lockdown,1625,1488,2.88093,892,12.34773
fully,1591,1538,2.97773,1070,14.81174
last,1585,1541,2.98354,1085,15.01938
life,1542,1460,2.82672,1010,13.98117
make,1535,1482,2.86931,1048,14.5072
2,1533,1384,2.67957,981,13.57973
country,1528,1433,2.77444,1009,13.96733
first,1525,1440,2.788,1045,14.46567
july,1521,1222,2.36592,761,10.53433
hospital,1507,1376,2.66409,908,12.56921
1,1505,1402,2.71442,980,13.56589
test,1480,1327,2.56922,931,12.8876
said,1474,1387,2.68538,948,13.12292
state,1462,1322,2.55954,836,11.57254
million,1457,1280,2.47822,914,12.65227
care,1454,1358,2.62924,918,12.70764
go,1445,1407,2.7241,1033,14.29956
even,1444,1394,2.69894,972,13.45515
canadian,1441,1346,2.606,943,13.05371
back,1439,1379,2.66989,1009,13.96733
worker,1432,1263,2.4453,816,11.29568
news,1424,1326,2.56728,863,11.94629
work,1400,1318,2.55179,976,13.51052
child,1397,1200,2.32333,790,10.93577
going,1376,1300,2.51694,904,12.51384
12,1359,1271,2.46079,825,11.42027
virus,1358,1274,2.4666,873,12.08472
see,1357,1301,2.51888,944,13.06755
month,1349,1322,2.55954,950,13.15061
world,1345,1274,2.4666,913,12.63843
school,1345,1129,2.18587,758,10.4928
dose,1328,1067,2.06583,697,9.64839
home,1321,1239,2.39884,895,12.38926
dos,1299,1147,2.22072,757,10.47896
getting,1274,1220,2.36205,903,12.5
think,1266,1217,2.35624,889,12.3062
patient,1251,1165,2.25557,804,11.12957
take,1249,1211,2.34463,915,12.66611
died,1241,1120,2.16844,763,10.56202
report,1226,1138,2.20329,762,10.54817
number,1223,1141,2.2091,767,10.61739
could,1217,1146,2.21878,829,11.47564
since,1182,1145,2.21684,813,11.25415
le,1167,940,1.81994,558,7.72425
much,1148,1067,2.06583,829,11.47564
risk,1140,1041,2.01549,728,10.07752
way,1109,1073,2.07744,836,11.57254
also,1106,1095,2.12004,815,11.28184
well,1095,1023,1.98064,788,10.90808
every,1082,1025,1.98451,790,10.93577
dr,1080,1002,1.93998,700,9.68992
cdnpoli,1079,1077,2.08519,656,9.08084
rate,1076,994,1.92449,727,10.06368
two,1074,1038,2.00968,785,10.86656
business,1065,968,1.87415,718,9.93909
3,1039,1006,1.94773,769,10.64507
shot,1035,957,1.85286,743,10.28516
via,1033,1032,1.99806,626,8.66556
good,1023,975,1.88771,781,10.81118
family,1023,926,1.79284,700,9.68992
got,1017,957,1.85286,745,10.31285
kid,1015,879,1.70184,654,9.05316
keep,1003,949,1.83737,724,10.02215
spread,993,954,1.84705,706,9.77298
help,993,955,1.84898,734,10.16058
healthcare,990,879,1.70184,587,8.12569
province,986,950,1.8393,665,9.20543
please,982,916,1.77348,725,10.03599
infection,981,900,1.7425,643,8.90089
never,979,919,1.77928,683,9.4546
wear,969,909,1.75992,669,9.2608
end,958,892,1.72701,715,9.89756
medical,957,922,1.78509,687,9.50997
alberta,953,889,1.7212,497,6.87984
bc,952,885,1.71346,467,6.46456
florida,941,843,1.63214,487,6.74142
positive,936,897,1.73669,652,9.02547
onpoli,926,926,1.79284,547,7.57198
medium,925,874,1.69216,648,8.9701
everyone,923,875,1.69409,692,9.57918
cdc,920,855,1.65537,581,8.04264
thing,911,886,1.71539,693,9.59302
restriction,900,863,1.67086,650,8.99779
safe,896,797,1.54308,635,8.79014
trump,889,792,1.5334,523,7.23976
data,880,796,1.54114,582,8.05648
show,875,861,1.66699,664,9.19158
american,871,830,1.60697,596,8.25028
due,857,831,1.60891,647,8.95626
nurse,841,750,1.45208,508,7.03212
may,838,815,1.57793,630,8.72093
long,832,793,1.53533,598,8.27796
pay,827,687,1.33011,537,7.43355
support,819,769,1.48887,597,8.26412
ford,814,750,1.45208,434,6.00775
outbreak,810,737,1.42691,556,7.69657
really,804,768,1.48693,625,8.65172
official,804,773,1.49661,577,7.98726
made,804,791,1.53146,639,8.84551
