Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,42262,12.74856,8146,60.28269
2,23292,7.02616,3949,29.22371
3,28159,8.49432,5423,40.13173
4,21426,6.46327,4224,31.25879
5,28720,8.66355,5823,43.09184
6,17210,5.19149,3899,28.8537
7,15049,4.53961,3006,22.24525
8,18769,5.66177,3592,26.58181
9,17682,5.33387,5341,39.5249
10,20738,6.25573,5110,37.81544
11,18037,5.44096,4858,35.95057
12,19896,6.00174,5041,37.30482
13,24523,7.3975,4646,34.38171
14,20275,6.11606,5429,40.17613
15,15466,4.6654,4734,35.03293
