Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,trump,37457,31590,3811
1,know,5867,5344,2402
1,time,6854,6480,2870
1,make,4523,4437,2166
1,read,1868,1846,1285
1,need,7018,6492,2618
1,right,3768,3532,1936
1,america,3680,3495,1750
1,real,2447,2252,1385
1,plan,3036,2781,1609
1,thing,3553,3455,1984
1,problem,1958,1910,1216
1,want,4889,4385,2126
1,cdc,10095,9118,2553
1,deal,1543,1470,1043
2,case,26212,20672,3999
2,new,15272,13276,3468
2,report,5423,5262,1862
2,confirmed,5373,4972,1901
2,breaking,7053,7049,2424
2,death,10024,8507,2667
2,number,5226,4580,1977
2,total,2917,2692,1162
2,korea,4817,4589,1772
2,ontario,2213,2068,1104
2,italy,4076,3836,1686
2,update,3572,3453,1525
2,south,5145,4966,1869
2,reported,3417,3225,1590
2,iran,10018,8264,2557
3,hoax,12526,9243,2253
3,trump,37457,31590,3811
3,democrat,5987,5354,1804
3,called,2847,2674,1512
3,believe,2712,2641,1485
3,rally,2345,2198,1117
3,medium,4246,4023,1852
3,lie,2126,1927,1082
3,donald,2486,2444,1148
3,word,1684,1664,1053
3,remember,1309,1262,991
3,calling,1630,1458,974
3,realdonaldtrump,8368,8268,2154
3,dems,1648,1502,926
3,new,15272,13276,3468
4,state,10090,9217,2810
4,washington,4360,4188,1753
4,death,10024,8507,2667
4,official,7793,7609,2711
4,died,3881,3676,1774
4,united,2376,2286,1397
4,woman,3352,3203,1671
4,person,3225,2909,1607
4,man,3634,3489,1832
4,health,17715,16107,4187
4,said,8147,7375,2566
4,department,1579,1357,904
4,emergency,2729,2599,1441
4,50,1720,1701,1082
4,say,15073,13702,3964
5,china,31177,27861,5196
5,chinese,5084,4657,1859
5,wuhan,5204,4902,1760
5,hong,1421,1302,619
5,amid,1904,1896,1087
5,kong,1336,1234,592
5,communist,1124,1076,626
5,india,1139,1032,720
5,ccp,1023,870,283
5,street,938,894,612
5,beijing,881,835,447
5,supply,1868,1735,1019
5,image,629,614,533
5,russia,1376,1118,834
5,pollution,521,512,444
6,people,22072,19523,4632
6,test,7245,6016,1980
6,testing,5112,4326,1660
6,tested,5206,4673,2042
6,patient,7120,6424,2344
6,sick,4019,3390,1991
6,mask,2700,2235,1336
6,hospital,4046,3654,1709
6,care,4444,4006,2002
6,healthcare,2278,1957,1326
6,home,4107,3941,2027
6,positive,3892,3754,1697
6,day,6892,6430,2708
6,symptom,2375,2260,1339
6,quarantine,2904,2782,1431
7,health,17715,16107,4187
7,public,8252,7738,2876
7,say,15073,13702,3964
7,worker,2664,2430,1328
7,official,7793,7609,2711
7,minister,1948,1785,1097
7,concern,2038,1937,1198
7,medical,3494,3330,1654
7,outbreak,13118,12719,3645
7,federal,2120,2090,1346
7,world,6909,6552,2827
7,agency,1258,1165,856
7,risk,4644,4386,2174
7,whistleblower,1013,865,575
7,organization,941,917,639
8,iran,10018,8264,2557
8,japan,3131,2967,1468
8,ship,2186,2035,1011
8,cruise,1976,1907,907
8,passenger,1744,1651,954
8,school,2362,2101,1162
8,infected,5042,4464,1956
8,diamond,1536,1404,802
8,member,1482,1428,978
8,iranian,1419,1346,673
8,princess,1292,1275,710
8,city,2576,2423,1252
8,korea,4817,4589,1772
8,cdc,10095,9118,2553
8,italy,4076,3836,1686
9,market,4502,4155,1917
9,trump,37457,31590,3811
9,stock,3335,3121,1613
9,president,10201,8925,2569
9,conference,2670,2574,1373
9,press,3278,3076,1546
9,protect,2482,2419,1525
9,american,9907,9351,2780
9,panic,2203,2097,1310
9,people,22072,19523,4632
9,high,1875,1602,1093
9,medium,4246,4023,1852
9,point,2597,2447,1503
9,open,1460,1441,1045
9,political,2185,2131,1260
10,epidemic,3913,3815,1915
10,help,3083,2963,1621
10,virus,15538,14388,4249
10,pandemic,8157,7763,2717
10,spread,9883,9602,3329
10,outbreak,13118,12719,3645
10,hand,4633,3705,2123
10,global,4441,4252,2092
10,fear,4015,3866,1992
10,need,7018,6492,2618
10,prepare,1471,1422,999
10,cause,1863,1761,1233
10,wash,1158,1018,758
10,contain,1525,1516,992
10,yes,814,797,669
11,flu,4944,4030,1969
11,say,15073,13702,3964
11,going,5098,4646,2246
11,people,22072,19523,4632
11,die,2580,2241,1358
11,million,4031,3684,1875
11,think,5125,4838,2197
11,good,3837,3710,2141
11,kill,2028,1901,1253
11,year,4639,4278,2218
11,virus,15538,14388,4249
11,bad,2405,2293,1466
11,want,4889,4385,2126
11,rate,2814,2401,1366
11,end,1723,1631,1128
12,penny,7234,6442,1886
12,mike,3700,3582,1629
12,work,4595,4455,2334
12,charge,2403,2308,1133
12,live,2376,2311,1428
12,vp,2497,2428,1255
12,science,1952,1885,1145
12,effort,1826,1801,1186
12,told,2692,2340,1348
12,watch,1586,1552,1003
12,went,1509,1483,1115
12,response,7908,7587,2486
12,history,1744,1729,1278
12,illness,1227,1213,937
12,hiv,1237,1110,680
13,spread,9883,9602,3329
13,virus,15538,14388,4249
13,spreading,3102,3082,1756
13,cdc,10095,9118,2553
13,covid2019,1599,1569,656
13,prevent,1757,1705,1200
13,youtube,945,929,333
13,measure,1462,1437,988
13,possible,1640,1610,1082
13,worry,1123,1112,858
13,news,5929,5549,2376
13,folk,1236,1227,961
13,coronavirusoutbreak,2622,2620,994
13,thread,1072,1039,691
13,disease,5618,5218,2383
14,canada,7688,6989,2859
14,travel,4520,3991,1973
14,canadian,3465,3019,1614
14,trudeau,2774,2548,1121
14,realdonaldtrump,8368,8268,2154
14,china,31177,27861,5196
14,border,3121,2753,1491
14,flight,2475,2350,1303
14,coming,2602,2502,1541
14,country,9930,9009,3279
14,ban,1608,1520,1000
14,cdnpoli,2071,2067,935
14,long,1666,1516,1075
14,president,10201,8925,2569
14,restriction,976,963,690
