Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,18878,10.50856,4585,44.54484
2,15489,8.62205,3124,30.35072
3,10500,5.84489,2676,25.99825
4,7328,4.07918,2403,23.34596
5,19096,10.62991,4206,40.86272
6,11703,6.51455,3497,33.97455
7,11030,6.13992,3859,37.4915
8,12355,6.87749,3215,31.23482
9,9983,5.5571,3196,31.05023
10,10318,5.74358,3899,37.88011
11,12966,7.21761,4178,40.59069
12,8081,4.49834,2849,27.67901
13,11904,6.62644,3723,36.17021
14,9756,5.43074,3393,32.96415
15,10257,5.70963,2989,29.03915
