Tweet ID,Weight,Total Times Tweeted,Tweet Text
1377269692423929858,0.07718,1,"Ontario reports 2,333 new cases of COVID-19, with 52,532 tests completed

Local Highs: Toronto 785, Peel 433, York 222, Hamilton 153, Ottawa 124, Durham 120 

Cases: 349,903
Resolved: 322,382 +1,973
Deaths: 7,366 +15
Hospitalizations: 1,111 +21
ICU: 396 +9
https://t.co/FBbvg8oOfb https://t.co/g0qRLHYHSo"
1377269742893998090,0.07718,1,"Ontario reports 2,333 new cases of COVID-19, with 52,532 tests completed

Local Highs: Toronto 785, Peel 433, York 222, Hamilton 153, Ottawa 124, Durham 120 

Cases: 349,903
Resolved: 322,382 +1,973
Deaths: 7,366 +15
Hospitalizations: 1,111 +21
ICU: 396 +9
https://t.co/t78efVXPmq https://t.co/6OUZY6OrJR"
1377269770236608523,0.07718,1,"Ontario reports 2,333 new cases of COVID-19, with 52,532 tests completed

Local Highs: Toronto 785, Peel 433, York 222, Hamilton 153, Ottawa 124, Durham 120 

Cases: 349,903
Resolved: 322,382 +1,973
Deaths: 7,366 +15
Hospitalizations: 1,111 +21
ICU: 396 +9
https://t.co/RdOdgo5tAb https://t.co/NLjGBiKvi4"
1377269826146668547,0.07718,1,"Ontario reports 2,333 new cases of COVID-19, with 52,532 tests completed

Local Highs: Toronto 785, Peel 433, York 222, Hamilton 153, Ottawa 124, Durham 120 

Cases: 349,903
Resolved: 322,382 +1,973
Deaths: 7,366 +15
Hospitalizations: 1,111 +21
ICU: 396 +9
https://t.co/38YXPo82uN https://t.co/wO0F8aFStr"
1377270127998160902,0.07718,1,"Ontario reports 2,333 new cases of COVID-19, with 52,532 tests completed

Local Highs: Toronto 785, Peel 433, York 222, Hamilton 153, Ottawa 124, Durham 120 

Cases: 349,903
Resolved: 322,382 +1,973
Deaths: 7,366 +15
Hospitalizations: 1,111 +21
ICU: 396 +9
https://t.co/zzJcxZpVSf https://t.co/0PlMDC0gw2"
1377270184273182720,0.07718,1,"Ontario reports 2,333 new cases of COVID-19, with 52,532 tests completed

Local Highs: Toronto 785, Peel 433, York 222, Hamilton 153, Ottawa 124, Durham 120 

Cases: 349,903
Resolved: 322,382 +1,973
Deaths: 7,366 +15
Hospitalizations: 1,111 +21
ICU: 396 +9
https://t.co/xqRX45YX40 https://t.co/orgCUfGgIc"
1377312892270313474,0.07112,2,"MB #covid19 update Mar. 31, 2021:
1 new death
71 new cases
1,181 active
63 active covid in hosp, 83 w/o
12 active covid in ICU, 16 w/o
267 total VOC cases-17 new
  232 B117
  20 B1.351
  15 not yet categorized
34,122 tot cases
935 tot deaths
TPR: MB 3.8% WPG 3.3%
@ctvwinnipeg"
1377066291228516352,0.071,3,"#COVID19 stats #BC Tues. Mar. 30th

Deaths 1455(0)
Cases 99,035(+840)

Hospitalized 312
ICU 78

Active 7062
Isolated 11,164
Recovered 90,401(91.3%)

Care homes 3
Acute 9

Vaccines 724,193(+25,101)
87,319 2nd dose

Tests 2,182,821(+7579)

Positive rate BC 11%  Fraser Health 13.4%"
1377263667700502528,0.06891,19,"Ontario is reporting 2,333 cases of #COVID19 and over 52,500 tests completed. Locally, there are 785 new cases in Toronto, 433 in Peel, 222 in York Region, 153 in Hamilton, 124 in Ottawa and 120 in Durham."
1377281255843241992,0.0681,5,"NEW: #Ottawa reports 1 new death, 1,233 active confirmed cases of #COVID19.
 
New: 117 (17,294)
Newly resolved: 68 (15,597)
7-Day Avg. of New Cases per Day: 130.6 (🔼)

Hospitalizations: 40, 11 in ICU (-2 in ICU)
Deaths: 464 (+1)
7-day average test positivity: 5.9% (🔼)
#ottnews"
1377267444469927938,0.06788,3,"Ontario reporting 2333 new COVID-19 cases today, for a total of 349903. 20155 total active cases today, a change of +345 or +1.74%. There are 15 new deaths, bringing the total to 7366. 52532 tests completed, with 40446 pending. Positivity 4.8%. https://t.co/X5hyMeBgRk https://t.co/huwnJE7MQS"
1377374944158347266,0.06659,3,"Wednesday's #COVID19AB numbers

*+871 new cases (148,332 total)
*8,350 active cases (7-day rolling ave =7735x)
*301 in hospital inc 63 in ICU
*+3 deaths (1,990 total)
*13.7K tests / 6.52% positivity

More 📊s here ⬇️
https://t.co/GT9tT4Pftw https://t.co/K257iMNWeh"
1377374830643712003,0.06638,7,"Alberta's COVID-19 numbers for today (Mar 31):
-871 new cases.
-8,350 active
-406 more variant cases identified today (new record)***
-2,660 active variant cases. (VoCs now acct for 31.9% of all active)
-3 more deaths. Total: 1,990
-301 in hospital with 63 in icu
-13,739 tests"
1377374289532350466,0.06629,11,"Here are the latest COVID-19 data for Alberta:

• 896 new cases (871 net w/adjustments to past days).
• 8,350 active cases.
• 301 patients in hospital, incl. 63 in ICU.
• 3 more deaths. 1,990 total.

More charts &amp; context: https://t.co/3dbTqmZSis https://t.co/I6HUMaAa70"
1377405240324984838,0.06616,2,"#BREAKING: Latest #COVID19 update in B.C. 

- Record breaking 1,013 new cases today 
- 100,048 total cases 
- 3,321 (+47) in Island Health region
- 3 new deaths, death toll is 1,458
- 301 (-11)  in hospital, 80 (+2) in ICU
- Recovered: 91,066

@CapitalDailyVic
#COVID19BC"
