Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,case,51084,40520,10.73662,7142,42.47146
1,new,36997,31829,8.43376,6830,40.61608
1,state,18826,17290,4.58135,4416,26.2607
1,day,22945,19911,5.27583,6054,36.00143
1,florida,10846,9784,2.59247,3003,17.85799
1,number,12586,11713,3.1036,4407,26.20718
1,record,8333,7959,2.1089,2958,17.59039
1,death,26562,22242,5.89348,5630,33.48002
1,report,8063,7829,2.07446,3485,20.72431
1,texas,6836,6266,1.66031,2378,14.14129
1,reported,6152,5561,1.4735,2636,15.67555
1,daily,5425,5223,1.38394,2608,15.50904
1,total,6171,5286,1.40064,2663,15.83611
1,today,14966,14141,3.74695,5173,30.76237
1,surge,4100,4046,1.07207,1916,11.39391
2,mask,44584,36633,9.70668,7662,45.56375
2,wear,22773,20365,5.39613,5821,34.61584
2,stay,7830,7388,1.9576,3845,22.86513
2,wearing,7617,7081,1.87626,3497,20.79567
2,face,7429,7049,1.86778,3524,20.95623
2,people,40844,36138,9.57552,7809,46.43792
2,good,8311,8034,2.12878,4142,24.6313
2,hand,4513,4332,1.14785,2611,15.52688
2,want,12346,11239,2.97801,4559,27.11108
2,think,10534,9907,2.62507,4377,26.02878
2,make,10889,10385,2.75172,4657,27.69386
2,protect,4856,4407,1.16773,2483,14.7657
2,home,12723,11918,3.15792,4916,29.23406
2,safe,5777,5421,1.43641,3089,18.36941
2,thing,8038,7557,2.00238,3793,22.5559
3,pandemic,54048,52507,13.91282,9403,55.91698
3,job,7431,6713,1.77875,3383,20.11775
3,global,5787,5586,1.48013,3049,18.13154
3,economy,6406,6114,1.62003,3078,18.304
3,going,11679,11169,2.95946,4708,27.99715
3,crisis,5591,5380,1.42554,2829,16.82326
3,need,15153,13842,3.66773,5335,31.72574
3,time,16953,16179,4.28696,6151,36.57826
3,way,9179,8888,2.35506,4315,25.66009
3,country,14535,13788,3.65342,4722,28.0804
3,year,9426,8779,2.32618,4358,25.91579
3,leader,3480,3326,0.88129,1971,11.72098
3,middle,3196,3160,0.83731,1772,10.53758
3,end,4898,4673,1.23821,2710,16.1156
3,worst,3493,3417,0.90541,2069,12.30376
4,trump,49477,42499,11.261,4729,28.12203
4,president,13475,12481,3.3071,3389,20.15343
4,rally,5542,5156,1.36619,2092,12.44053
4,house,4959,4772,1.26444,2162,12.8568
4,white,5473,5199,1.37758,2234,13.28497
4,donald,4622,4513,1.19581,1752,10.41865
4,penny,3510,3384,0.89666,1489,8.85466
4,testing,11537,10460,2.7716,3895,23.16246
4,event,3393,3148,0.83413,1825,10.85276
4,tulsa,2655,2485,0.65845,1149,6.83278
4,administration,3665,3639,0.96423,1623,9.65152
4,campaign,3133,2952,0.78219,1515,9.00928
4,failure,3037,2791,0.73953,1624,9.65747
4,failed,3136,2792,0.7398,1637,9.73478
4,hoax,2391,1849,0.48993,1139,6.77331
5,positive,12306,11418,3.02544,4097,24.3637
5,test,11198,9507,2.51908,3849,22.88892
5,tested,8385,7029,1.86248,3280,19.50523
5,hospital,8621,7781,2.06174,3447,20.49833
5,patient,7780,7152,1.89507,3277,19.48739
5,party,4582,4344,1.15103,2484,14.77165
5,people,40844,36138,9.57552,7809,46.43792
5,symptom,3198,3045,0.80684,1972,11.72693
5,day,22945,19911,5.27583,6054,36.00143
5,week,11360,10536,2.79173,4246,25.24976
5,result,3530,3396,0.89984,2237,13.30281
5,staff,3394,3163,0.8381,2095,12.45837
5,got,5414,5194,1.37626,2950,17.54282
5,testing,11537,10460,2.7716,3895,23.16246
5,contact,2549,2379,0.63037,1557,9.25904
6,death,26562,22242,5.89348,5630,33.48002
6,news,11178,10435,2.76497,4148,24.66698
6,world,12885,11683,3.09565,4611,27.42031
6,china,9774,8358,2.21463,3278,19.49334
6,medium,6143,5782,1.53206,2726,16.21075
6,rate,8206,7488,1.9841,3208,19.07707
6,virus,20580,18866,4.99894,5454,32.4334
6,flu,4728,4227,1.12003,2369,14.08777
6,study,4382,4075,1.07976,2165,12.87464
6,cdc,4409,4148,1.0991,1988,11.82207
6,treatment,3111,2980,0.78961,1954,11.61989
6,hydroxychloroquine,2360,2270,0.60148,1179,7.01118
6,called,3117,3038,0.80498,2075,12.33944
