Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,case,51084,40520,7142
1,new,36997,31829,6830
1,state,18826,17290,4416
1,day,22945,19911,6054
1,florida,10846,9784,3003
1,number,12586,11713,4407
1,record,8333,7959,2958
1,death,26562,22242,5630
1,report,8063,7829,3485
1,texas,6836,6266,2378
1,reported,6152,5561,2636
1,daily,5425,5223,2608
1,total,6171,5286,2663
1,today,14966,14141,5173
1,surge,4100,4046,1916
2,mask,44584,36633,7662
2,wear,22773,20365,5821
2,stay,7830,7388,3845
2,wearing,7617,7081,3497
2,face,7429,7049,3524
2,people,40844,36138,7809
2,good,8311,8034,4142
2,hand,4513,4332,2611
2,want,12346,11239,4559
2,think,10534,9907,4377
2,make,10889,10385,4657
2,protect,4856,4407,2483
2,home,12723,11918,4916
2,safe,5777,5421,3089
2,thing,8038,7557,3793
3,pandemic,54048,52507,9403
3,job,7431,6713,3383
3,global,5787,5586,3049
3,economy,6406,6114,3078
3,going,11679,11169,4708
3,crisis,5591,5380,2829
3,need,15153,13842,5335
3,time,16953,16179,6151
3,way,9179,8888,4315
3,country,14535,13788,4722
3,year,9426,8779,4358
3,leader,3480,3326,1971
3,middle,3196,3160,1772
3,end,4898,4673,2710
3,worst,3493,3417,2069
4,trump,49477,42499,4729
4,president,13475,12481,3389
4,rally,5542,5156,2092
4,house,4959,4772,2162
4,white,5473,5199,2234
4,donald,4622,4513,1752
4,penny,3510,3384,1489
4,testing,11537,10460,3895
4,event,3393,3148,1825
4,tulsa,2655,2485,1149
4,administration,3665,3639,1623
4,campaign,3133,2952,1515
4,failure,3037,2791,1624
4,failed,3136,2792,1637
4,hoax,2391,1849,1139
5,positive,12306,11418,4097
5,test,11198,9507,3849
5,tested,8385,7029,3280
5,hospital,8621,7781,3447
5,patient,7780,7152,3277
5,party,4582,4344,2484
5,people,40844,36138,7809
5,symptom,3198,3045,1972
5,day,22945,19911,6054
5,week,11360,10536,4246
5,result,3530,3396,2237
5,staff,3394,3163,2095
5,got,5414,5194,2950
5,testing,11537,10460,3895
5,contact,2549,2379,1557
6,death,26562,22242,5630
6,news,11178,10435,4148
6,world,12885,11683,4611
6,china,9774,8358,3278
6,medium,6143,5782,2726
6,rate,8206,7488,3208
6,virus,20580,18866,5454
6,flu,4728,4227,2369
6,study,4382,4075,2165
6,cdc,4409,4148,1988
6,treatment,3111,2980,1954
6,hydroxychloroquine,2360,2270,1179
6,called,3117,3038,2075
6,usa,3592,3337,1839
6,fake,2152,1961,1195
7,american,22306,19892,4308
7,people,40844,36138,7809
7,realdonaldtrump,11698,11361,2809
7,million,12387,10980,4053
7,died,8195,7578,3335
7,life,12213,11294,4491
7,die,4805,4504,2325
7,dead,4630,4235,2091
7,kill,3560,3276,1821
7,vote,3946,3584,1924
7,stupid,2796,2320,1458
7,america,9261,8696,3375
7,black,3044,2762,1762
7,believe,3811,3600,2238
7,killed,3150,2815,1702
8,canada,19708,17977,6154
8,canadian,9361,8710,3815
8,cdnpoli,7714,7713,2581
8,trudeau,7548,6719,2337
8,border,4611,4215,2497
8,le,7494,6105,2743
8,justintrudeau,2775,2744,1399
8,program,3026,2773,1785
8,et,3608,2746,881
8,pm,2756,2487,1561
8,thread,2513,2482,1554
8,minister,3018,2892,1743
8,closed,2833,2771,1952
8,lie,4629,3827,2231
8,disaster,1603,1591,1238
9,virus,20580,18866,5454
9,lockdown,8175,7762,3445
9,spread,10882,10236,4276
9,vaccine,6024,5155,2635
9,dr,6701,6316,3033
9,expert,4918,4748,2539
9,fauci,4492,4146,1959
9,protest,3756,3286,1926
9,say,19581,18575,5561
9,science,3941,3516,2071
9,travel,3598,3316,2108
9,close,3756,3615,2183
9,bar,2990,2756,1676
9,need,15153,13842,5335
9,china,9774,8358,3278
10,distancing,9517,9296,4143
10,health,22229,20672,6323
10,social,10990,10657,4521
10,public,13288,12514,4837
10,worker,7763,6722,3097
10,ontario,6959,6473,2559
10,community,4692,4465,2567
10,toronto,4720,4367,2210
10,pandemic,54048,52507,9403
10,important,3240,3168,2099
10,care,13183,11779,4620
10,child,5365,4810,2530
10,support,5766,5380,3091
10,bc,3901,3520,1580
10,city,5834,5321,2848
