Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,25936,6.78754,7584,45.85248
2,20303,5.31336,5171,31.2636
3,20247,5.29871,6479,39.1717
4,24654,6.45204,5436,32.86578
5,16485,4.31418,3515,21.25151
6,17339,4.53767,4756,28.75453
7,12505,3.2726,5093,30.79202
8,15819,4.13989,5229,31.61427
9,13503,3.53378,4816,29.11729
10,14114,3.69368,4490,27.14631
11,14314,3.74602,4818,29.12938
12,12097,3.16583,4548,27.49698
13,10766,2.8175,2653,16.0399
14,13629,3.56676,4635,28.02297
15,11882,3.10956,4729,28.59129
16,12629,3.30505,4144,25.05441
17,13360,3.49636,5338,32.27328
18,14377,3.76251,4328,26.16687
19,17017,4.45341,4035,24.39541
20,11688,3.05879,4664,28.19831
21,10105,2.64451,4378,26.46917
22,19862,5.19795,4815,29.11125
23,13575,3.55262,5054,30.55623
24,13232,3.46286,5151,31.14268
25,12674,3.31683,4808,29.06892
