Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,pandemic,67544,65463,9883
1,come,6335,6178,3404
1,make,11533,10959,4705
1,best,3637,3550,2344
1,mean,4022,3849,2393
1,believe,3266,3097,1955
1,making,3457,3393,2317
1,important,3940,3812,2413
1,control,3994,3837,2213
1,check,2655,2598,1862
1,lot,3385,3279,2237
1,fear,3244,3078,1728
1,economy,5894,5525,2774
1,hard,2981,2924,1954
1,real,4457,4293,2516
2,case,37546,28012,6326
2,new,33261,28146,6878
2,number,10622,9524,4040
2,report,6736,6567,3033
2,death,26751,22366,5183
2,ontario,9580,8934,3215
2,day,21096,18656,5843
2,reported,4876,4470,2350
2,total,4818,4270,2190
2,bc,6837,6223,2239
2,active,3682,3417,1640
2,today,13507,13000,5006
2,million,14193,12256,4368
2,province,4795,4642,2274
2,daily,3425,3289,1901
3,mask,32494,26670,6880
3,wear,12222,11382,4595
3,face,5744,5327,2872
3,wearing,5346,4953,2824
3,hand,3895,3711,2378
3,mandatory,2897,2753,1563
3,listen,1781,1730,1270
3,wearamask,1498,1470,920
3,reason,3631,3478,2289
3,store,1927,1710,1314
3,share,2426,2350,1718
3,mandate,1736,1662,1129
3,distance,1678,1657,1215
3,required,1471,1432,1111
3,outside,1486,1449,1118
4,school,28464,23559,5643
4,kid,12465,10698,4191
4,student,8752,7251,3023
4,plan,9691,8690,3640
4,teacher,6590,5851,2688
4,class,5729,4978,2328
4,fordnation,4022,3937,1436
4,parent,4315,4034,2235
4,ableg,4101,4084,835
4,staff,4195,3802,2179
4,onpoli,4358,4341,1597
4,open,4627,4314,2658
4,high,3677,3576,2171
4,education,3054,2861,1493
4,ford,2965,2711,1319
5,trump,42736,36152,4482
5,president,11799,11207,3160
5,donald,4497,4435,1768
5,lie,3621,3361,1809
5,said,9855,9031,3728
5,biden,3462,2986,1456
5,claim,2647,2531,1563
5,campaign,2215,2133,1386
5,press,2117,2083,1438
5,joe,1713,1631,983
5,obama,1633,1480,991
5,kamala,1342,1317,928
5,briefing,1341,1259,891
5,administration,2438,2408,1221
5,harris,1372,1356,959
6,death,26751,22366,5183
6,rate,6788,6110,2935
6,study,4325,4024,2088
6,population,3337,3149,2001
6,infection,4389,4185,2272
6,old,2888,2790,1903
6,uk,2815,2549,1377
6,patient,6325,5784,2888
6,infected,2537,2407,1534
6,toll,2143,2061,1254
6,50,2484,2352,1488
6,usa,2837,2710,1631
6,cause,2722,2576,1730
6,age,2603,2356,1597
6,year,13159,12048,4967
7,people,39924,35576,7830
7,getting,4948,4768,2794
7,thank,3852,3653,2312
7,party,5085,4771,2654
7,young,3027,2874,1810
7,instead,2830,2797,1976
7,seriously,1966,1954,1400
7,exposed,1846,1701,1334
7,large,1984,1963,1468
7,message,1644,1609,1253
7,club,2263,1931,1359
7,dying,2853,2661,1731
7,folk,2106,2088,1484
7,bar,1526,1415,1078
7,idiot,1215,1189,920
8,vaccine,12757,10414,3805
8,read,4859,4713,2764
8,big,4860,4685,2759
8,drug,2694,2200,1388
8,article,2422,2365,1457
8,fight,3292,3127,2075
8,russia,1934,1789,1155
8,deal,3254,3092,2025
8,agree,1662,1632,1211
8,free,3134,2913,1953
8,used,3374,3292,2088
8,truth,2591,2487,1417
8,cure,1922,1809,1186
8,trust,1921,1797,1310
8,exactly,1372,1332,1034
9,canada,20058,18068,5485
9,update,5079,5014,2166
9,toronto,4451,4209,2163
9,flight,2227,1984,1231
9,latest,2478,2460,1529
9,border,2959,2788,1789
9,travel,2439,2187,1506
9,alberta,4049,3789,1417
9,event,2226,2053,1478
9,today,13507,13000,5006
9,international,1757,1741,1271
9,vancouver,1585,1416,620
9,visit,1566,1477,1051
9,exposure,1902,1833,1112
9,california,1277,1239,834
10,end,5053,4902,2806
10,pandemic,67544,65463,9883
10,dr,7823,7186,3168
10,fauci,3578,3293,1565
10,hydroxychloroquine,3216,3080,1423
10,flu,5230,4358,2228
10,war,3047,2772,1615
10,say,21180,19928,5673
10,world,11135,10270,4264
10,hcq,3425,2824,979
10,gate,2159,1918,1050
10,ended,2014,1794,1183
10,treatment,2945,2698,1541
10,expert,4403,4131,2313
10,effective,1983,1884,1381
11,week,12202,11255,4532
11,test,11063,9397,3770
11,positive,9533,8933,3632
11,tested,6358,5777,2857
11,day,21096,18656,5843
11,2020,5087,4857,2628
11,zealand,4043,3570,2110
11,result,4430,4215,2508
11,100,5353,5288,2957
11,new,33261,28146,6878
11,quarantine,2316,2233,1417
11,ago,2985,2958,1915
11,florida,3269,2838,1305
11,testing,6896,6229,2893
11,gone,1822,1753,1363
12,health,20880,19018,5761
12,say,21180,19928,5673
12,public,11988,11433,4578
12,official,4985,4744,2478
12,live,4368,4231,2430
12,doctor,5426,5099,2638
12,medical,4810,4647,2492
12,fall,4191,4055,2500
12,fighting,3409,3334,1306
12,dr,7823,7186,3168
12,amid,2593,2573,1465
12,thinking,1843,1734,1365
12,surge,1838,1788,1214
12,warning,1557,1476,1089
12,stigma,1987,1610,120
13,le,8362,6750,2800
13,et,3983,3075,966
13,pour,2592,2139,570
13,plus,2135,1943,1068
13,au,2319,1848,465
13,du,2197,1853,472
13,sur,1589,1291,361
13,statement,1131,1122,848
13,une,1564,1376,426
13,est,1758,1514,571
13,pa,1502,1211,371
13,il,1383,1074,366
13,dans,1295,1151,375
13,ca,1029,825,229
13,qui,1247,1047,357
14,testing,6896,6229,2893
14,pay,4426,4085,2369
14,cut,3904,3689,2027
14,pandemic,67544,65463,9883
14,national,4048,3797,2097
14,security,3048,2849,1478
14,tax,3378,3129,1767
14,white,2931,2825,1590
14,benefit,2968,2902,1674
14,house,4627,4412,2157
14,unemployment,2995,2883,1570
14,contact,2643,2472,1667
14,emergency,2406,2343,1649
14,away,4930,4586,2626
14,million,14193,12256,4368
15,think,9270,8855,4021
15,social,11257,10782,4536
15,distancing,7790,7461,3773
15,medium,6205,5744,2600
15,point,3208,3101,2072
15,wrong,2916,2830,1890
15,isnt,2944,2548,1740
15,didnt,2841,2689,1831
15,word,2068,2037,1502
15,protest,2145,1973,1209
15,head,2080,2065,1540
15,talking,1973,1913,1464
15,ask,2040,1942,1483
15,pandemic,67544,65463,9883
15,politician,2150,2000,1342
16,virus,17560,16035,4929
16,china,7983,6616,2575
16,day,21096,18656,5843
16,america,7716,7304,2954
16,wuhan,2007,1891,1116
16,wonder,1845,1768,1334
16,different,2040,1957,1518
16,course,2043,1990,1459
16,failure,2778,2683,1661
16,chinese,1741,1653,1001
16,spreading,1863,1821,1340
16,blame,1898,1674,1243
16,fucking,1452,1371,986
16,hoax,1507,1328,965
16,country,12859,11977,4417
17,lockdown,9529,8822,3227
17,thing,7915,7582,3772
17,job,8302,7424,3445
17,look,6020,5828,3231
17,way,8529,8168,4059
17,got,5752,5301,3047
17,work,12131,11261,4792
17,second,4276,4161,2387
17,month,10780,10250,4380
17,wave,2332,2209,1485
17,rest,1999,1975,1479
17,took,2342,2262,1608
17,wont,2650,2507,1737
17,looking,2025,1933,1502
17,curve,1838,1627,1085
18,american,17789,16134,3857
18,realdonaldtrump,8240,8054,2366
18,died,9631,8697,3109
18,thousand,4178,4103,2317
18,dead,3310,3118,1756
18,killed,3083,2998,1778
18,joebiden,1936,1908,1028
18,piece,1500,1435,1127
18,criminal,1707,1652,1115
18,kill,3126,2864,1775
