Document ID,Weight,Is Retweet?,Document Text
1255881195793125377,0.05623,Original,"New Ontario #Covid19 cases by day back to 30Mar:
30 Apr 459
29 347
28 525
27 424
26 437
25 476
24 640
23 634
22 510
21 551
20 606
19 568
18 485
17 564
16 514
15 494
14 483
13 421
12 401
11 411
10 478
09 483
08 550
07 379
06 309
05 408
04 375
03 462
02 401
01 426
31 Mar 260
30 351"
1257323654481801226,0.05416,Original,"New Ontario #Covid19 cases by day going back to 4 April:
4 May 370
3 434
2 511
1 421
30 Apr 459
29 347
28 525
27 424
26 437
25 476
24 640
23 634
22 510
21 551
20 606
19 568
18 485
17 564
16 514
15 494
14 483
13 421
12 401
11 411
10 478
09 483
08 550
07 379
06 309
05 408
04 375"
1257441593847689217,0.04066,Retweet,"245 new cases of #COVID19;

76-Lagos
37-Katsina
32-Jigawa
23-Kano
19-FCT
18-Borno
10-Edo
9-Bauchi
6-Adamawa
5-Oyo
5-Ogun
1-Ekiti
1-Osun
1-Benue
1-Niger
1-Zamfara

2802 confirmed cases of #COVID19 in Nigeria
Discharged: 417
Deaths: 93 https://t.co/IkHR3dpcVV"
1257452658618781698,0.04066,Retweet,"245 new cases of #COVID19;

76-Lagos
37-Katsina
32-Jigawa
23-Kano
19-FCT
18-Borno
10-Edo
9-Bauchi
6-Adamawa
5-Oyo
5-Ogun
1-Ekiti
1-Osun
1-Benue
1-Niger
1-Zamfara

2802 confirmed cases of #COVID19 in Nigeria
Discharged: 417
Deaths: 93 https://t.co/IkHR3dpcVV"
1257519923351425030,0.04066,Retweet,"245 new cases of #COVID19;

76-Lagos
37-Katsina
32-Jigawa
23-Kano
19-FCT
18-Borno
10-Edo
9-Bauchi
6-Adamawa
5-Oyo
5-Ogun
1-Ekiti
1-Osun
1-Benue
1-Niger
1-Zamfara

2802 confirmed cases of #COVID19 in Nigeria
Discharged: 417
Deaths: 93 https://t.co/IkHR3dpcVV"
1257559151707934722,0.04066,Retweet,"245 new cases of #COVID19;

76-Lagos
37-Katsina
32-Jigawa
23-Kano
19-FCT
18-Borno
10-Edo
9-Bauchi
6-Adamawa
5-Oyo
5-Ogun
1-Ekiti
1-Osun
1-Benue
1-Niger
1-Zamfara

2802 confirmed cases of #COVID19 in Nigeria
Discharged: 417
Deaths: 93 https://t.co/IkHR3dpcVV"
1257711908364435458,0.04066,Retweet,"245 new cases of #COVID19;

76-Lagos
37-Katsina
32-Jigawa
23-Kano
19-FCT
18-Borno
10-Edo
9-Bauchi
6-Adamawa
5-Oyo
5-Ogun
1-Ekiti
1-Osun
1-Benue
1-Niger
1-Zamfara

2802 confirmed cases of #COVID19 in Nigeria
Discharged: 417
Deaths: 93 https://t.co/IkHR3dpcVV"
1257844431228715009,0.03927,Original,"#COVID19 stats for #BC Tuesday May 5, 2020

Deaths 121 (+4)

Confirmed Cases 2232 (+8)

Hospitalized 78
ICU 21

Recovered 1472 (65.9%)

Care homes 17
Acute care 5

By health region:
Vancouver Coastal 849
Fraser 1031
Island 124
Interior 177
Northern 51

People tested so far 98 199"
1255557135456333824,0.03678,Retweet,"#COVIDー19 in #Ontario by case status:

🟢Resolved: 9612
🔵Active (non-hospitalized): 4143
🔵Hospitalized non-ICU: 742
🔴ICU non-ventilated: 49
🔴ICU+ventilator: 186
⚫️Deceased: 996
Total: 15728 cases

#COVID19 #COVID19ON #covid19Canada #onhealth https://t.co/u4oWuhg2ap"
1255507474121216002,0.03645,Retweet,"Status of #COVID19 in #Ontario [Apr 29 10:30am]: 15728 known cases* (347 new cases, 996 total deaths, 45 new deaths, 9530 results pending)

See thread for more graphs⤵️

#covid19Canada #COVIDー19 #onhealth #COVID_19 #covidontario #COVID19ontario https://t.co/lY9o1eVho5"
1255518572325023748,0.03645,Retweet,"Status of #COVID19 in #Ontario [Apr 29 10:30am]: 15728 known cases* (347 new cases, 996 total deaths, 45 new deaths, 9530 results pending)

See thread for more graphs⤵️

#covid19Canada #COVIDー19 #onhealth #COVID_19 #covidontario #COVID19ontario https://t.co/lY9o1eVho5"
1255529276507656192,0.03645,Retweet,"Status of #COVID19 in #Ontario [Apr 29 10:30am]: 15728 known cases* (347 new cases, 996 total deaths, 45 new deaths, 9530 results pending)

See thread for more graphs⤵️

#covid19Canada #COVIDー19 #onhealth #COVID_19 #covidontario #COVID19ontario https://t.co/lY9o1eVho5"
1255612877555347460,0.03645,Retweet,"Status of #COVID19 in #Ontario [Apr 29 10:30am]: 15728 known cases* (347 new cases, 996 total deaths, 45 new deaths, 9530 results pending)

See thread for more graphs⤵️

#covid19Canada #COVIDー19 #onhealth #COVID_19 #covidontario #COVID19ontario https://t.co/lY9o1eVho5"
1255868994206171143,0.03639,Retweet,"Status of #COVID19 in #Ontario [Apr 30 10:30am]: 16187 known cases* (459 new cases, 1082 total deaths, 86 new deaths, 11859 results pending)

See thread for more graphs⤵️

#covid19Canada #COVIDー19 #onhealth #COVID_19 #covidontario #COVID19ontario https://t.co/utKUhbKiT8"
1255869141384409090,0.03639,Retweet,"Status of #COVID19 in #Ontario [Apr 30 10:30am]: 16187 known cases* (459 new cases, 1082 total deaths, 86 new deaths, 11859 results pending)

See thread for more graphs⤵️

#covid19Canada #COVIDー19 #onhealth #COVID_19 #covidontario #COVID19ontario https://t.co/utKUhbKiT8"
