Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,4205,10.14745,2250,31.45094
2,2795,6.74485,1230,17.19318
3,2801,6.75933,1495,20.8974
4,2466,5.95092,1364,19.06626
5,2383,5.75062,1414,19.76517
6,3543,8.54992,2114,29.5499
7,2809,6.77864,1241,17.34694
8,2476,5.97505,1509,21.09309
9,2299,5.54791,1381,19.30389
10,3125,7.54121,1618,22.61672
11,2007,4.84326,1196,16.71792
12,3375,8.1445,1916,26.78222
13,1893,4.56816,1051,14.69108
14,2861,6.90412,1379,19.27593
15,2401,5.79406,1317,18.40928
