Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,38281,10.54599,7882,56.72952
2,25924,7.14177,4526,32.57521
3,25471,7.01698,4844,34.86397
4,19438,5.35495,5367,38.62818
5,29291,8.06935,6877,49.49619
6,22639,6.23679,4979,35.83561
7,25779,7.10183,4870,35.0511
8,25154,6.92965,5619,40.44192
9,20723,5.70896,5877,42.29883
10,19996,5.50868,3750,26.99007
11,23634,6.51091,4759,34.2522
12,24427,6.72937,5779,41.59349
13,14973,4.1249,2544,18.31006
14,28407,7.82581,4414,31.76911
15,18854,5.19407,5542,39.88772
