Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,40949,8.46216,8010,49.891
2,37925,7.83725,6978,43.4631
3,26247,5.42398,6942,43.23887
4,27311,5.64385,4679,29.14357
5,25523,5.27436,4672,29.09997
6,36257,7.49256,8411,52.38866
7,17334,3.58209,5405,33.66552
8,21759,4.49653,5070,31.57895
9,24595,5.08259,6447,40.15571
10,19054,3.93753,4253,26.49019
11,18504,3.82388,4927,30.68826
12,21334,4.4087,3937,24.52196
13,15821,3.26943,4832,30.09654
14,18286,3.77883,5677,35.3597
15,27776,5.73995,5481,34.1389
16,23211,4.79658,5082,31.65369
17,19374,4.00366,4962,30.90626
18,18622,3.84826,5163,32.15821
19,26036,5.38037,6129,38.17502
20,17989,3.71745,4232,26.35939
