Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,think,13646,12728,4425
1,make,13483,12954,4822
1,thing,9654,9293,4031
1,trump,114433,95870,7114
1,going,13664,13121,4713
1,know,18530,17396,5198
1,really,8644,7914,3696
1,getting,8983,8427,3673
1,way,9083,8724,4042
1,believe,5219,4927,2618
1,lie,5519,4873,2299
1,story,5369,5158,2774
1,mean,6266,6060,3134
1,sure,4548,4497,2614
1,long,5708,5571,3038
2,case,44742,34303,6677
2,new,38317,33118,6930
2,number,11211,10258,4043
2,school,14037,11106,3965
2,death,21903,18754,4885
2,ontario,19512,18016,4032
2,report,8902,8645,3401
2,today,19378,18383,5710
2,toronto,8311,7696,2703
2,rate,6007,5487,2730
2,reported,4940,4516,2282
2,city,4695,4305,2285
2,daily,4276,4112,2237
2,total,4635,4066,2060
2,data,5624,5215,2625
3,mask,37020,31057,6439
3,wear,16118,14837,4834
3,social,8234,8008,3703
3,wearing,6561,6187,2752
3,distancing,6028,5952,3011
3,face,5118,4927,2747
3,hand,5147,4913,2782
3,save,3801,3674,2192
3,love,2842,2745,1885
3,fucking,2850,2744,1702
3,protect,6658,6045,2945
3,stupid,1963,1830,1283
3,distance,2184,2144,1448
3,fuck,1727,1542,1124
3,wearamask,1535,1528,892
4,positive,31903,29959,5479
4,tested,24864,22931,4702
4,hope,8887,8628,3279
4,trump,114433,95870,7114
4,test,31931,27701,5964
4,breaking,11384,11332,3612
4,contact,8122,7510,3127
4,hick,5155,4984,1800
4,event,9982,9260,2922
4,wh,8247,7240,2075
4,quarantine,6091,5872,2663
4,miller,2711,2346,1146
4,president,36499,33477,5011
4,testing,12750,11781,4206
4,morning,4097,4030,2188
5,house,24544,23038,4216
5,white,23653,22285,3946
5,trump,114433,95870,7114
5,donald,11667,11361,3369
5,diagnosis,4363,4301,1977
5,video,4547,4390,2307
5,walter,3585,3525,1656
5,reed,3544,3493,1644
5,president,36499,33477,5011
5,event,9982,9260,2922
5,cure,2705,2423,1454
5,superspreader,3150,3091,1360
5,cnn,3293,3234,1644
5,treatment,6107,5758,2601
5,photo,2607,2450,1468
6,work,12351,11344,4688
6,canadian,10230,9473,3363
6,help,9627,9140,4112
6,business,8319,7450,3602
6,pandemic,53999,52514,9100
6,canada,17070,15129,4768
6,job,8393,7504,3514
6,support,7916,7443,3663
6,trudeau,6848,6096,1998
6,need,20196,18945,5852
6,money,4473,4094,2374
6,thanksgiving,3959,3627,2082
6,safe,6537,5991,3169
6,family,13790,12559,4310
6,pay,5812,5131,2767
7,test,31931,27701,5964
7,result,7965,7577,3328
7,question,5576,5301,2754
7,negative,8215,7780,2624
7,testing,12750,11781,4206
7,thank,3801,3712,2346
7,information,3470,3213,1951
7,free,3772,3580,2209
7,canada,17070,15129,4768
7,wont,4118,3927,2155
7,answer,2500,2424,1584
7,rapid,2467,2327,1518
7,president,36499,33477,5011
7,minute,2253,2198,1527
7,release,2260,2215,1523
8,people,54183,48273,7951
8,president,36499,33477,5011
8,risk,9448,8931,3480
8,america,6177,5845,2307
8,life,17101,15887,4796
8,die,4979,4693,2359
8,infected,8495,8105,3038
8,trump,114433,95870,7114
8,service,6342,6136,3001
8,american,22009,20038,3886
8,thousand,4635,4374,2352
8,secret,4375,4256,1958
8,yes,3342,3170,2001
8,state,10937,10170,3435
8,wish,2762,2673,1748
9,pandemic,53999,52514,9100
9,state,10937,10170,3435
9,fight,3698,3557,2124
9,ableg,3555,3551,841
9,government,14894,13962,4723
9,worker,5801,5191,2665
9,governor,2981,2891,1565
9,global,5204,4890,2629
9,recovery,5469,5043,2745
9,benefit,2234,1840,1280
9,economic,3664,3522,2109
9,alberta,3654,3323,1185
9,giving,2435,2401,1610
9,michigan,1853,1700,1152
9,cdnpoli,9094,9083,2392
10,pandemic,53999,52514,9100
10,vote,10644,9271,2952
10,million,12377,11318,4079
10,graham,4652,4282,1337
10,american,22009,20038,3886
10,administration,5023,4887,2168
10,lindsey,3765,3469,1188
10,woman,4474,4038,2412
10,national,4188,3984,2149
10,trump,114433,95870,7114
10,failed,3837,3372,1891
10,response,9865,9518,3768
10,condition,3452,3218,1731
10,middle,2954,2921,1800
10,trying,4268,4145,2277
11,biden,15908,14050,3314
11,joe,7209,6873,2373
11,trump,114433,95870,7114
11,campaign,9321,8434,2581
11,plan,8393,7494,3357
11,app,4338,3347,1713
11,today,19378,18383,5710
11,alert,3412,3203,1722
11,god,2761,2615,1605
11,florida,3333,3102,1537
11,wrong,3041,2938,1934
11,joebiden,3516,3438,1493
11,debate,15098,13335,3174
11,literally,2067,2044,1373
11,able,2951,2604,1851
12,republican,9001,8557,2408
12,election,7079,6710,2755
12,court,6906,6502,2380
12,relief,6345,5929,2256
12,senate,6879,6193,1919
12,hearing,5610,5088,1910
12,member,6606,6323,2718
12,gop,6175,5815,1807
12,supreme,5042,5022,1903
12,barrett,4657,4533,1705
12,family,13790,12559,4310
12,amy,4118,4079,1698
12,senator,5014,4764,1675
12,democrat,4210,3972,1646
12,coney,3362,3342,1488
13,say,32250,29654,6162
13,dr,10174,9376,3591
13,vaccine,7957,6908,3004
13,doctor,10933,10183,3691
13,fauci,5001,4008,1749
13,word,3269,3182,2045
13,trump,114433,95870,7114
13,taken,3020,2998,1793
