Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,think,13646,12728,2.63026,4425,27.56151
1,make,13483,12954,2.67696,4822,30.03426
1,thing,9654,9293,1.92041,4031,25.10744
1,trump,114433,95870,19.81166,7114,44.31018
1,going,13664,13121,2.71147,4713,29.35534
1,know,18530,17396,3.59491,5198,32.37621
1,really,8644,7914,1.63544,3696,23.02087
1,getting,8983,8427,1.74145,3673,22.87761
1,way,9083,8724,1.80283,4042,25.17596
1,believe,5219,4927,1.01817,2618,16.30645
1,lie,5519,4873,1.00701,2299,14.31953
1,story,5369,5158,1.06591,2774,17.27811
1,mean,6266,6060,1.25231,3134,19.5204
1,sure,4548,4497,0.92931,2614,16.28153
1,long,5708,5571,1.15125,3038,18.92245
2,case,44742,34303,7.08876,6677,41.58829
2,new,38317,33118,6.84388,6930,43.16412
2,number,11211,10258,2.11983,4043,25.18219
2,school,14037,11106,2.29507,3965,24.69636
2,death,21903,18754,3.87554,4885,30.42666
2,ontario,19512,18016,3.72303,4032,25.11367
2,report,8902,8645,1.7865,3401,21.18343
2,today,19378,18383,3.79887,5710,35.56524
2,toronto,8311,7696,1.59039,2703,16.83588
2,rate,6007,5487,1.1339,2730,17.00405
2,reported,4940,4516,0.93324,2282,14.21364
2,city,4695,4305,0.88963,2285,14.23233
2,daily,4276,4112,0.84975,2237,13.93335
2,total,4635,4066,0.84024,2060,12.83089
2,data,5624,5215,1.07769,2625,16.35005
3,mask,37020,31057,6.41797,6439,40.10589
3,wear,16118,14837,3.06609,4834,30.109
3,social,8234,8008,1.65486,3703,23.06447
3,wearing,6561,6187,1.27855,2752,17.14108
3,distancing,6028,5952,1.22999,3011,18.75428
3,face,5118,4927,1.01817,2747,17.10993
3,hand,5147,4913,1.01528,2782,17.32794
3,save,3801,3674,0.75924,2192,13.65307
3,love,2842,2745,0.56726,1885,11.74089
3,fucking,2850,2744,0.56705,1702,10.60106
3,protect,6658,6045,1.24921,2945,18.3432
3,stupid,1963,1830,0.37817,1283,7.99128
3,distance,2184,2144,0.44306,1448,9.019
3,fuck,1727,1542,0.31866,1124,7.00093
3,wearamask,1535,1528,0.31576,892,5.5559
4,positive,31903,29959,6.19107,5479,34.12644
4,tested,24864,22931,4.73872,4702,29.28683
4,hope,8887,8628,1.78299,3279,20.42354
4,trump,114433,95870,19.81166,7114,44.31018
4,test,31931,27701,5.72445,5964,37.14731
4,breaking,11384,11332,2.34177,3612,22.49766
4,contact,8122,7510,1.55195,3127,19.4768
4,hick,5155,4984,1.02995,1800,11.21146
4,event,9982,9260,1.91359,2922,18.19994
4,wh,8247,7240,1.49616,2075,12.92432
4,quarantine,6091,5872,1.21346,2663,16.58673
4,miller,2711,2346,0.4848,1146,7.13796
4,president,36499,33477,6.91806,5011,31.21146
4,testing,12750,11781,2.43456,4206,26.19745
4,morning,4097,4030,0.8328,2188,13.62815
5,house,24544,23038,4.76083,4216,26.25973
5,white,23653,22285,4.60522,3946,24.57801
5,trump,114433,95870,19.81166,7114,44.31018
5,donald,11667,11361,2.34777,3369,20.98412
5,diagnosis,4363,4301,0.88881,1977,12.31392
5,video,4547,4390,0.9072,2307,14.36936
5,walter,3585,3525,0.72845,1656,10.31454
5,reed,3544,3493,0.72183,1644,10.2398
5,president,36499,33477,6.91806,5011,31.21146
5,event,9982,9260,1.91359,2922,18.19994
