Topic Number,Normalized Token,Number of Occurences,Document Frequency,User Frequency
1,pandemic,81058,77467,9855
1,people,48283,42280,7746
1,world,9976,9412,3889
1,good,8080,7787,3787
1,business,9120,8014,3488
1,make,12452,11957,4762
1,think,11322,10775,4115
1,need,19921,18594,5867
1,know,15693,14676,5042
1,thing,9146,8726,4009
1,right,13417,12679,4509
1,life,14133,13073,4388
1,look,7410,7072,3539
1,way,9881,9642,4278
1,end,6149,5783,2926
2,case,55603,42192,6661
2,new,40449,34191,6822
2,death,27029,22872,5159
2,number,12991,12033,4253
2,ontario,15207,14104,3357
2,report,8470,8265,3195
2,record,7897,7442,2967
2,day,23492,20603,5861
2,rate,7067,6448,2980
2,total,6679,5655,2535
2,reported,5745,5134,2385
2,daily,5793,5552,2657
2,high,5179,4966,2566
2,today,17661,16785,5344
2,infection,6359,6035,2669
3,mask,32547,27139,6445
3,wear,12744,11814,4502
3,social,6581,6422,3319
3,hand,5587,5347,2941
3,distancing,4895,4833,2738
3,wearing,4958,4687,2583
3,rule,4458,4230,2409
3,spread,8625,8382,3674
3,face,4141,3897,2315
3,people,48283,42280,7746
3,wearamask,2560,2550,1406
3,cdc,7011,6273,2412
3,stay,6803,6204,3341
3,twitter,3032,2922,1824
3,protect,5927,5476,2787
4,trump,59018,51253,4950
4,american,20098,18405,3611
4,president,17606,16599,3513
4,biden,12474,10584,2838
4,realdonaldtrump,9276,9099,2375
4,america,7466,6971,2545
4,donald,6382,6224,2074
4,rally,6900,5992,2169
4,joe,5655,4973,1962
4,lie,5303,4735,2161
4,fauci,5691,5044,1988
4,campaign,6486,6027,2431
4,pandemic,81058,77467,9855
4,plan,10860,9503,3782
4,debate,3985,3642,1793
5,le,8561,6875,2810
5,people,48283,42280,7746
5,die,5347,4930,2278
5,immunity,4817,4212,1952
5,lockdown,16326,14820,3790
5,herd,3965,3554,1706
5,et,4685,3655,949
5,kill,2678,2458,1563
5,cause,2963,2879,1854
5,virus,18159,16555,4706
5,patient,7597,6713,3040
5,protest,2257,2107,1232
5,wow,1476,1413,1109
5,pour,2890,2501,647
5,fordfailedthepeople,1399,1391,482
6,news,11337,10907,4074
6,fordnation,7012,6857,1844
6,canada,19470,18090,4950
6,ford,6801,5972,1853
6,government,19739,18105,4925
6,read,5671,5393,2762
6,say,25958,24042,5798
6,question,6094,5716,2952
6,onpoli,8764,8757,2060
6,response,12194,11609,4091
6,canadian,14844,13398,3871
6,app,3503,2841,1455
6,cdnpoli,15193,15175,2843
6,second,6573,6306,3076
6,minister,7070,6616,2817
7,health,31664,28719,6529
7,care,19211,16631,4757
7,public,15477,14447,4746
7,school,12163,9527,3438
7,healthcare,6643,6110,2587
7,worker,6779,6159,2717
7,ableg,6354,6333,1111
7,alberta,7915,7390,2014
7,pandemic,81058,77467,9855
7,outbreak,9722,9036,3129
7,kenney,4126,3719,1007
7,hospital,11365,10093,3588
7,home,14387,12947,4860
7,student,3629,3074,1812
7,official,4514,4451,2314
8,positive,11974,11053,3770
8,pandemic,81058,77467,9855
8,house,8944,8768,2852
8,white,7666,7366,2258
8,tested,7851,6970,2897
8,going,14408,13675,4715
8,test,14936,12681,4272
8,penny,4753,4183,1366
8,control,8515,8033,3240
8,staff,7087,6738,2761
8,force,3846,3755,2042
8,chief,3855,3768,1834
8,office,3447,3352,1892
8,day,23492,20603,5861
8,reminder,2391,2380,1635
9,election,13479,12159,3994
9,vote,14368,12265,3597
9,cdnpoli,15193,15175,2843
9,liberal,9985,9358,2396
9,trudeau,12060,11052,2663
9,canadian,14844,13398,3871
9,pandemic,81058,77467,9855
9,relief,6858,6593,2271
9,republican,6130,5856,1911
9,senate,5440,4754,1695
9,party,5576,5243,2625
9,government,19739,18105,4925
9,money,5975,5560,2770
9,committee,4071,3563,1591
9,conservative,5148,4824,1994
10,year,15164,14001,5247
10,flu,7724,6448,2911
10,vaccine,10939,8799,3413
10,today,17661,16785,5344
10,home,14387,12947,4860
10,died,9437,8718,3161
10,ago,4850,4534,2444
10,thank,3536,3434,2221
10,week,14084,13295,4649
10,kid,4804,4039,2329
10,death,27029,22872,5159
10,month,11334,10895,4239
10,child,5399,4815,2488
10,watch,4846,4744,2481
10,seen,3368,3181,2073
