Topic,Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweetts,Number of Users,Percentage of Users
1,hospital,14020,12475,3.34841,3780,26.63097
1,pandemic,54909,53398,14.33253,8115,57.17204
1,patient,8221,7515,2.0171,2887,20.33958
1,care,16369,14670,3.93757,4216,29.70269
1,life,11543,10968,2.94392,3906,27.51867
1,work,11930,10870,2.91761,4030,28.39228
1,family,14452,13508,3.62568,4342,30.59039
1,time,18347,16986,4.5592,5140,36.21248
1,people,46539,40764,10.94145,7049,49.66183
1,know,13971,13037,3.49926,4260,30.01268
1,school,7653,6164,1.65448,2195,15.46428
1,doctor,5931,5518,1.48108,2526,17.79625
1,need,18462,16707,4.48432,4948,34.8598
1,thank,3432,3288,0.88253,1943,13.68888
1,year,25084,22181,5.95359,6215,43.78611
2,case,32610,25458,6.83317,5081,35.79682
2,new,33707,29289,7.86145,6093,42.92659
2,death,22022,18622,4.99832,4295,30.25926
2,number,9914,9093,2.44065,3373,23.76356
2,report,6862,6710,1.80103,2565,18.07102
2,ontario,25764,23408,6.28293,4332,30.51994
2,variant,8778,8020,2.15264,2785,19.62097
2,uk,9958,9114,2.44628,3095,21.80499
2,record,5010,4687,1.25804,2161,15.22474
2,day,25405,22966,6.16429,5572,39.25602
2,dec,7002,5725,1.53664,2283,16.08426
2,bc,5749,5236,1.40539,1699,11.96985
2,reported,4237,3937,1.05673,1825,12.85755
2,data,6364,5608,1.50524,2457,17.31013
2,today,14581,13805,3.70539,4351,30.6538
3,vaccine,39625,32866,8.82155,6107,43.02522
3,vaccination,10026,9171,2.46158,3017,21.25546
3,dos,7105,5582,1.49826,2403,16.92969
3,le,8016,6494,1.74305,2532,17.83852
3,canada,22776,20694,5.55447,5029,35.43046
3,moderna,3932,3596,0.9652,1768,12.45597
3,vaccinated,4270,3897,1.04599,2089,14.71749
3,rollout,3876,3795,1.01861,1713,12.06848
3,et,3498,2831,0.75987,890,6.27026
3,received,2285,2235,0.5999,1447,10.19445
3,shot,2304,2143,0.5752,1352,9.52515
3,administered,2148,1884,0.50568,1141,8.03861
3,health,24062,22128,5.93937,5485,38.64309
3,vaccinate,2149,2094,0.56205,1243,8.75722
3,pfizer,2048,1893,0.5081,1152,8.11611
4,home,26817,24286,6.51859,5872,41.36959
4,stay,14454,13458,3.61226,4675,32.93645
4,onpoli,13727,13702,3.67775,2375,16.73242
4,ford,9771,8414,2.2584,2016,14.20318
4,holiday,11658,11010,2.95519,3780,26.63097
4,ontario,25764,23408,6.28293,4332,30.51994
4,ltc,7643,6843,1.83673,1867,13.15345
4,care,16369,14670,3.93757,4216,29.70269
4,minister,13062,11538,3.09691,3250,22.897
4,resident,6261,5305,1.42391,2070,14.58363
4,doug,4516,4285,1.15013,1412,9.94787
4,fordnation,9863,9637,2.58666,2232,15.72495
4,phillips,4222,3887,1.04331,1604,11.30055
4,longterm,3134,2998,0.80469,1379,9.71537
4,finance,3101,3070,0.82402,1566,11.03283
5,pandemic,54909,53398,14.33253,8115,57.17204
5,ableg,13061,13042,3.5006,1591,11.20896
5,alberta,8604,8079,2.16848,1986,13.99183
5,government,17339,16491,4.42634,4446,31.32309
5,cdnpoli,14169,14101,3.78484,2571,18.11329
5,trudeau,7327,6751,1.81203,1711,12.05439
5,minister,13062,11538,3.09691,3250,22.897
5,ucp,5765,5433,1.45827,1142,8.04565
5,abpoli,5110,5106,1.3705,1127,7.93997
5,jkenney,4732,4626,1.24166,1180,8.31337
5,canadian,12003,11118,2.98418,3654,25.74327
5,kenney,5443,5138,1.37909,1268,8.93335
5,response,5220,5078,1.36298,2403,16.92969
5,premier,7475,6999,1.8786,2237,15.76018
5,albertans,4399,4116,1.10477,1138,8.01747
6,lockdown,27735,25179,6.75828,5456,38.43878
6,people,46539,40764,10.94145,7049,49.66183
6,going,9726,9032,2.42427,3662,25.79963
6,business,6818,6202,1.66468,2699,19.01508
6,fordnation,9863,9637,2.58666,2232,15.72495
6,think,10091,9555,2.56465,3729,26.27166
6,day,25405,22966,6.16429,5572,39.25602
6,thousand,3747,3524,0.94588,1912,13.47048
6,small,3685,3579,0.96064,2004,14.11864
6,ontario,25764,23408,6.28293,4332,30.51994
6,life,11543,10968,2.94392,3906,27.51867
6,believe,3289,3182,0.85408,1882,13.25912
6,closed,2714,2615,0.70189,1583,11.1526
6,store,2668,2510,0.67371,1541,10.8567
6,rule,6723,6253,1.67836,2640,18.59941
7,year,25084,22181,5.95359,6215,43.78611
7,virus,13422,12150,3.26118,3974,27.99775
7,new,33707,29289,7.86145,6093,42.92659
7,china,6416,5392,1.44726,2029,14.29477
7,world,8469,8123,2.18029,3384,23.84106
7,2021,6052,5875,1.57691,3030,21.34705
7,pandemic,54909,53398,14.33253,8115,57.17204
7,2020,9872,9438,2.53325,3932,27.70185
7,flu,3337,2889,0.77544,1552,10.9342
7,lockdown,27735,25179,6.75828,5456,38.43878
7,great,4475,4390,1.17832,2444,17.21854
7,wuhan,2998,2887,0.7749,1444,10.17331
7,good,7512,7298,1.95885,3341,23.53811
7,happy,2540,2446,0.65653,1689,11.89939
7,expert,3065,2990,0.80254,1623,11.43441
8,test,11111,9465,2.5405,3558,25.06693
8,state,6909,6308,1.69313,2454,17.289
8,spread,8686,8252,2.21492,3422,24.10878
8,uk,9958,9114,2.44628,3095,21.80499
8,travel,11882,10648,2.85802,3614,25.46146
8,canada,22776,20694,5.55447,5029,35.43046
8,flight,4224,3823,1.02613,1835,12.928
8,positive,7239,6821,1.83082,2813,19.81823
8,sick,6286,5017,1.34661,2350,16.55629
8,say,18021,16881,4.53102,4690,33.04213
8,people,46539,40764,10.94145,7049,49.66183
8,quarantine,3002,2745,0.73678,1626,11.45554
8,leave,3265,3003,0.80603,1703,11.99803
8,testing,4998,4524,1.21428,2189,15.42201
8,negative,2728,2607,0.69974,1711,12.05439
9,trump,16584,14866,3.99018,2709,19.08553
9,relief,10768,10000,2.6841,2514,17.71171
9,christmas,14411,13166,3.53388,4426,31.18219
9,american,12329,11408,3.06202,2630,18.52896
9,check,5439,5150,1.38231,2120,14.93589
9,2000,4899,4724,1.26797,1646,11.59645
