Word,2020-01-21_2020-02-03,2020-02-04_2020-02-17,2020-02-18_2020-03-03,2020-03-04_2020-03-17,2020-03-18_2020-03-31,2020-04-01_2020-04-14,2020-04-15_2020-04-28,2020-04-29_2020-05-12,2020-05-13_2020-05-26,2020-05-27_2020-06-09,2020-06-10_2020-06-23,2020-06-24_2020-07-07,2020-07-08_2020-07-21,2020-07-22_2020-08-04,2020-08-05_2020-08-18,2020-08-19_2020-09-01,2020-09-02_2020-09-15,2020-09-16_2020-09-29,2020-09-30_2020-10-13,2020-10-14_2020-10-27,2020-10-28_2020-11-10,2020-11-11_2020-11-24,2020-11-25_2020-12-08,2020-12-09_2020-12-22,2020-12-23_2021-01-05,2021-01-06_2021-01-19,2021-01-20_2021-02-02,2021-02-03_2021-02-16,2021-02-17_2021-03-02,2021-03-03_2021-03-16,2021-03-17_2021-03-30,2021-03-31_2021-04-13,2021-04-14_2021-04-27,2021-04-28_2021-05-12,2021-05-13_2021-05-26,2021-05-28_2021-06-10,2021-06-11_2021-06-25,2021-06-26_2021-07-09,2021-07-10_2021-07-23
de,0.05656956010776597,0.05806584954744031,0.06018901507959182,0.062329512060766895,0.06413759081589383,0.06560241866779215,0.06678716077835713,0.06773635921267196,0.06846088571000507,0.06894777859193214,0.06916659765405324,0.06912135664391794,0.06884793338381155,0.0684417045276551,0.06794159600956931,0.06739834415684924,0.0668814695039483,0.06671085181791436,0.06702259360558037,0.06747707783242987,0.06785083733694995,0.06804164007637138,0.06822951054035793,0.06844868819600827,0.06890590745438252,0.06950354046143012,0.07007540830521118,0.07035285426188986,0.07014539742662929,0.06938189546157379,0.0681315136936846,0.0664669509676636,0.06459389417443137,0.06273144617501919,0.06107412280558464,0.059733498826760205,0.058755830820698615,0.058142975406087004,0.05782193731307453
un,0.026846913781077168,0.02589718197132707,0.024160356264233927,0.022014458518810166,0.019807870448459237,0.01777539244927633,0.01599913379339456,0.014560863459893022,0.013452226527360264,0.012654001656812849,0.01216315934356465,0.011999332862720181,0.012116396550273531,0.012528606627541915,0.013225520578487368,0.01411516041530657,0.014895378120322614,0.015173051553389643,0.014994902124877361,0.014622531648675809,0.014198582822542744,0.013712832081996397,0.013092474055541694,0.012415483103577861,0.011709067180401954,0.011092255948957894,0.010651431876420427,0.010365428180641527,0.010158363227912156,0.009968851742861898,0.009765232015980582,0.009529987822970811,0.009264975422926537,0.008999405108843343,0.008771433704802881,0.008598177169115503,0.008479070953844476,0.008407021904649748,0.008368405863894491
le,0.021831423138974192,0.022365914026379764,0.023111557533922262,0.02378197864828794,0.02423418961847239,0.024500101335226617,0.024632082196422093,0.02468274317605524,0.024683217487782336,0.0246414640638925,0.02456229666002385,0.024445738497187425,0.02426044796259735,0.024031472408018215,0.02380696545541359,0.023605399545324597,0.023493889639312076,0.02362730147730683,0.024010962246440278,0.02453251037478568,0.025082452725005065,0.025549135696998352,0.025967934159735216,0.026269973205218376,0.026455796757580703,0.026487048811050337,0.026353515930607533,0.02600839547672736,0.025482480450260008,0.02482555593808577,0.02415155167748919,0.023507379021805466,0.022914554541285142,0.02238809760493931,0.021949771644716825,0.02161329465203379,0.02137832870930223,0.021245293041324796,0.0211742196342442
et,0.016927089955306836,0.01730262359204296,0.01781943815620083,0.01825697544229145,0.01852148390004696,0.018645726849914366,0.018687200249310983,0.018670729468387985,0.018622684799669893,0.018562904405739714,0.018517902947339127,0.018500554383016624,0.018486328351087673,0.01849985222095651,0.01852219870123851,0.018525235848108407,0.018509692568441333,0.018573732558989742,0.01869306832310877,0.018771222616038575,0.01875805213280246,0.018661854131290106,0.018555058186927088,0.018450446381881782,0.01844037630792302,0.01854338659693052,0.018768696243517263,0.019027130920100846,0.01922585540453228,0.01931784236902378,0.01931861772208107,0.019230010561123105,0.019050022962226614,0.01880749647425381,0.018549075521017283,0.018317230032735075,0.018136734601209768,0.018021639548644004,0.017957652607418086
du,0.011327282692238204,0.011542360952946001,0.01178869773683071,0.011927454140893181,0.011915368925999072,0.01180138523324717,0.011646336698350293,0.011480371510202255,0.01132849990309592,0.011199636492576423,0.011097608112719842,0.011008455019383112,0.010894881174258958,0.010740784478876095,0.01054623633717584,0.010316712054485212,0.01006375690609862,0.009868914650333816,0.009782093801544902,0.009797270780098554,0.009912271443562317,0.01012585136533449,0.010437395599741177,0.01078539480039908,0.011103646118029931,0.01132379983359519,0.01142513215582806,0.011381643635645833,0.011211377228197386,0.01095251485726962,0.010632087993388443,0.010282435621087471,0.009945802378485333,0.009645865734253266,0.009398907520162102,0.009206400275895593,0.009066388883640177,0.008979620804238024,0.008935446190748535
pour,0.010181069961468104,0.010491351821905002,0.010969182158920298,0.011487831530752711,0.01194109496310073,0.012283896177463319,0.012499130254189052,0.012578560178407082,0.012540808918901095,0.012402326279267434,0.012191304650804221,0.011958289898178109,0.01175058305939006,0.01160563614222443,0.011516477742831205,0.01145152598687449,0.01143576041037611,0.011530705757190842,0.011723976531644118,0.011943227565145589,0.012117154032335573,0.0122088655516234,0.012241900490308143,0.012208086796304909,0.012183717721228324,0.012174453994379976,0.01216568905142753,0.01211600377361891,0.0120261681462979,0.011878714959756098,0.011703401515810289,0.01154172453474808,0.011411771445149986,0.011290363313145436,0.01118650588210041,0.011108861910032082,0.011057763633533427,0.011032086015523405,0.011016150752371988
au,0.00771442730896242,0.007908521666601217,0.008196415984664253,0.008494555377865233,0.00876284911338781,0.00901457553251026,0.009263491315648877,0.009512183388797767,0.009753727098488579,0.009974839612082365,0.010158325172987533,0.010293031413098569,0.010370196043119315,0.010391757827503137,0.010342097972861562,0.010211367259115763,0.010033408398378414,0.009884857837833988,0.009818833335605804,0.009813571176846867,0.009848850610750408,0.009916032328173655,0.010033548135197311,0.010182810716299957,0.010329443450175729,0.010433398967388863,0.01049019923865749,0.010488005460938771,0.010372467597055561,0.010159479256955923,0.009870580193901557,0.009538987998059224,0.009195608707554035,0.008878648822205376,0.008604700890630333,0.008382698838028481,0.008219326217073027,0.008114479774030809,0.008060081700699296
chine,0.006994542218268799,0.005931459437984217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
est,0.0065240432700257945,0.0066123764027692785,0.006699772782596484,0.0067112549913047334,0.006622506523005102,0.006460472720139116,0.006256282069405117,0.006055312406534491,0.005893210287213757,0.005790903638874711,0.005765459737871273,0.005818843538641692,0.005913706966149386,0.006007197267925789,0.006080350174160967,0.0061385779829489385,0.006202576699148211,0.00629845133880738,0.006425376372032854,0.006534372448526637,0.006597495599639954,0.006606240716477212,0.006578772570126524,0.006530815537090559,0.006487352992796743,0.006426229174867098,0.006340546153155128,0.006229000625630744,0.006126349020990274,0.0060521125922884415,0.005999475312674285,0.005936935975263129,0.00583384070145538,0.005702465912450144,0.005562462570939736,0.00543652868990229,0.005337292178017438,0.005272837008025263,0.005238234636570474
sur,0.005603002649733813,0.005772788138022005,0.006041261446990999,0.006345895489505049,0.006650543879640436,0.006947083731861827,0.007226266698347195,0.007475108844399272,0.007673080981041265,0.007793725946998257,0.007824309976868964,0.007761449261214701,0.0076216733644851155,0.007442236674549214,0.007248721185650979,0.007045734320824328,0.006864141044997121,0.006776534692071041,0.006800451067478508,0.0068762921073077495,0.006954083422159027,0.006998632661964132,0.007017683246388353,0.007011838036213213,0.0070158067249694745,0.007045997152130471,0.007080804194376489,0.007087440825196125,0.007018078006340467,0.006855953307429467,0.006636186213983646,0.006381227107024803,0.006137481142593037,0.005927969200898421,0.0057636126534068395,0.005644221820619366,0.005563571471765816,0.005516448429011177,0.005492510584032265
