Normalized Token,Number of Occurences,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
pandemic,6883,6555,15.8108,3019,42.61115
vaccine,6667,5507,13.283,2478,34.9753
case,4221,3147,7.59063,1589,22.42766
people,3866,3460,8.34559,1852,26.13973
new,3598,3033,7.31566,1599,22.56881
health,3067,2798,6.74884,1525,21.52435
canada,2939,2653,6.39909,1408,19.87297
get,2905,2611,6.29779,1687,23.81087
one,2750,2565,6.18684,1616,22.80875
ontario,2517,2359,5.68996,1233,17.40296
death,2374,2029,4.89399,1190,16.79605
say,2194,2076,5.00736,1299,18.33451
school,2174,1779,4.29099,1054,14.8765
de,2036,921,2.22147,312,4.40367
year,2033,1903,4.59008,1295,18.27805
today,1960,1881,4.53701,1224,17.27594
day,1892,1727,4.16556,1217,17.17713
dos,1885,1505,3.63009,955,13.47918
lockdown,1843,1675,4.04014,879,12.40649
government,1831,1752,4.22586,1101,15.53987
need,1828,1671,4.03049,1194,16.85251
time,1810,1704,4.11008,1227,17.31828
dose,1803,1478,3.56497,954,13.46507
first,1757,1659,4.00154,1134,16.00565
vaccinated,1642,1509,3.63974,1051,14.83416
variant,1606,1325,3.19593,839,11.84192
week,1491,1315,3.17181,938,13.23924
virus,1482,1387,3.34547,873,12.32181
public,1463,1373,3.31171,967,13.64855
lab,1455,1321,3.18628,705,9.9506
vaccination,1427,1355,3.26829,935,13.19689
would,1410,1275,3.07533,928,13.09809
know,1402,1327,3.20075,965,13.62032
dr,1388,1289,3.1091,842,11.88426
2,1388,1291,3.11392,923,13.02752
mask,1371,1193,2.87754,797,11.24912
still,1367,1288,3.10668,968,13.66267
million,1367,1102,2.65805,804,11.34792
wuhan,1339,1285,3.09945,629,8.87791
fauci,1310,1170,2.82207,562,7.93225
canadian,1299,1200,2.89443,831,11.729
u,1298,1201,2.89684,906,12.78758
cdnpoli,1282,1276,3.07774,724,10.21877
many,1264,1181,2.8486,893,12.60409
onpoli,1253,1253,3.02226,685,9.66831
even,1208,1167,2.81483,849,11.98306
second,1201,1101,2.65564,759,10.71277
1,1200,1093,2.63634,816,11.51729
right,1195,1108,2.67252,810,11.4326
june,1164,1108,2.67252,759,10.71277
see,1138,1106,2.6677,832,11.74312
since,1126,1038,2.50368,780,11.00917
may,1123,1041,2.51091,776,10.95272
make,1113,1085,2.61704,848,11.96895
home,1103,999,2.40961,789,11.1362
work,1095,1014,2.44579,789,11.1362
trudeau,1093,987,2.38067,565,7.97459
go,1085,1026,2.47473,818,11.54552
want,1081,1016,2.45061,791,11.16443
back,1077,1023,2.4675,805,11.36203
world,1074,1030,2.48438,690,9.73888
country,1072,1012,2.44097,742,10.47283
china,1066,963,2.32278,601,8.48271
province,1064,1022,2.46509,714,10.07763
life,1058,993,2.39514,776,10.95272
month,1053,1025,2.47232,798,11.26323
last,1042,1010,2.43614,791,11.16443
report,1038,1005,2.42408,710,10.02117
child,1030,889,2.14429,610,8.60974
take,1015,981,2.36619,769,10.85392
via,1000,989,2.38549,626,8.83557
also,997,968,2.33484,731,10.31757
