Tweet ID,Weight,Total Times Tweeted,Tweet Text
1249497720399659008,0.04342,1,"@aSinister @PaprikaLady @wlbeeton @HtServadac @insane_voice @kayla23307512 @OscarsWild1 @CymaticWave @TyotoRiffle @Schtickery @Matt_Clough @BadgersNo @JamesRider3 @Tangomitteckel @MartinBrampton @Marcusgibson @DawnTJ90 @Jamz129 @0Sundance @PierreTherrie14 @GillesnFio @Stephen90045069 @BulldogLoyalty @GeraldKutney @ammocrypta @KIVUNature @NIMN2019 @BarrattPeter @TheDisproof @TurtleFL @Xshnargloth_II @stargrazzer @DawnJT90 @DieterFrikadell @GTMGQ @91996340e81d45a @k8rlnd1 @FriendsOScience @ItsTheAtmospher @rumpledrumskin @Cosmic_Engineer @TQMKA @jwickers @olivia_awaken @Paulward44 @triton6346 The dubious Paprika Lady is attempting to gaslight, suggesting that the fact @WHO had not confirmed the method of dispersion of the virus by Jan 14 somehow gets Trump off the hook for all his ignorant bluster. When the facts were identified, @WHO @china + @CovidCanada responded."
1249509523976404992,0.04287,1,"@donno2016 @aSinister @insane_voice @ckolacia @PaprikaLady @DawnTJ90 @HtServadac @manifesto2000 @kayla23307512 @OscarsWild1 @CymaticWave @TyotoRiffle @Schtickery @Matt_Clough @BadgersNo @JamesRider3 @Tangomitteckel @MartinBrampton @Marcusgibson @Jamz129 @0Sundance @PierreTherrie14 @GillesnFio @Stephen90045069 @BulldogLoyalty @GeraldKutney @ammocrypta @KIVUNature @NIMN2019 @BarrattPeter @TheDisproof @TurtleFL @Xshnargloth_II @stargrazzer @DawnJT90 @DieterFrikadell @GTMGQ @91996340e81d45a @k8rlnd1 @FriendsOScience @ItsTheAtmospher @rumpledrumskin @Cosmic_Engineer @TQMKA @jwickers @olivia_awaken @Paulward44 @triton6346 @donsmithshow2 @TheDalaiLamaCon COVID-19 is only one type of coronavirus, many of which were known earlier. But not COVID-19. It wasn;t known until it appeared in Wuhan China, December 2019."
1249424378451726336,0.04117,1,"@kayla23307512 @GillesnFio @CymaticWave @OscarsWild1 @TyotoRiffle @insane_voice @Schtickery @Matt_Clough @aSinister @BadgersNo @JamesRider3 @Tangomitteckel @MartinBrampton @Marcusgibson @DawnTJ90 @PaprikaLady @Jamz129 @0Sundance @PierreTherrie14 @Stephen90045069 @BulldogLoyalty @GeraldKutney @ammocrypta @KIVUNature @NIMN2019 @BarrattPeter @TheDisproof @wlbeeton @TurtleFL @Xshnargloth_II @stargrazzer @DawnJT90 @DieterFrikadell @GTMGQ @91996340e81d45a @k8rlnd1 @FriendsOScience @ItsTheAtmospher @rumpledrumskin @Cosmic_Engineer @TQMKA @jwickers @olivia_awaken @Paulward44 @triton6346 @donsmithshow2 @TheDalaiLamaCon @annettehunter77 @MKahn84 @Covidence What a disingenuous tweet, Kitty. Do you think China is more covert about facial recognition and mass surveillance than the NSA is? At least China is developing social observation to be able to reach troubled people and to ensure they are not neglected. https://t.co/tXwgUN42RP"
1249440619388264448,0.03547,35,"If the Fake News Opposition Party is pushing, with all their might, the fact that President Trump “ignored early warnings about the threat,” then why did Media &amp; Dems viciously criticize me when I instituted a Travel Ban on China? They said “early &amp; not necessary.” Corrupt Media!"
1245766932932038658,0.03543,1,"@GeraldKutney @CymaticWave @TyotoRiffle @OscarsWild1 @DawnTJ90 @Matt_Clough @kayla23307512 @ammocrypta @KIVUNature @BulldogLoyalty @NIMN2019 @PierreTherrie14 @BarrattPeter @Jamz129 @TheDisproof @insane_voice @aSinister @PaprikaLady @Schtickery @wlbeeton @GillesnFio @JamesRider3 @TurtleFL @Xshnargloth_II @BadgersNo @stargrazzer @DawnJT90 @Marcusgibson @DieterFrikadell @Stephen90045069 @GTMGQ @91996340e81d45a @k8rlnd1 @FriendsOScience @ItsTheAtmospher @rumpledrumskin @Cosmic_Engineer @TQMKA @jwickers @olivia_awaken @Paulward44 @triton6346 @donsmithshow2 @TheDalaiLamaCon @annettehunter77 @MKahn84 @AltUS_ARC @DanCady Only morons have faith that bot sentinel is anything more than a biased ""social policing"" platform designed to police a specific demographic. This isn't China Gerald, at least not yet &amp; UR a moron for participating in CCP social policing tactics."
1249372364929990656,0.03513,19,"Great businessman &amp; philanthropist Bernie Marcus, Co-Founder of Home Depot, said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer"
1249440387988520961,0.03499,1,@PaprikaLady @OscarsWild1 @TyotoRiffle @kayla23307512 @insane_voice @CymaticWave @Schtickery @Matt_Clough @aSinister @BadgersNo @JamesRider3 @Tangomitteckel @MartinBrampton @Marcusgibson @DawnTJ90 @Jamz129 @0Sundance @PierreTherrie14 @GillesnFio @Stephen90045069 @BulldogLoyalty @GeraldKutney @ammocrypta @KIVUNature @NIMN2019 @BarrattPeter @TheDisproof @wlbeeton @TurtleFL @Xshnargloth_II @stargrazzer @DawnJT90 @DieterFrikadell @GTMGQ @91996340e81d45a @k8rlnd1 @FriendsOScience @ItsTheAtmospher @rumpledrumskin @Cosmic_Engineer @TQMKA @jwickers @olivia_awaken @Paulward44 @triton6346 @donsmithshow2 @TheDalaiLamaCon @annettehunter77 @MKahn84 China merely requires policies that enables intellectual property in which Chinese firms are partnering with  to remain within the Chinese domain. 100 years ago the west had the same rules.
1246449446940008449,0.0324,10,"The NYT finds nearly 40,000 people have flown in from China since Trump imposed the travel restrictions he regularly describes has having ""closed down""/""closed off""/""shut down"" China. (The restrictions were never actually designed as a complete ban.) https://t.co/NO9QcRSlHr"
1248599589952897024,0.03219,9,"#Trump #Coronavirus Campaign Ad Features Joe Biden Cheerleading for China

“During America’s #crisis,Biden protected #China’s feelings”

#Biden:“It is in our self-interest that China continue to prosper”

https://t.co/iGETmI4JfQ

#QAnon #QAnon2018 #QAnon2020
#DemocratsHateAmerica https://t.co/mfjsRgiis7"
1249909269765505030,0.03213,1,"@_ReaalAmerican_ @SethAbramson He is trying to re-write history, that he took COVID seriously from the start.

Not that he spent 2 months golfing and holding rallies and calling it a political hoax by the Dems."
1245217722667020288,0.03166,2,"McConnell claims impeachment ‘diverted the attention’ of Trump from coronavirus. Blames Democrats. Trump did find time in January &amp; February to hold a host of “Keep America Great” campaign rallies, several fundraisers &amp; many golf outings. #TrumpCatastrophe https://t.co/Nf94o5TVLa"
1249893352167936000,0.0304,3,"MAMA SAID KNOCK YOU OUT!

President @realDonaldTrump knocked CNN &amp; Lying Media with the truth at the #PressBreifing 

TRUMP PULLED OUT THE RECEIPTS

They lied &amp; said he downplayed #COVID19 so he played video clips &amp; exposed their lies in their face!

Now there’s a👉 #CNNMeltdown https://t.co/2IUbIwsaoD"
1245141377765314566,0.03033,15,"I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment “diverted the attention of the government” from the virus.

The truth is that GOP senators’ refusal to remove Trump—not impeachment—helped bring us to where we are now.

https://t.co/7fZs38d9b7"
1249316488625954816,0.02986,5,"This would be comical if it weren't so depraved. After bashing media/Dems early on for supposedly hyping the coronavirus threat to hurt Trump, his propagandists now claim media/Dems *didn't* recognize the severity of coronavirus early, while Trump did!

https://t.co/EfPHGET6Oa https://t.co/4SLZ4D5Uuj"
1245163561640394752,0.02963,3,"Trump held rallies on:
—Jan 9th
—Jan 14th
—Jan 28th
—Jan 30th
—Feb 10th
—Feb 19th
—Feb 20th
—Feb 21st
—Feb 28th

He golfed on:
—Jan 18th
—Jan 19th
—Feb 1st
—Feb 15th
—Mar 7th
—Mar 8th

But sure, impeachment (ended Feb 5th) is what stopped him from responding to the coronavirus 🙄"
