Topic Number,Number of Tweets,Percentage of Tweets,Number of Users,Percentage of Users
1,8195,32.3083,3087,55.10532
2,3112,12.26887,1445,25.79436
3,3496,13.78277,1833,32.72046
4,7629,30.07688,3092,55.19457
5,2933,11.56318,1437,25.65155
