Topic Number,Compound (Mean),Compound (Std Dev),Positive (Mean),Positive (Std Dev),Negative (Mean),Negative (Std Dev),Neutral (Mean),Neutral (Std Dev)
1,0.0163,0.43191,0.0747,0.1033,0.06717,0.09516,0.85813,0.13184
2,-0.02433,0.3545,0.04543,0.07925,0.0527,0.09008,0.90187,0.11759
3,0.09781,0.3677,0.0674,0.09707,0.03809,0.07521,0.89452,0.11853
4,-0.02233,0.46953,0.08451,0.1063,0.09113,0.1087,0.82438,0.13482
5,-0.03234,0.33122,0.04237,0.08281,0.05166,0.0844,0.90596,0.11532
